Market Year, Value, Unit Description
"1982","171","(1000 MT)"
"1983","176","(1000 MT)"
"1984","174","(1000 MT)"
"1985","195","(1000 MT)"
"1986","177","(1000 MT)"
"1987","194","(1000 MT)"
"1988","184","(1000 MT)"
"1989","187","(1000 MT)"
"1990","200","(1000 MT)"
"1991","58","(1000 MT)"
"1992","67","(1000 MT)"
"1993","80","(1000 MT)"
"1994","93","(1000 MT)"
"1995","104","(1000 MT)"
"1996","113","(1000 MT)"
"1997","134","(1000 MT)"
"1998","127","(1000 MT)"
"1999","145","(1000 MT)"
"2000","187","(1000 MT)"
"2001","205","(1000 MT)"
"2002","239","(1000 MT)"
"2003","170","(1000 MT)"
"2004","187","(1000 MT)"
"2005","189","(1000 MT)"
"2006","152","(1000 MT)"
"2007","135","(1000 MT)"
"2008","142","(1000 MT)"
"2009","137","(1000 MT)"
"2010","147","(1000 MT)"
"2011","148","(1000 MT)"
"2012","120","(1000 MT)"
"2013","120","(1000 MT)"
"2014","105","(1000 MT)"
"2015","85","(1000 MT)"
"2016","56","(1000 MT)"
"2017","77","(1000 MT)"
"2018","63","(1000 MT)"
"2019","37","(1000 MT)"
"2020","47","(1000 MT)"
"2021","55","(1000 MT)"
"2022","50","(1000 MT)"
