Market Year, Value, Unit Description
"1960","7450","(1000 MT)"
"1961","6727","(1000 MT)"
"1962","8353","(1000 MT)"
"1963","8925","(1000 MT)"
"1964","10037","(1000 MT)"
"1965","7067","(1000 MT)"
"1966","12699","(1000 MT)"
"1967","7547","(1000 MT)"
"1968","14804","(1000 MT)"
"1969","10546","(1000 MT)"
"1970","7890","(1000 MT)"
"1971","8606","(1000 MT)"
"1972","6590","(1000 MT)"
"1973","11987","(1000 MT)"
"1974","11357","(1000 MT)"
"1975","11982","(1000 MT)"
"1976","11800","(1000 MT)"
"1977","9370","(1000 MT)"
"1978","18090","(1000 MT)"
"1979","16188","(1000 MT)"
"1980","10856","(1000 MT)"
"1981","16360","(1000 MT)"
"1982","8876","(1000 MT)"
"1983","22016","(1000 MT)"
"1984","18666","(1000 MT)"
"1985","16167","(1000 MT)"
"1986","16119","(1000 MT)"
"1987","12369","(1000 MT)"
"1988","14060","(1000 MT)"
"1989","14214","(1000 MT)"
"1990","15066","(1000 MT)"
"1991","10557","(1000 MT)"
"1992","16184","(1000 MT)"
"1993","16479","(1000 MT)"
"1994","8903","(1000 MT)"
"1995","16504","(1000 MT)"
"1996","22925","(1000 MT)"
"1997","19224","(1000 MT)"
"1998","21465","(1000 MT)"
"1999","24757","(1000 MT)"
"2000","22108","(1000 MT)"
"2001","24299","(1000 MT)"
"2002","10132","(1000 MT)"
"2003","26132","(1000 MT)"
"2004","21905","(1000 MT)"
"2005","25173","(1000 MT)"
"2006","10822","(1000 MT)"
"2007","13569","(1000 MT)"
"2008","21420","(1000 MT)"
"2009","21834","(1000 MT)"
"2010","27410","(1000 MT)"
"2011","29905","(1000 MT)"
"2012","22856","(1000 MT)"
"2013","25303","(1000 MT)"
"2014","23743","(1000 MT)"
"2015","22275","(1000 MT)"
"2016","31819","(1000 MT)"
"2017","20941","(1000 MT)"
"2018","17598","(1000 MT)"
"2019","14480","(1000 MT)"
"2020","33300","(1000 MT)"
"2021","34000","(1000 MT)"
