Market Year, Value, Unit Description
"1960","1542","(1000 MT)"
"1961","941","(1000 MT)"
"1962","898","(1000 MT)"
"1963","984","(1000 MT)"
"1964","1118","(1000 MT)"
"1965","949","(1000 MT)"
"1966","1397","(1000 MT)"
"1967","834","(1000 MT)"
"1968","1646","(1000 MT)"
"1969","1699","(1000 MT)"
"1970","2350","(1000 MT)"
"1971","3065","(1000 MT)"
"1972","1727","(1000 MT)"
"1973","2398","(1000 MT)"
"1974","2515","(1000 MT)"
"1975","3179","(1000 MT)"
"1976","2847","(1000 MT)"
"1977","2383","(1000 MT)"
"1978","4006","(1000 MT)"
"1979","3703","(1000 MT)"
"1980","2682","(1000 MT)"
"1981","3450","(1000 MT)"
"1982","1939","(1000 MT)"
"1983","4890","(1000 MT)"
"1984","5554","(1000 MT)"
"1985","4868","(1000 MT)"
"1986","3611","(1000 MT)"
"1987","3477","(1000 MT)"
"1988","3306","(1000 MT)"
"1989","4121","(1000 MT)"
"1990","4184","(1000 MT)"
"1991","4606","(1000 MT)"
"1992","5460","(1000 MT)"
"1993","6956","(1000 MT)"
"1994","2913","(1000 MT)"
"1995","5823","(1000 MT)"
"1996","6696","(1000 MT)"
"1997","6482","(1000 MT)"
"1998","5987","(1000 MT)"
"1999","5032","(1000 MT)"
"2000","6743","(1000 MT)"
"2001","8280","(1000 MT)"
"2002","3865","(1000 MT)"
"2003","10387","(1000 MT)"
"2004","7740","(1000 MT)"
"2005","9483","(1000 MT)"
"2006","4257","(1000 MT)"
"2007","7159","(1000 MT)"
"2008","7996","(1000 MT)"
"2009","7865","(1000 MT)"
"2010","7995","(1000 MT)"
"2011","8221","(1000 MT)"
"2012","7472","(1000 MT)"
"2013","9174","(1000 MT)"
"2014","8646","(1000 MT)"
"2015","8993","(1000 MT)"
"2016","13506","(1000 MT)"
"2017","9254","(1000 MT)"
"2018","8819","(1000 MT)"
"2019","10127","(1000 MT)"
"2020","13100","(1000 MT)"
"2021","13000","(1000 MT)"
