Market Year, Value, Unit Description
"1964","6991","(1000 MT)"
"1965","7105","(1000 MT)"
"1966","7111","(1000 MT)"
"1967","7497","(1000 MT)"
"1968","6996","(1000 MT)"
"1969","7158","(1000 MT)"
"1970","7731","(1000 MT)"
"1971","7450","(1000 MT)"
"1972","7275","(1000 MT)"
"1973","7145","(1000 MT)"
"1974","6943","(1000 MT)"
"1975","6677","(1000 MT)"
"1976","6421","(1000 MT)"
"1977","5933","(1000 MT)"
"1978","5777","(1000 MT)"
"1979","5828","(1000 MT)"
"1980","5447","(1000 MT)"
"1981","5324","(1000 MT)"
"1982","5415","(1000 MT)"
"1983","5676","(1000 MT)"
"1984","6087","(1000 MT)"
"1985","6265","(1000 MT)"
"1986","6205","(1000 MT)"
"1987","6367","(1000 MT)"
"1988","6297","(1000 MT)"
"1989","6465","(1000 MT)"
"1990","6435","(1000 MT)"
"1991","6578","(1000 MT)"
"1992","6918","(1000 MT)"
"1993","7530","(1000 MT)"
"1994","8300","(1000 MT)"
"1995","8433","(1000 MT)"
"1996","8957","(1000 MT)"
"1997","9274","(1000 MT)"
"1998","9722","(1000 MT)"
"1999","10483","(1000 MT)"
"2000","11172","(1000 MT)"
"2001","10864","(1000 MT)"
"2002","11608","(1000 MT)"
"2003","10636","(1000 MT)"
"2004","10377","(1000 MT)"
"2005","10429","(1000 MT)"
"2006","10395","(1000 MT)"
"2007","9500","(1000 MT)"
"2008","9500","(1000 MT)"
"2009","9326","(1000 MT)"
"2010","9339","(1000 MT)"
"2011","9551","(1000 MT)"
"2012","9794","(1000 MT)"
"2013","9309","(1000 MT)"
"2014","9798","(1000 MT)"
"2015","10091","(1000 MT)"
"2016","9486","(1000 MT)"
"2017","9462","(1000 MT)"
"2018","9451","(1000 MT)"
"2019","8832","(1000 MT)"
"2020","9099","(1000 MT)"
"2021","9000","(1000 MT)"
"2022","9100","(1000 MT)"
