Market Year, Value, Unit Description
"1960","82","(1000 MT)"
"1961","96","(1000 MT)"
"1962","97","(1000 MT)"
"1963","102","(1000 MT)"
"1964","109","(1000 MT)"
"1965","130","(1000 MT)"
"1966","153","(1000 MT)"
"1967","158","(1000 MT)"
"1968","183","(1000 MT)"
"1969","177","(1000 MT)"
"1970","214","(1000 MT)"
"1971","177","(1000 MT)"
"1972","221","(1000 MT)"
"1973","293","(1000 MT)"
"1974","277","(1000 MT)"
"1975","298","(1000 MT)"
"1976","379","(1000 MT)"
"1977","351","(1000 MT)"
"1978","495","(1000 MT)"
"1979","438","(1000 MT)"
"1980","521","(1000 MT)"
"1981","611","(1000 MT)"
"1982","392","(1000 MT)"
"1983","452","(1000 MT)"
"1984","618","(1000 MT)"
"1985","491","(1000 MT)"
"1986","393","(1000 MT)"
"1987","540","(1000 MT)"
"1988","576","(1000 MT)"
"1989","605","(1000 MT)"
"1990","563","(1000 MT)"
"1991","806","(1000 MT)"
"1992","683","(1000 MT)"
"1993","774","(1000 MT)"
"1994","813","(1000 MT)"
"1995","691","(1000 MT)"
"1996","894","(1000 MT)"
"1997","947","(1000 MT)"
"1998","974","(1000 MT)"
"1999","787","(1000 MT)"
"2000","1175","(1000 MT)"
"2001","888","(1000 MT)"
"2002","313","(1000 MT)"
"2003","395","(1000 MT)"
"2004","243","(1000 MT)"
"2005","716","(1000 MT)"
"2006","118","(1000 MT)"
"2007","13","(1000 MT)"
"2008","44","(1000 MT)"
"2009","142","(1000 MT)"
"2010","521","(1000 MT)"
"2011","662","(1000 MT)"
"2012","836","(1000 MT)"
"2013","590","(1000 MT)"
"2014","497","(1000 MT)"
"2015","197","(1000 MT)"
"2016","581","(1000 MT)"
"2017","457","(1000 MT)"
"2018","48","(1000 MT)"
"2019","36","(1000 MT)"
"2020","330","(1000 MT)"
"2021","650","(1000 MT)"
