Market Year, Value, Unit Description
"1964","59","(1000 MT)"
"1965","63","(1000 MT)"
"1966","60","(1000 MT)"
"1967","70","(1000 MT)"
"1968","71","(1000 MT)"
"1969","75","(1000 MT)"
"1970","76","(1000 MT)"
"1971","78","(1000 MT)"
"1972","81","(1000 MT)"
"1973","93","(1000 MT)"
"1974","96","(1000 MT)"
"1975","99","(1000 MT)"
"1976","113","(1000 MT)"
"1977","104","(1000 MT)"
"1978","114","(1000 MT)"
"1979","139","(1000 MT)"
"1980","151","(1000 MT)"
"1981","135","(1000 MT)"
"1982","153","(1000 MT)"
"1983","158","(1000 MT)"
"1984","161","(1000 MT)"
"1985","160","(1000 MT)"
"1986","170","(1000 MT)"
"1987","177","(1000 MT)"
"1988","176","(1000 MT)"
"1989","190","(1000 MT)"
"1990","175","(1000 MT)"
"1991","178","(1000 MT)"
"1992","197","(1000 MT)"
"1993","211","(1000 MT)"
"1994","234","(1000 MT)"
"1995","241","(1000 MT)"
"1996","268","(1000 MT)"
"1997","285","(1000 MT)"
"1998","305","(1000 MT)"
"1999","320","(1000 MT)"
"2000","373","(1000 MT)"
"2001","374","(1000 MT)"
"2002","413","(1000 MT)"
"2003","368","(1000 MT)"
"2004","389","(1000 MT)"
"2005","375","(1000 MT)"
"2006","362","(1000 MT)"
"2007","345","(1000 MT)"
"2008","344","(1000 MT)"
"2009","341","(1000 MT)"
"2010","343","(1000 MT)"
"2011","337","(1000 MT)"
"2012","352","(1000 MT)"
"2013","318","(1000 MT)"
"2014","328","(1000 MT)"
"2015","343","(1000 MT)"
"2016","344","(1000 MT)"
"2017","348","(1000 MT)"
"2018","366","(1000 MT)"
"2019","364","(1000 MT)"
"2020","373","(1000 MT)"
"2021","360","(1000 MT)"
"2022","370","(1000 MT)"
