Market Year, Value, Unit Description
"1960","1381","(1000 MT)"
"1961","1000","(1000 MT)"
"1962","1248","(1000 MT)"
"1963","1238","(1000 MT)"
"1964","1271","(1000 MT)"
"1965","1102","(1000 MT)"
"1966","1943","(1000 MT)"
"1967","719","(1000 MT)"
"1968","1710","(1000 MT)"
"1969","1247","(1000 MT)"
"1970","1613","(1000 MT)"
"1971","1275","(1000 MT)"
"1972","736","(1000 MT)"
"1973","1107","(1000 MT)"
"1974","874","(1000 MT)"
"1975","1141","(1000 MT)"
"1976","1072","(1000 MT)"
"1977","990","(1000 MT)"
"1978","1763","(1000 MT)"
"1979","1411","(1000 MT)"
"1980","1128","(1000 MT)"
"1981","1617","(1000 MT)"
"1982","848","(1000 MT)"
"1983","2296","(1000 MT)"
"1984","1367","(1000 MT)"
"1985","1330","(1000 MT)"
"1986","1584","(1000 MT)"
"1987","1738","(1000 MT)"
"1988","1867","(1000 MT)"
"1989","1670","(1000 MT)"
"1990","1554","(1000 MT)"
"1991","1722","(1000 MT)"
"1992","1966","(1000 MT)"
"1993","1651","(1000 MT)"
"1994","924","(1000 MT)"
"1995","1875","(1000 MT)"
"1996","1653","(1000 MT)"
"1997","1634","(1000 MT)"
"1998","1798","(1000 MT)"
"1999","1118","(1000 MT)"
"2000","1050","(1000 MT)"
"2001","1434","(1000 MT)"
"2002","957","(1000 MT)"
"2003","2018","(1000 MT)"
"2004","1283","(1000 MT)"
"2005","1690","(1000 MT)"
"2006","748","(1000 MT)"
"2007","1502","(1000 MT)"
"2008","1160","(1000 MT)"
"2009","1162","(1000 MT)"
"2010","1128","(1000 MT)"
"2011","1262","(1000 MT)"
"2012","1121","(1000 MT)"
"2013","1255","(1000 MT)"
"2014","1198","(1000 MT)"
"2015","1300","(1000 MT)"
"2016","2266","(1000 MT)"
"2017","1227","(1000 MT)"
"2018","1135","(1000 MT)"
"2019","1143","(1000 MT)"
"2020","1675","(1000 MT)"
"2021","1550","(1000 MT)"
