Market Year, Value, Unit Description
"1960","165","(1000 MT CWE)"
"1961","275","(1000 MT CWE)"
"1962","382","(1000 MT CWE)"
"1963","426","(1000 MT CWE)"
"1964","442","(1000 MT CWE)"
"1965","450","(1000 MT CWE)"
"1966","428","(1000 MT CWE)"
"1967","374","(1000 MT CWE)"
"1968","377","(1000 MT CWE)"
"1969","450","(1000 MT CWE)"
"1970","510","(1000 MT CWE)"
"1971","574","(1000 MT CWE)"
"1972","780","(1000 MT CWE)"
"1973","920","(1000 MT CWE)"
"1974","530","(1000 MT CWE)"
"1975","777","(1000 MT CWE)"
"1976","905","(1000 MT CWE)"
"1977","1138","(1000 MT CWE)"
"1978","1199","(1000 MT CWE)"
"1979","1096","(1000 MT CWE)"
"1980","883","(1000 MT CWE)"
"1981","711","(1000 MT CWE)"
"1982","942","(1000 MT CWE)"
"1983","767","(1000 MT CWE)"
"1984","616","(1000 MT CWE)"
"1985","690","(1000 MT CWE)"
"1986","807","(1000 MT CWE)"
"1987","908","(1000 MT CWE)"
"1988","890","(1000 MT CWE)"
"1989","872","(1000 MT CWE)"
"1990","1064","(1000 MT CWE)"
"1991","1080","(1000 MT CWE)"
"1992","1191","(1000 MT CWE)"
"1993","1169","(1000 MT CWE)"
"1994","1140","(1000 MT CWE)"
"1995","1109","(1000 MT CWE)"
"1996","1026","(1000 MT CWE)"
"1997","1165","(1000 MT CWE)"
"1998","1247","(1000 MT CWE)"
"1999","1249","(1000 MT CWE)"
"2000","1316","(1000 MT CWE)"
"2001","1376","(1000 MT CWE)"
"2002","1343","(1000 MT CWE)"
"2003","1241","(1000 MT CWE)"
"2004","1369","(1000 MT CWE)"
"2005","1335","(1000 MT CWE)"
"2006","1377","(1000 MT CWE)"
"2007","1345","(1000 MT CWE)"
"2008","1351","(1000 MT CWE)"
"2009","1313","(1000 MT CWE)"
"2010","1313","(1000 MT CWE)"
"2011","1352","(1000 MT CWE)"
"2012","1347","(1000 MT CWE)"
"2013","1519","(1000 MT CWE)"
"2014","1762","(1000 MT CWE)"
"2015","1770","(1000 MT CWE)"
"2016","1412","(1000 MT CWE)"
"2017","1416","(1000 MT CWE)"
"2018","1582","(1000 MT CWE)"
"2019","1739","(1000 MT CWE)"
"2020","1473","(1000 MT CWE)"
"2021","1320","(1000 MT CWE)"
"2022","1470","(1000 MT CWE)"
