Market Year, Value, Unit Description
"1964","206","(1000 MT)"
"1965","206","(1000 MT)"
"1966","209","(1000 MT)"
"1967","222","(1000 MT)"
"1968","196","(1000 MT)"
"1969","198","(1000 MT)"
"1970","223","(1000 MT)"
"1971","203","(1000 MT)"
"1972","196","(1000 MT)"
"1973","185","(1000 MT)"
"1974","175","(1000 MT)"
"1975","161","(1000 MT)"
"1976","148","(1000 MT)"
"1977","118","(1000 MT)"
"1978","112","(1000 MT)"
"1979","105","(1000 MT)"
"1980","84","(1000 MT)"
"1981","79","(1000 MT)"
"1982","76","(1000 MT)"
"1983","88","(1000 MT)"
"1984","111","(1000 MT)"
"1985","114","(1000 MT)"
"1986","105","(1000 MT)"
"1987","104","(1000 MT)"
"1988","98","(1000 MT)"
"1989","96","(1000 MT)"
"1990","111","(1000 MT)"
"1991","111","(1000 MT)"
"1992","116","(1000 MT)"
"1993","131","(1000 MT)"
"1994","147","(1000 MT)"
"1995","138","(1000 MT)"
"1996","153","(1000 MT)"
"1997","147","(1000 MT)"
"1998","154","(1000 MT)"
"1999","176","(1000 MT)"
"2000","180","(1000 MT)"
"2001","160","(1000 MT)"
"2002","164","(1000 MT)"
"2003","163","(1000 MT)"
"2004","132","(1000 MT)"
"2005","131","(1000 MT)"
"2006","129","(1000 MT)"
"2007","117","(1000 MT)"
"2008","111","(1000 MT)"
"2009","118","(1000 MT)"
"2010","132","(1000 MT)"
"2011","121","(1000 MT)"
"2012","119","(1000 MT)"
"2013","117","(1000 MT)"
"2014","125","(1000 MT)"
"2015","120","(1000 MT)"
"2016","110","(1000 MT)"
"2017","103","(1000 MT)"
"2018","93","(1000 MT)"
"2019","70","(1000 MT)"
"2020","75","(1000 MT)"
"2021","80","(1000 MT)"
"2022","75","(1000 MT)"
