Market Year, Value, Unit Description
"1960","159","(1000 MT)"
"1961","186","(1000 MT)"
"1962","189","(1000 MT)"
"1963","171","(1000 MT)"
"1964","175","(1000 MT)"
"1965","125","(1000 MT)"
"1966","190","(1000 MT)"
"1967","181","(1000 MT)"
"1968","149","(1000 MT)"
"1969","192","(1000 MT)"
"1970","212","(1000 MT)"
"1971","214","(1000 MT)"
"1972","139","(1000 MT)"
"1973","106","(1000 MT)"
"1974","133","(1000 MT)"
"1975","131","(1000 MT)"
"1976","144","(1000 MT)"
"1977","130","(1000 MT)"
"1978","169","(1000 MT)"
"1979","151","(1000 MT)"
"1980","173","(1000 MT)"
"1981","212","(1000 MT)"
"1982","139","(1000 MT)"
"1983","238","(1000 MT)"
"1984","291","(1000 MT)"
"1985","228","(1000 MT)"
"1986","158","(1000 MT)"
"1987","221","(1000 MT)"
"1988","226","(1000 MT)"
"1989","227","(1000 MT)"
"1990","205","(1000 MT)"
"1991","280","(1000 MT)"
"1992","208","(1000 MT)"
"1993","202","(1000 MT)"
"1994","242","(1000 MT)"
"1995","325","(1000 MT)"
"1996","398","(1000 MT)"
"1997","271","(1000 MT)"
"1998","338","(1000 MT)"
"1999","406","(1000 MT)"
"2000","345","(1000 MT)"
"2001","457","(1000 MT)"
"2002","316","(1000 MT)"
"2003","392","(1000 MT)"
"2004","312","(1000 MT)"
"2005","380","(1000 MT)"
"2006","240","(1000 MT)"
"2007","387","(1000 MT)"
"2008","375","(1000 MT)"
"2009","328","(1000 MT)"
"2010","357","(1000 MT)"
"2011","451","(1000 MT)"
"2012","507","(1000 MT)"
"2013","390","(1000 MT)"
"2014","495","(1000 MT)"
"2015","400","(1000 MT)"
"2016","436","(1000 MT)"
"2017","387","(1000 MT)"
"2018","327","(1000 MT)"
"2019","268","(1000 MT)"
"2020","356","(1000 MT)"
"2021","430","(1000 MT)"
