Market Year, Value, Unit Description
"1960","685","(1000 MT CWE)"
"1961","730","(1000 MT CWE)"
"1962","879","(1000 MT CWE)"
"1963","957","(1000 MT CWE)"
"1964","998","(1000 MT CWE)"
"1965","964","(1000 MT CWE)"
"1966","949","(1000 MT CWE)"
"1967","896","(1000 MT CWE)"
"1968","896","(1000 MT CWE)"
"1969","979","(1000 MT CWE)"
"1970","1002","(1000 MT CWE)"
"1971","1104","(1000 MT CWE)"
"1972","1329","(1000 MT CWE)"
"1973","1514","(1000 MT CWE)"
"1974","1279","(1000 MT CWE)"
"1975","1703","(1000 MT CWE)"
"1976","1899","(1000 MT CWE)"
"1977","2158","(1000 MT CWE)"
"1978","2131","(1000 MT CWE)"
"1979","1770","(1000 MT CWE)"
"1980","1534","(1000 MT CWE)"
"1981","1421","(1000 MT CWE)"
"1982","1676","(1000 MT CWE)"
"1983","1412","(1000 MT CWE)"
"1984","1248","(1000 MT CWE)"
"1985","1338","(1000 MT CWE)"
"1986","1478","(1000 MT CWE)"
"1987","1549","(1000 MT CWE)"
"1988","1533","(1000 MT CWE)"
"1989","1565","(1000 MT CWE)"
"1990","1718","(1000 MT CWE)"
"1991","1735","(1000 MT CWE)"
"1992","1838","(1000 MT CWE)"
"1993","1806","(1000 MT CWE)"
"1994","1829","(1000 MT CWE)"
"1995","1717","(1000 MT CWE)"
"1996","1736","(1000 MT CWE)"
"1997","1942","(1000 MT CWE)"
"1998","1989","(1000 MT CWE)"
"1999","1956","(1000 MT CWE)"
"2000","2053","(1000 MT CWE)"
"2001","2079","(1000 MT CWE)"
"2002","2090","(1000 MT CWE)"
"2003","1998","(1000 MT CWE)"
"2004","2113","(1000 MT CWE)"
"2005","2090","(1000 MT CWE)"
"2006","2188","(1000 MT CWE)"
"2007","2169","(1000 MT CWE)"
"2008","2138","(1000 MT CWE)"
"2009","2106","(1000 MT CWE)"
"2010","2129","(1000 MT CWE)"
"2011","2129","(1000 MT CWE)"
"2012","2152","(1000 MT CWE)"
"2013","2359","(1000 MT CWE)"
"2014","2595","(1000 MT CWE)"
"2015","2547","(1000 MT CWE)"
"2016","2125","(1000 MT CWE)"
"2017","2149","(1000 MT CWE)"
"2018","2309","(1000 MT CWE)"
"2019","2432","(1000 MT CWE)"
"2020","2125","(1000 MT CWE)"
"2021","1900","(1000 MT CWE)"
"2022","2115","(1000 MT CWE)"
