"Date","Price","Open","High","Low","Change %"
"May 22","4.7944","4.6683","4.8001","4.6461","2.73%"
"Apr 22","4.6672","4.7442","4.8751","4.6607","-1.57%"
"Mar 22","4.7418","4.5814","4.8054","4.5675","3.51%"
"Feb 22","4.5812","4.4966","4.6064","4.4734","1.96%"
"Jan 22","4.4931","4.6158","4.6531","4.4310","-2.57%"
"Dec 21","4.6116","4.5353","4.6389","4.4587","1.73%"
"Nov 21","4.5331","4.8104","4.8222","4.4948","-5.90%"
"Oct 21","4.8172","4.6577","4.8307","4.6361","3.43%"
"Sep 21","4.6573","4.7267","4.8213","4.6395","-1.45%"
"Aug 21","4.7258","4.7436","4.7982","4.6172","-0.40%"
"Jul 21","4.7449","4.8416","4.9090","4.7191","-1.99%"
"Jun 21","4.8412","4.9271","4.9693","4.8238","-1.69%"
"May 21","4.9244","4.9959","5.0628","4.8933","-1.41%"
"Apr 21","4.9946","4.9780","5.0765","4.9508","0.36%"
"Mar 21","4.9767","4.9939","5.0981","4.9447","-0.21%"
"Feb 21","4.9874","4.9140","5.1645","4.8834","1.58%"
"Jan 21","4.9100","5.0223","5.0543","4.9047","-2.20%"
"Dec 20","5.0203","4.8322","5.0645","4.8222","3.94%"
"Nov 20","4.8301","4.7073","4.8737","4.6775","2.73%"
"Oct 20","4.7017","4.8636","4.8965","4.6904","-3.31%"
"Sep 20","4.8627","5.0521","5.0634","4.7811","-3.71%"
"Aug 20","5.0500","4.9844","5.0683","4.9396","1.38%"
"Jul 20","4.9811","4.8773","5.0572","4.8461","2.15%"
"Jun 20","4.8763","4.7513","4.9868","4.7431","2.53%"
"May 20","4.7561","4.5982","4.7793","4.4997","3.48%"
"Apr 20","4.5961","4.3436","4.6420","4.2411","5.80%"
"Mar 20","4.3441","4.5360","4.6448","3.8938","-4.53%"
"Feb 20","4.5502","4.6410","4.7323","4.4983","-1.96%"
"Jan 20","4.6411","4.8896","4.8965","4.6350","-5.05%"
"Dec 19","4.8879","4.7543","4.8975","4.7504","2.78%"
"Nov 19","4.7556","4.8530","4.8735","4.7490","-1.97%"
"Oct 19","4.8512","4.8252","4.8821","4.7628","0.61%"
"Sep 19","4.8218","4.8105","4.8997","4.7932","0.06%"
"Aug 19","4.8191","4.7122","4.8558","4.6870","2.30%"
"Jul 19","4.7109","4.8253","4.8735","4.7029","-2.25%"
"Jun 19","4.8192","4.7879","4.8531","4.7301","0.63%"
"May 19","4.7891","4.7474","4.8033","4.6883","0.90%"
"Apr 19","4.7466","4.7762","4.8325","4.7073","-0.30%"
"Mar 19","4.7609","4.7488","4.8008","4.7028","0.30%"
"Feb 19","4.7467","4.8735","4.9075","4.7458","-2.56%"
"Jan 19","4.8712","4.8480","4.9155","4.6504","0.51%"
"Dec 18","4.8465","5.1285","5.1407","4.8170","-4.75%"
"Nov 18","5.0882","4.9339","5.1010","4.9325","3.16%"
"Oct 18","4.9325","4.9672","4.9724","4.8363","-0.64%"
"Sep 18","4.9642","4.9166","5.0321","4.8566","1.09%"
"Aug 18","4.9108","5.0598","5.0862","4.9016","-2.80%"
"Jul 18","5.0525","4.8966","5.0880","4.8744","3.15%"
"Jun 18","4.8980","4.8516","4.9107","4.7575","0.99%"
"May 18","4.8501","4.7696","4.8688","4.7270","1.70%"
"Apr 18","4.7690","4.8247","4.9075","4.7652","-0.98%"
"Mar 18","4.8161","4.9138","4.9994","4.8119","-1.94%"
"Feb 18","4.9112","5.0662","5.0742","4.8927","-2.96%"
"Jan 18","5.0612","5.0765","5.1629","5.0525","-0.28%"
"Dec 17","5.0756","5.0042","5.1066","4.9638","1.50%"
"Nov 17","5.0004","5.0803","5.1095","4.9875","-1.52%"
"Oct 17","5.0774","5.2163","5.2406","5.0661","-2.57%"
"Sep 17","5.2115","5.2370","5.3280","5.1841","-0.46%"
"Aug 17","5.2355","5.3833","5.4054","5.1951","-2.69%"
"Jul 17","5.3805","5.2094","5.4282","5.1487","3.26%"
"Jun 17","5.2106","5.0592","5.2355","5.0121","3.00%"
"May 17","5.0590","5.1425","5.2110","5.0559","-1.89%"
"Apr 17","5.1565","5.2521","5.2642","5.1294","-1.79%"
"Mar 17","5.2505","5.2586","5.3506","5.1756","-0.14%"
"Feb 17","5.2577","5.2204","5.3165","5.1950","0.82%"
"Jan 17","5.2147","5.0209","5.2355","4.9747","4.10%"
"Dec 16","5.0094","5.0859","5.1971","4.9704","-1.42%"
"Nov 16","5.0815","5.1568","5.2810","5.0366","-1.41%"
"Oct 16","5.1540","5.1091","5.2287","5.0384","0.98%"
"Sep 16","5.1041","5.0215","5.1542","4.9686","1.73%"
"Aug 16","5.0175","5.0398","5.1480","4.9838","-0.46%"
"Jul 16","5.0409","4.9535","5.1304","4.9415","1.85%"
"Jun 16","4.9492","4.7634","5.0316","4.7407","4.05%"
"May 16","4.7565","4.9239","4.9978","4.6829","-3.35%"
