Market Year, Value, Unit Description
"1960","0","(1000 MT CWE)"
"1961","0","(1000 MT CWE)"
"1962","0","(1000 MT CWE)"
"1963","0","(1000 MT CWE)"
"1964","0","(1000 MT CWE)"
"1965","0","(1000 MT CWE)"
"1966","0","(1000 MT CWE)"
"1967","0","(1000 MT CWE)"
"1968","0","(1000 MT CWE)"
"1969","0","(1000 MT CWE)"
"1970","0","(1000 MT CWE)"
"1971","0","(1000 MT CWE)"
"1972","0","(1000 MT CWE)"
"1973","0","(1000 MT CWE)"
"1974","0","(1000 MT CWE)"
"1975","0","(1000 MT CWE)"
"1976","0","(1000 MT CWE)"
"1977","0","(1000 MT CWE)"
"1978","0","(1000 MT CWE)"
"1979","0","(1000 MT CWE)"
"1980","0","(1000 MT CWE)"
"1981","0","(1000 MT CWE)"
"1982","0","(1000 MT CWE)"
"1983","0","(1000 MT CWE)"
"1984","0","(1000 MT CWE)"
"1985","0","(1000 MT CWE)"
"1986","0","(1000 MT CWE)"
"1987","0","(1000 MT CWE)"
"1988","0","(1000 MT CWE)"
"1989","0","(1000 MT CWE)"
"1990","0","(1000 MT CWE)"
"1991","0","(1000 MT CWE)"
"1992","5","(1000 MT CWE)"
"1993","5","(1000 MT CWE)"
"1994","8","(1000 MT CWE)"
"1995","9","(1000 MT CWE)"
"1996","7","(1000 MT CWE)"
"1997","6","(1000 MT CWE)"
"1998","5","(1000 MT CWE)"
"1999","4","(1000 MT CWE)"
"2000","4","(1000 MT CWE)"
"2001","4","(1000 MT CWE)"
"2002","4","(1000 MT CWE)"
"2003","6","(1000 MT CWE)"
"2004","9","(1000 MT CWE)"
"2005","12","(1000 MT CWE)"
"2006","10","(1000 MT CWE)"
"2007","8","(1000 MT CWE)"
"2008","9","(1000 MT CWE)"
"2009","9","(1000 MT CWE)"
"2010","11","(1000 MT CWE)"
"2011","14","(1000 MT CWE)"
"2012","13","(1000 MT CWE)"
"2013","11","(1000 MT CWE)"
"2014","13","(1000 MT CWE)"
"2015","15","(1000 MT CWE)"
"2016","15","(1000 MT CWE)"
"2017","15","(1000 MT CWE)"
"2018","14","(1000 MT CWE)"
"2019","15","(1000 MT CWE)"
"2020","17","(1000 MT CWE)"
"2021","25","(1000 MT CWE)"
"2022","20","(1000 MT CWE)"
