Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig
Reefton Ews,Sep-00,0,174.6,-,-,D
Reefton Ews,Sep-00,2,9.5,-,-,D
Reefton Ews,Oct-00,0,266.6,-,-,D
Reefton Ews,Oct-00,2,11.6,*,-,D
Reefton Ews,Nov-00,0,74.4,-,-,D
Reefton Ews,Nov-00,2,12.5,-,-,D
Reefton Ews,Dec-00,0,181.6,-,-,D
Reefton Ews,Dec-00,2,16.1,-,-,D
Reefton Ews,Jan-01,0,78.2,-,-,D
Reefton Ews,Jan-01,2,15.7,-,-,D
Reefton Ews,Feb-01,0,16.8,-,-,D
Reefton Ews,Feb-01,2,17.4,-,-,D
Reefton Ews,Mar-01,0,71.2,-,-,D
Reefton Ews,Mar-01,2,15.7,-,-,D
Reefton Ews,Apr-01,0,57.5,-,-,D
Reefton Ews,Apr-01,2,11.8,-,-,D
Reefton Ews,May-01,0,184,-,-,-
Reefton Ews,May-01,2,8.6,-,-,D
Reefton Ews,Jun-01,0,166.4,*,-,R
Reefton Ews,Jun-01,2,5.3,*,-,D
Reefton Ews,Jul-01,0,15.4,-,-,D
Reefton Ews,Jul-01,2,3,-,-,D
Reefton Ews,Aug-01,0,194.6,-,-,D
Reefton Ews,Aug-01,2,7.8,-,-,D
Reefton Ews,Sep-01,0,59,-,-,D
Reefton Ews,Sep-01,2,10.7,-,-,D
Reefton Ews,Oct-01,0,201.8,-,-,D
Reefton Ews,Oct-01,2,13.4,-,-,D
Reefton Ews,Nov-01,0,224.8,-,-,D
Reefton Ews,Nov-01,2,13.4,-,-,D
Reefton Ews,Dec-01,0,335.2,-,-,D
Reefton Ews,Dec-01,2,16.2,-,-,D
Reefton Ews,Jan-02,0,171.8,-,-,D
Reefton Ews,Jan-02,2,17.3,-,-,D
Reefton Ews,Feb-02,0,57.6,-,-,D
Reefton Ews,Feb-02,2,16.7,-,-,D
Reefton Ews,Mar-02,0,145,-,-,D
Reefton Ews,Mar-02,2,15,*,-,D
Reefton Ews,Apr-02,0,76.4,-,-,D
Reefton Ews,Apr-02,2,12.2,-,-,D
Reefton Ews,May-02,0,194.6,-,-,D
Reefton Ews,May-02,2,8.8,-,-,D
Reefton Ews,Jun-02,0,371.2,-,-,D
Reefton Ews,Jun-02,2,8.2,-,-,D
Reefton Ews,Jul-02,0,40.6,-,-,D
Reefton Ews,Jul-02,2,5.4,-,-,D
Reefton Ews,Aug-02,0,126.4,-,-,D
Reefton Ews,Aug-02,2,7.1,-,-,D
Reefton Ews,Sep-02,0,230.4,-,-,D
Reefton Ews,Sep-02,2,9.2,-,-,D
Reefton Ews,Oct-02,0,157.4,-,-,D
Reefton Ews,Oct-02,2,9.6,-,-,D
Reefton Ews,Nov-02,0,133.6,-,-,D
Reefton Ews,Nov-02,2,12.6,-,-,D
Reefton Ews,Dec-02,0,149,-,-,D
Reefton Ews,Dec-02,2,14.9,-,-,D
Reefton Ews,Jan-03,0,112,-,-,D
Reefton Ews,Jan-03,2,15.9,*,-,D
Reefton Ews,Feb-03,0,86.8,-,-,D
Reefton Ews,Feb-03,2,15.4,-,-,D
Reefton Ews,Mar-03,0,70.2,-,-,D
Reefton Ews,Mar-03,2,16.3,-,-,D
Reefton Ews,Apr-03,0,23.4,-,-,D
Reefton Ews,Apr-03,2,11.2,-,-,D
Reefton Ews,May-03,0,212.8,-,-,D
Reefton Ews,May-03,2,9.2,-,-,D
Reefton Ews,Jun-03,0,356.8,-,-,D
Reefton Ews,Jun-03,2,7.4,-,-,D
Reefton Ews,Jul-03,0,55.4,-,-,D
Reefton Ews,Jul-03,2,4.4,-,-,D
Reefton Ews,Aug-03,0,127,-,-,D
Reefton Ews,Aug-03,2,6.9,-,-,D
Reefton Ews,Sep-03,0,260,-,-,D
Reefton Ews,Sep-03,2,8.6,*,-,D
Reefton Ews,Oct-03,0,145.6,-,-,D
Reefton Ews,Oct-03,2,11.1,-,-,D
Reefton Ews,Nov-03,0,171.6,-,-,D
Reefton Ews,Nov-03,2,12.2,-,-,D
Reefton Ews,Dec-03,0,104,-,-,D
Reefton Ews,Dec-03,2,15.5,-,-,D
Reefton Ews,Jan-04,0,178.8,-,-,D
Reefton Ews,Jan-04,2,18,-,-,D
Reefton Ews,Feb-04,0,259.8,-,-,D
Reefton Ews,Feb-04,2,14.5,-,-,D
Reefton Ews,Mar-04,0,76.8,-,-,D
Reefton Ews,Mar-04,2,13.4,-,-,D
