"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2011M12","White, self raising flour per 2 kg","Euro",""
"National Average Price","2011M12","Brown, wholemeal flour per 2 kg","Euro",""
"National Average Price","2011M12","Bread, white sliced pan, large (800g)","Euro",""
"National Average Price","2011M12","Bread, brown sliced pan, large (800g)","Euro",""
"National Average Price","2011M12","Spaghetti per 500g","Euro",""
"National Average Price","2011M12","Sirloin steak per kg","Euro",""
"National Average Price","2011M12","Striploin steak per kg","Euro",""
"National Average Price","2011M12","Roast beef - topside or rib per kg","Euro",""
"National Average Price","2011M12","Sliced / diced beef pieces per kg","Euro",""
"National Average Price","2011M12","Pork loin chops per kg","Euro",""
"National Average Price","2011M12","Pork steak per kg","Euro",""
"National Average Price","2011M12","Lamb - whole leg / half leg per kg","Euro",""
"National Average Price","2011M12","Lamb loin chops per kg","Euro",""
"National Average Price","2011M12","Lamb gigot chops per kg","Euro",""
"National Average Price","2011M12","Uncooked chicken medium size 1.6kg","Euro",""
"National Average Price","2011M12","Lamb's liver per kg","Euro",""
"National Average Price","2011M12","Ham fillet per kg","Euro",""
"National Average Price","2011M12","Cooked ham per kg","Euro",""
"National Average Price","2011M12","Best back rashers per kg","Euro",""
"National Average Price","2011M12","Pork sausages per kg","Euro",""
"National Average Price","2011M12","Fresh fillet of whiting per kg","Euro",""
"National Average Price","2011M12","Fresh fillet of cod per kg","Euro",""
"National Average Price","2011M12","Fresh salmon per kg","Euro",""
"National Average Price","2011M12","Fresh fillet of plaice per kg","Euro",""
"National Average Price","2011M12","Fresh hake per kg","Euro",""
"National Average Price","2011M12","Smoked salmon per kg","Euro",""
"National Average Price","2011M12","Full fat milk per 2 litre","Euro",""
"National Average Price","2011M12","Low fat milk per 1 litre","Euro",""
"National Average Price","2011M12","Irish cheddar per kg","Euro",""
"National Average Price","2011M12","Large eggs per half dozen","Euro",""
"National Average Price","2011M12","Medium eggs per half dozen","Euro",""
"National Average Price","2011M12","Butter per lb","Euro",""
"National Average Price","2011M12","Grapes per kg","Euro",""
"National Average Price","2011M12","Bananas per kg","Euro",""
"National Average Price","2011M12","Tomatoes per kg","Euro",""
"National Average Price","2011M12","Onions per kg","Euro",""
"National Average Price","2011M12","Broccoli per kg","Euro",""
"National Average Price","2011M12","Carrots per kg","Euro",""
"National Average Price","2011M12","Mushrooms per kg","Euro",""
"National Average Price","2011M12","Tomatoes tinned per 400g","Euro",""
"National Average Price","2011M12","Potatoes 2.5 kg","Euro",""
"National Average Price","2011M12","Potatoes 7.5 kg","Euro",""
"National Average Price","2011M12","Potatoes 10 kg","Euro",""
"National Average Price","2011M12","White granulated sugar per 1 kg","Euro",""
"National Average Price","2011M12","Jam per lb","Euro",""
"National Average Price","2011M12","Marmalade per lb","Euro",""
"National Average Price","2011M12","Tea bags per 80","Euro",""
"National Average Price","2011M12","Orange juice per litre","Euro",""
"National Average Price","2011M12","Whiskey - take home (70cl  bottle)","Euro",""
"National Average Price","2011M12","Brandy - take home (70cl  bottle)","Euro",""
"National Average Price","2011M12","Vodka - take home (70cl  bottle)","Euro",""
"National Average Price","2011M12","Cream liqueur - take home (70cl  bottle)","Euro",""
"National Average Price","2011M12","Wine - take home (75cl  bottle)","Euro",""
"National Average Price","2011M12","Cider - take home (50cl can)","Euro",""
"National Average Price","2011M12","Sherry - take home (75cl  bottle)","Euro",""
"National Average Price","2011M12","Lager - take home (50cl can)","Euro",""
"National Average Price","2011M12","Stout - take home (50cl can)","Euro",""
"National Average Price","2011M12","Filtered cigarettes per 20 pk","Euro",""
"National Average Price","2011M12","Stout - draught bar (1 pint)","Euro",""
"National Average Price","2011M12","Lager - draught bar (1 pint)","Euro",""
