"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2011M12","Lager - bar (33cl bottle)","Euro",""
"National Average Price","2011M12","Cider - draught bar (1 pint)","Euro",""
"National Average Price","2011M12","Ale - draught bar (1 pint)","Euro",""
"National Average Price","2011M12","Cider - bar (33cl bottle)","Euro",""
"National Average Price","2011M12","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average Price","2011M12","Whiskey - bar (single) per ½  glass","Euro",""
"National Average Price","2011M12","Brandy - bar (single) per ½  glass","Euro",""
"National Average Price","2011M12","Vodka - bar (single) per ½  glass","Euro",""
"National Average Price","2011M12","Wine - bar (187ml bottle)","Euro",""
"National Average Price","2011M12","Diesel per litre","Euro",""
"National Average Price","2011M12","Petrol - unleaded per litre","Euro",""
"National Average Price","2011M12","Cinema fee","Euro",""
"National Average Price","2011M12","Nightclubs fee","Euro",""
"National Average Price","2011M12","Gent's dry cut fee","Euro",""
"National Average Price","2011M12","Gent's wash, cut, and blow dry fee","Euro",""
"National Average Price","2011M12","Ladies' wash, cut and blow dry fee","Euro",""
"National Average Price","2012M01","White, self raising flour per 2 kg","Euro","2.13"
"National Average Price","2012M01","Brown, wholemeal flour per 2 kg","Euro","2.495"
"National Average Price","2012M01","Bread, white sliced pan, large (800g)","Euro","1.276"
"National Average Price","2012M01","Bread, brown sliced pan, large (800g)","Euro","1.539"
"National Average Price","2012M01","Spaghetti per 500g","Euro","1.202"
"National Average Price","2012M01","Sirloin steak per kg","Euro","15.093"
"National Average Price","2012M01","Striploin steak per kg","Euro","20.922"
"National Average Price","2012M01","Roast beef - topside or rib per kg","Euro","11.259"
"National Average Price","2012M01","Sliced / diced beef pieces per kg","Euro","9.706"
"National Average Price","2012M01","Pork loin chops per kg","Euro","8.399"
"National Average Price","2012M01","Pork steak per kg","Euro","9.34"
"National Average Price","2012M01","Lamb - whole leg / half leg per kg","Euro","12.527"
"National Average Price","2012M01","Lamb loin chops per kg","Euro","18.601"
"National Average Price","2012M01","Lamb gigot chops per kg","Euro","13.138"
"National Average Price","2012M01","Uncooked chicken medium size 1.6kg","Euro","5.361"
"National Average Price","2012M01","Lamb's liver per kg","Euro","5.626"
"National Average Price","2012M01","Ham fillet per kg","Euro","6.231"
"National Average Price","2012M01","Cooked ham per kg","Euro","16.341"
"National Average Price","2012M01","Best back rashers per kg","Euro","10.349"
"National Average Price","2012M01","Pork sausages per kg","Euro","5.431"
"National Average Price","2012M01","Fresh fillet of whiting per kg","Euro","10.671"
"National Average Price","2012M01","Fresh fillet of cod per kg","Euro","16.591"
"National Average Price","2012M01","Fresh salmon per kg","Euro","14.077"
"National Average Price","2012M01","Fresh fillet of plaice per kg","Euro","17.932"
"National Average Price","2012M01","Fresh hake per kg","Euro",""
"National Average Price","2012M01","Smoked salmon per kg","Euro","24.552"
"National Average Price","2012M01","Full fat milk per 2 litre","Euro","1.778"
"National Average Price","2012M01","Low fat milk per 1 litre","Euro","1.055"
"National Average Price","2012M01","Irish cheddar per kg","Euro","10.701"
"National Average Price","2012M01","Large eggs per half dozen","Euro","1.813"
"National Average Price","2012M01","Medium eggs per half dozen","Euro","1.559"
"National Average Price","2012M01","Butter per lb","Euro","2.769"
"National Average Price","2012M01","Grapes per kg","Euro","6.154"
"National Average Price","2012M01","Bananas per kg","Euro","1.33"
"National Average Price","2012M01","Tomatoes per kg","Euro","2.768"
"National Average Price","2012M01","Onions per kg","Euro","1.215"
"National Average Price","2012M01","Broccoli per kg","Euro","2.714"
"National Average Price","2012M01","Carrots per kg","Euro","1.183"
"National Average Price","2012M01","Mushrooms per kg","Euro","4.282"
"National Average Price","2012M01","Tomatoes tinned per 400g","Euro","0.844"
"National Average Price","2012M01","Potatoes 2.5 kg","Euro","3.06"
"National Average Price","2012M01","Potatoes 7.5 kg","Euro",""
"National Average Price","2012M01","Potatoes 10 kg","Euro","5.064"
"National Average Price","2012M01","White granulated sugar per 1 kg","Euro","1.299"
"National Average Price","2012M01","Jam per lb","Euro","1.765"
"National Average Price","2012M01","Marmalade per lb","Euro","1.874"
"National Average Price","2012M01","Tea bags per 80","Euro","2.788"
"National Average Price","2012M01","Orange juice per litre","Euro","1.346"
"National Average Price","2012M01","Whiskey - take home (70cl  bottle)","Euro","21.957"
"National Average Price","2012M01","Brandy - take home (70cl  bottle)","Euro","25.681"
"National Average Price","2012M01","Vodka - take home (70cl  bottle)","Euro","17.791"
"National Average Price","2012M01","Cream liqueur - take home (70cl  bottle)","Euro","15.331"
"National Average Price","2012M01","Wine - take home (75cl  bottle)","Euro","8.953"
"National Average Price","2012M01","Cider - take home (50cl can)","Euro","2.125"
"National Average Price","2012M01","Sherry - take home (75cl  bottle)","Euro","11.302"
"National Average Price","2012M01","Lager - take home (50cl can)","Euro","1.778"
"National Average Price","2012M01","Stout - take home (50cl can)","Euro","2.036"
"National Average Price","2012M01","Filtered cigarettes per 20 pk","Euro","9.014"
"National Average Price","2012M01","Stout - draught bar (1 pint)","Euro","3.963"
"National Average Price","2012M01","Lager - draught bar (1 pint)","Euro","4.276"
"National Average Price","2012M01","Lager - bar (33cl bottle)","Euro","4.351"
"National Average Price","2012M01","Cider - draught bar (1 pint)","Euro","4.471"
"National Average Price","2012M01","Ale - draught bar (1 pint)","Euro","4.005"
"National Average Price","2012M01","Cider - bar (33cl bottle)","Euro","4.472"
"National Average Price","2012M01","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.167"
"National Average Price","2012M01","Whiskey - bar (single) per ½  glass","Euro","3.703"
"National Average Price","2012M01","Brandy - bar (single) per ½  glass","Euro","4.271"
"National Average Price","2012M01","Vodka - bar (single) per ½  glass","Euro","3.764"
"National Average Price","2012M01","Wine - bar (187ml bottle)","Euro","4.844"
"National Average Price","2012M01","Diesel per litre","Euro","1.529"
"National Average Price","2012M01","Petrol - unleaded per litre","Euro","1.542"
"National Average Price","2012M01","Cinema fee","Euro","8.795"
"National Average Price","2012M01","Nightclubs fee","Euro","9.715"
"National Average Price","2012M01","Gent's dry cut fee","Euro","11.643"
"National Average Price","2012M01","Gent's wash, cut, and blow dry fee","Euro","18.585"
"National Average Price","2012M01","Ladies' wash, cut and blow dry fee","Euro","38.67"
"National Average Price","2012M02","White, self raising flour per 2 kg","Euro","2.146"
"National Average Price","2012M02","Brown, wholemeal flour per 2 kg","Euro","2.466"
"National Average Price","2012M02","Bread, white sliced pan, large (800g)","Euro","1.275"
"National Average Price","2012M02","Bread, brown sliced pan, large (800g)","Euro","1.541"
"National Average Price","2012M02","Spaghetti per 500g","Euro","1.186"
"National Average Price","2012M02","Sirloin steak per kg","Euro","15.112"
"National Average Price","2012M02","Striploin steak per kg","Euro","20.077"
"National Average Price","2012M02","Roast beef - topside or rib per kg","Euro","11.389"
"National Average Price","2012M02","Sliced / diced beef pieces per kg","Euro","9.969"
"National Average Price","2012M02","Pork loin chops per kg","Euro","8.419"
"National Average Price","2012M02","Pork steak per kg","Euro","9.079"
"National Average Price","2012M02","Lamb - whole leg / half leg per kg","Euro","11.197"
"National Average Price","2012M02","Lamb loin chops per kg","Euro","18.169"
"National Average Price","2012M02","Lamb gigot chops per kg","Euro","12.922"
"National Average Price","2012M02","Uncooked chicken medium size 1.6kg","Euro","5.51"
"National Average Price","2012M02","Lamb's liver per kg","Euro","5.524"
"National Average Price","2012M02","Ham fillet per kg","Euro","6.041"
"National Average Price","2012M02","Cooked ham per kg","Euro","15.955"
"National Average Price","2012M02","Best back rashers per kg","Euro","10.775"
"National Average Price","2012M02","Pork sausages per kg","Euro","5.461"
"National Average Price","2012M02","Fresh fillet of whiting per kg","Euro","10.48"
"National Average Price","2012M02","Fresh fillet of cod per kg","Euro","13.921"
"National Average Price","2012M02","Fresh salmon per kg","Euro","13.125"
"National Average Price","2012M02","Fresh fillet of plaice per kg","Euro","16.059"
"National Average Price","2012M02","Fresh hake per kg","Euro",""
"National Average Price","2012M02","Smoked salmon per kg","Euro","24.472"
"National Average Price","2012M02","Full fat milk per 2 litre","Euro","1.775"
"National Average Price","2012M02","Low fat milk per 1 litre","Euro","1.05"
"National Average Price","2012M02","Irish cheddar per kg","Euro","11.368"
"National Average Price","2012M02","Large eggs per half dozen","Euro","1.814"
"National Average Price","2012M02","Medium eggs per half dozen","Euro","1.568"
"National Average Price","2012M02","Butter per lb","Euro","2.771"
"National Average Price","2012M02","Grapes per kg","Euro","6.338"
"National Average Price","2012M02","Bananas per kg","Euro","1.359"
"National Average Price","2012M02","Tomatoes per kg","Euro","2.874"
"National Average Price","2012M02","Onions per kg","Euro","1.206"
"National Average Price","2012M02","Broccoli per kg","Euro","3.012"
"National Average Price","2012M02","Carrots per kg","Euro","1.193"
"National Average Price","2012M02","Mushrooms per kg","Euro","4.289"
"National Average Price","2012M02","Tomatoes tinned per 400g","Euro","0.845"
"National Average Price","2012M02","Potatoes 2.5 kg","Euro","3.11"
"National Average Price","2012M02","Potatoes 7.5 kg","Euro",""
"National Average Price","2012M02","Potatoes 10 kg","Euro","5.272"
"National Average Price","2012M02","White granulated sugar per 1 kg","Euro","1.337"
"National Average Price","2012M02","Jam per lb","Euro","1.908"
"National Average Price","2012M02","Marmalade per lb","Euro","1.869"
"National Average Price","2012M02","Tea bags per 80","Euro","2.854"
"National Average Price","2012M02","Orange juice per litre","Euro","1.401"
"National Average Price","2012M02","Whiskey - take home (70cl  bottle)","Euro","21.728"
"National Average Price","2012M02","Brandy - take home (70cl  bottle)","Euro","25.539"
"National Average Price","2012M02","Vodka - take home (70cl  bottle)","Euro","16.562"
"National Average Price","2012M02","Cream liqueur - take home (70cl  bottle)","Euro","14.262"
"National Average Price","2012M02","Wine - take home (75cl  bottle)","Euro","8.725"
"National Average Price","2012M02","Cider - take home (50cl can)","Euro","2.114"
"National Average Price","2012M02","Sherry - take home (75cl  bottle)","Euro","10.851"
"National Average Price","2012M02","Lager - take home (50cl can)","Euro","1.8"
"National Average Price","2012M02","Stout - take home (50cl can)","Euro","2.061"
"National Average Price","2012M02","Filtered cigarettes per 20 pk","Euro","9.024"
"National Average Price","2012M02","Stout - draught bar (1 pint)","Euro","3.985"
"National Average Price","2012M02","Lager - draught bar (1 pint)","Euro","4.322"
"National Average Price","2012M02","Lager - bar (33cl bottle)","Euro","4.363"
"National Average Price","2012M02","Cider - draught bar (1 pint)","Euro","4.481"
"National Average Price","2012M02","Ale - draught bar (1 pint)","Euro","4.035"
"National Average Price","2012M02","Cider - bar (33cl bottle)","Euro","4.484"
"National Average Price","2012M02","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.166"
"National Average Price","2012M02","Whiskey - bar (single) per ½  glass","Euro","3.728"
"National Average Price","2012M02","Brandy - bar (single) per ½  glass","Euro","4.298"
"National Average Price","2012M02","Vodka - bar (single) per ½  glass","Euro","3.785"
"National Average Price","2012M02","Wine - bar (187ml bottle)","Euro","4.878"
"National Average Price","2012M02","Diesel per litre","Euro","1.554"
"National Average Price","2012M02","Petrol - unleaded per litre","Euro","1.578"
"National Average Price","2012M02","Cinema fee","Euro","8.885"
"National Average Price","2012M02","Nightclubs fee","Euro","9.778"
"National Average Price","2012M02","Gent's dry cut fee","Euro","11.717"
"National Average Price","2012M02","Gent's wash, cut, and blow dry fee","Euro","17.855"
"National Average Price","2012M02","Ladies' wash, cut and blow dry fee","Euro","36.513"
"National Average Price","2012M03","White, self raising flour per 2 kg","Euro","2.14"
"National Average Price","2012M03","Brown, wholemeal flour per 2 kg","Euro","2.485"
"National Average Price","2012M03","Bread, white sliced pan, large (800g)","Euro","1.281"
"National Average Price","2012M03","Bread, brown sliced pan, large (800g)","Euro","1.529"
"National Average Price","2012M03","Spaghetti per 500g","Euro","1.196"
"National Average Price","2012M03","Sirloin steak per kg","Euro","14.936"
"National Average Price","2012M03","Striploin steak per kg","Euro","21.495"
"National Average Price","2012M03","Roast beef - topside or rib per kg","Euro","11.615"
"National Average Price","2012M03","Sliced / diced beef pieces per kg","Euro","9.897"
"National Average Price","2012M03","Pork loin chops per kg","Euro","8.448"
"National Average Price","2012M03","Pork steak per kg","Euro","9.038"
"National Average Price","2012M03","Lamb - whole leg / half leg per kg","Euro","11.859"
"National Average Price","2012M03","Lamb loin chops per kg","Euro","18.146"
"National Average Price","2012M03","Lamb gigot chops per kg","Euro","13"
"National Average Price","2012M03","Uncooked chicken medium size 1.6kg","Euro","5.702"
"National Average Price","2012M03","Lamb's liver per kg","Euro","5.671"
"National Average Price","2012M03","Ham fillet per kg","Euro","6.101"
"National Average Price","2012M03","Cooked ham per kg","Euro","15.698"
"National Average Price","2012M03","Best back rashers per kg","Euro","10.613"
"National Average Price","2012M03","Pork sausages per kg","Euro","5.383"
"National Average Price","2012M03","Fresh fillet of whiting per kg","Euro","10.848"
"National Average Price","2012M03","Fresh fillet of cod per kg","Euro","15.395"
"National Average Price","2012M03","Fresh salmon per kg","Euro","15.01"
"National Average Price","2012M03","Fresh fillet of plaice per kg","Euro","18.102"
"National Average Price","2012M03","Fresh hake per kg","Euro",""
"National Average Price","2012M03","Smoked salmon per kg","Euro","25.922"
"National Average Price","2012M03","Full fat milk per 2 litre","Euro","1.774"
"National Average Price","2012M03","Low fat milk per 1 litre","Euro","1.052"
"National Average Price","2012M03","Irish cheddar per kg","Euro","11.026"
"National Average Price","2012M03","Large eggs per half dozen","Euro","1.776"
"National Average Price","2012M03","Medium eggs per half dozen","Euro","1.485"
"National Average Price","2012M03","Butter per lb","Euro","2.769"
"National Average Price","2012M03","Grapes per kg","Euro","6.145"
"National Average Price","2012M03","Bananas per kg","Euro","1.371"
"National Average Price","2012M03","Tomatoes per kg","Euro","2.881"
"National Average Price","2012M03","Onions per kg","Euro","1.147"
"National Average Price","2012M03","Broccoli per kg","Euro","3.049"
"National Average Price","2012M03","Carrots per kg","Euro","1.176"
"National Average Price","2012M03","Mushrooms per kg","Euro","4.284"
"National Average Price","2012M03","Tomatoes tinned per 400g","Euro","0.839"
"National Average Price","2012M03","Potatoes 2.5 kg","Euro","3.013"
"National Average Price","2012M03","Potatoes 7.5 kg","Euro",""
"National Average Price","2012M03","Potatoes 10 kg","Euro","4.862"
"National Average Price","2012M03","White granulated sugar per 1 kg","Euro","1.341"
"National Average Price","2012M03","Jam per lb","Euro","1.953"
"National Average Price","2012M03","Marmalade per lb","Euro","1.838"
"National Average Price","2012M03","Tea bags per 80","Euro","2.949"
"National Average Price","2012M03","Orange juice per litre","Euro","1.518"
"National Average Price","2012M03","Whiskey - take home (70cl  bottle)","Euro","21.189"
"National Average Price","2012M03","Brandy - take home (70cl  bottle)","Euro","24.189"
"National Average Price","2012M03","Vodka - take home (70cl  bottle)","Euro","17.27"
"National Average Price","2012M03","Cream liqueur - take home (70cl  bottle)","Euro","13.34"
"National Average Price","2012M03","Wine - take home (75cl  bottle)","Euro","9.104"
"National Average Price","2012M03","Cider - take home (50cl can)","Euro","2.1"
"National Average Price","2012M03","Sherry - take home (75cl  bottle)","Euro","10.742"
"National Average Price","2012M03","Lager - take home (50cl can)","Euro","1.779"
"National Average Price","2012M03","Stout - take home (50cl can)","Euro","2.065"
"National Average Price","2012M03","Filtered cigarettes per 20 pk","Euro","9.027"
"National Average Price","2012M03","Stout - draught bar (1 pint)","Euro","3.984"
"National Average Price","2012M03","Lager - draught bar (1 pint)","Euro","4.323"
"National Average Price","2012M03","Lager - bar (33cl bottle)","Euro","4.371"
"National Average Price","2012M03","Cider - draught bar (1 pint)","Euro","4.486"
"National Average Price","2012M03","Ale - draught bar (1 pint)","Euro","4.028"
"National Average Price","2012M03","Cider - bar (33cl bottle)","Euro","4.492"
"National Average Price","2012M03","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.155"
"National Average Price","2012M03","Whiskey - bar (single) per ½  glass","Euro","3.728"
"National Average Price","2012M03","Brandy - bar (single) per ½  glass","Euro","4.302"
"National Average Price","2012M03","Vodka - bar (single) per ½  glass","Euro","3.786"
"National Average Price","2012M03","Wine - bar (187ml bottle)","Euro","4.903"
"National Average Price","2012M03","Diesel per litre","Euro","1.582"
"National Average Price","2012M03","Petrol - unleaded per litre","Euro","1.629"
"National Average Price","2012M03","Cinema fee","Euro","8.963"
"National Average Price","2012M03","Nightclubs fee","Euro","9.892"
"National Average Price","2012M03","Gent's dry cut fee","Euro","11.945"
"National Average Price","2012M03","Gent's wash, cut, and blow dry fee","Euro","17.792"
"National Average Price","2012M03","Ladies' wash, cut and blow dry fee","Euro","36.009"
"National Average Price","2012M04","White, self raising flour per 2 kg","Euro","2.132"
"National Average Price","2012M04","Brown, wholemeal flour per 2 kg","Euro","2.504"
"National Average Price","2012M04","Bread, white sliced pan, large (800g)","Euro","1.291"
"National Average Price","2012M04","Bread, brown sliced pan, large (800g)","Euro","1.529"
"National Average Price","2012M04","Spaghetti per 500g","Euro","1.17"
"National Average Price","2012M04","Sirloin steak per kg","Euro","15.338"
"National Average Price","2012M04","Striploin steak per kg","Euro","22.242"
"National Average Price","2012M04","Roast beef - topside or rib per kg","Euro","11.865"
"National Average Price","2012M04","Sliced / diced beef pieces per kg","Euro","10.004"
"National Average Price","2012M04","Pork loin chops per kg","Euro","8.526"
"National Average Price","2012M04","Pork steak per kg","Euro","9.382"
"National Average Price","2012M04","Lamb - whole leg / half leg per kg","Euro","12.558"
"National Average Price","2012M04","Lamb loin chops per kg","Euro","19.526"
"National Average Price","2012M04","Lamb gigot chops per kg","Euro","13.218"
"National Average Price","2012M04","Uncooked chicken medium size 1.6kg","Euro","5.772"
"National Average Price","2012M04","Lamb's liver per kg","Euro","5.669"
"National Average Price","2012M04","Ham fillet per kg","Euro","6.063"
"National Average Price","2012M04","Cooked ham per kg","Euro","16.248"
"National Average Price","2012M04","Best back rashers per kg","Euro","10.968"
"National Average Price","2012M04","Pork sausages per kg","Euro","5.577"
"National Average Price","2012M04","Fresh fillet of whiting per kg","Euro","10.844"
"National Average Price","2012M04","Fresh fillet of cod per kg","Euro","14.951"
"National Average Price","2012M04","Fresh salmon per kg","Euro","14.575"
"National Average Price","2012M04","Fresh fillet of plaice per kg","Euro","18.436"
"National Average Price","2012M04","Fresh hake per kg","Euro",""
"National Average Price","2012M04","Smoked salmon per kg","Euro","25.997"
"National Average Price","2012M04","Full fat milk per 2 litre","Euro","1.771"
"National Average Price","2012M04","Low fat milk per 1 litre","Euro","1.053"
"National Average Price","2012M04","Irish cheddar per kg","Euro","11.146"
"National Average Price","2012M04","Large eggs per half dozen","Euro","1.853"
"National Average Price","2012M04","Medium eggs per half dozen","Euro","1.648"
"National Average Price","2012M04","Butter per lb","Euro","2.768"
"National Average Price","2012M04","Grapes per kg","Euro","5.934"
"National Average Price","2012M04","Bananas per kg","Euro","1.362"
"National Average Price","2012M04","Tomatoes per kg","Euro","2.914"
"National Average Price","2012M04","Onions per kg","Euro","1.172"
"National Average Price","2012M04","Broccoli per kg","Euro","3.079"
"National Average Price","2012M04","Carrots per kg","Euro","1.128"
"National Average Price","2012M04","Mushrooms per kg","Euro","4.428"
"National Average Price","2012M04","Tomatoes tinned per 400g","Euro","0.846"
"National Average Price","2012M04","Potatoes 2.5 kg","Euro","2.953"
"National Average Price","2012M04","Potatoes 7.5 kg","Euro",""
"National Average Price","2012M04","Potatoes 10 kg","Euro","5.088"
"National Average Price","2012M04","White granulated sugar per 1 kg","Euro","1.343"
"National Average Price","2012M04","Jam per lb","Euro","1.95"
"National Average Price","2012M04","Marmalade per lb","Euro","1.843"
"National Average Price","2012M04","Tea bags per 80","Euro","2.908"
"National Average Price","2012M04","Orange juice per litre","Euro","1.458"
"National Average Price","2012M04","Whiskey - take home (70cl  bottle)","Euro","21.315"
"National Average Price","2012M04","Brandy - take home (70cl  bottle)","Euro","24.713"
"National Average Price","2012M04","Vodka - take home (70cl  bottle)","Euro","16.976"
"National Average Price","2012M04","Cream liqueur - take home (70cl  bottle)","Euro","14.236"
"National Average Price","2012M04","Wine - take home (75cl  bottle)","Euro","8.764"
"National Average Price","2012M04","Cider - take home (50cl can)","Euro","2.11"
"National Average Price","2012M04","Sherry - take home (75cl  bottle)","Euro","11.316"
"National Average Price","2012M04","Lager - take home (50cl can)","Euro","1.781"
"National Average Price","2012M04","Stout - take home (50cl can)","Euro","2.062"
"National Average Price","2012M04","Filtered cigarettes per 20 pk","Euro","9.026"
"National Average Price","2012M04","Stout - draught bar (1 pint)","Euro","3.982"
"National Average Price","2012M04","Lager - draught bar (1 pint)","Euro","4.325"
"National Average Price","2012M04","Lager - bar (33cl bottle)","Euro","4.368"
"National Average Price","2012M04","Cider - draught bar (1 pint)","Euro","4.479"
"National Average Price","2012M04","Ale - draught bar (1 pint)","Euro","4.026"
"National Average Price","2012M04","Cider - bar (33cl bottle)","Euro","4.493"
"National Average Price","2012M04","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.153"
"National Average Price","2012M04","Whiskey - bar (single) per ½  glass","Euro","3.732"
"National Average Price","2012M04","Brandy - bar (single) per ½  glass","Euro","4.3"
"National Average Price","2012M04","Vodka - bar (single) per ½  glass","Euro","3.785"
"National Average Price","2012M04","Wine - bar (187ml bottle)","Euro","4.88"
"National Average Price","2012M04","Diesel per litre","Euro","1.6"
"National Average Price","2012M04","Petrol - unleaded per litre","Euro","1.686"
"National Average Price","2012M04","Cinema fee","Euro","8.979"
"National Average Price","2012M04","Nightclubs fee","Euro","9.767"
"National Average Price","2012M04","Gent's dry cut fee","Euro","11.945"
"National Average Price","2012M04","Gent's wash, cut, and blow dry fee","Euro","17.702"
"National Average Price","2012M04","Ladies' wash, cut and blow dry fee","Euro","36.121"
"National Average Price","2012M05","White, self raising flour per 2 kg","Euro","2.132"
"National Average Price","2012M05","Brown, wholemeal flour per 2 kg","Euro","2.485"
"National Average Price","2012M05","Bread, white sliced pan, large (800g)","Euro","1.306"
"National Average Price","2012M05","Bread, brown sliced pan, large (800g)","Euro","1.511"
"National Average Price","2012M05","Spaghetti per 500g","Euro","1.175"
"National Average Price","2012M05","Sirloin steak per kg","Euro","15.257"
"National Average Price","2012M05","Striploin steak per kg","Euro","22.212"
"National Average Price","2012M05","Roast beef - topside or rib per kg","Euro","11.671"
"National Average Price","2012M05","Sliced / diced beef pieces per kg","Euro","10.102"
"National Average Price","2012M05","Pork loin chops per kg","Euro","8.581"
"National Average Price","2012M05","Pork steak per kg","Euro","9.342"
"National Average Price","2012M05","Lamb - whole leg / half leg per kg","Euro","12.114"
"National Average Price","2012M05","Lamb loin chops per kg","Euro","19.723"
"National Average Price","2012M05","Lamb gigot chops per kg","Euro","13.161"
"National Average Price","2012M05","Uncooked chicken medium size 1.6kg","Euro","5.62"
"National Average Price","2012M05","Lamb's liver per kg","Euro","5.711"
"National Average Price","2012M05","Ham fillet per kg","Euro","5.884"
"National Average Price","2012M05","Cooked ham per kg","Euro","16.61"
"National Average Price","2012M05","Best back rashers per kg","Euro","10.772"
"National Average Price","2012M05","Pork sausages per kg","Euro","5.453"
"National Average Price","2012M05","Fresh fillet of whiting per kg","Euro","10.927"
"National Average Price","2012M05","Fresh fillet of cod per kg","Euro","16.406"
"National Average Price","2012M05","Fresh salmon per kg","Euro","14.355"
"National Average Price","2012M05","Fresh fillet of plaice per kg","Euro","17.686"
"National Average Price","2012M05","Fresh hake per kg","Euro",""
"National Average Price","2012M05","Smoked salmon per kg","Euro","26.737"
"National Average Price","2012M05","Full fat milk per 2 litre","Euro","1.773"
"National Average Price","2012M05","Low fat milk per 1 litre","Euro","1.052"
"National Average Price","2012M05","Irish cheddar per kg","Euro","11.369"
"National Average Price","2012M05","Large eggs per half dozen","Euro","1.885"
"National Average Price","2012M05","Medium eggs per half dozen","Euro","1.664"
"National Average Price","2012M05","Butter per lb","Euro","2.778"
"National Average Price","2012M05","Grapes per kg","Euro","5.793"
"National Average Price","2012M05","Bananas per kg","Euro","1.375"
"National Average Price","2012M05","Tomatoes per kg","Euro","2.878"
"National Average Price","2012M05","Onions per kg","Euro","1.205"
"National Average Price","2012M05","Broccoli per kg","Euro","2.854"
"National Average Price","2012M05","Carrots per kg","Euro","1.16"
