"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average  Price","2001M12","Round steak per kg.","Euro","8.414"
"National Average  Price","2001M12","Sirloin steak per kg.","Euro","12.095"
"National Average  Price","2001M12","Striploin steak per kg.","Euro","16.448"
"National Average  Price","2001M12","Roast beef topside/rib per kg.","Euro","8.726"
"National Average  Price","2001M12","Sliced/diced beef pieces per kg.","Euro","7.041"
"National Average  Price","2001M12","Lamb whole leg per kg.","Euro","10.268"
"National Average  Price","2001M12","Lamb loin chops per kg.","Euro","17.227"
"National Average  Price","2001M12","Lamb gigot chops per kg.","Euro","10.613"
"National Average  Price","2001M12","Lamb pieces incl neck per kg.","Euro","5.066"
"National Average  Price","2001M12","Lambs liver per kg.","Euro","5.135"
"National Average  Price","2001M12","Roast loin of pork per kg.","Euro","9.211"
"National Average  Price","2001M12","Pork loin chops per kg.","Euro","8.92"
"National Average  Price","2001M12","Pork steak per kg.","Euro","11.27"
"National Average  Price","2001M12","Best back rashers per kg.","Euro","9.916"
"National Average  Price","2001M12","Ham fillet per kg.","Euro","8.769"
"National Average  Price","2001M12","Collar bacon per kg.","Euro","6.043"
"National Average  Price","2001M12","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2001M12","Cooked ham per kg.","Euro","13.622"
"National Average  Price","2001M12","Pork sausages per kg.","Euro","4.499"
"National Average  Price","2001M12","Fillet of whiting per kg.","Euro","7.849"
"National Average  Price","2001M12","Cod fillets per kg.","Euro","13.143"
"National Average  Price","2001M12","Salmon steak per kg.","Euro","11.645"
"National Average  Price","2001M12","Fillet of plaice per kg.","Euro","15.093"
"National Average  Price","2001M12","Smoked salmon per kg.","Euro","18.535"
"National Average  Price","2001M12","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2001M12","Potatoes 2.5 kg.","Euro","3.066"
"National Average  Price","2001M12","Potatoes 10 kg.","Euro","5.421"
"National Average  Price","2001M12","Tomatoes per kg.","Euro","2.482"
"National Average  Price","2001M12","Onions per kg.","Euro","1.283"
"National Average  Price","2001M12","Broccoli per kg.","Euro","2.949"
"National Average  Price","2001M12","Carrots per kg.","Euro","1.264"
"National Average  Price","2001M12","Mushrooms per kg.","Euro","3.782"
"National Average  Price","2001M12","Grapes per kg.","Euro","5.278"
"National Average  Price","2001M12","Bananas per kg.","Euro","1.685"
"National Average  Price","2001M12","1 litre full fat milk per ltr.","Euro","0.841"
"National Average  Price","2001M12","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2001M12","Irish cheddar per kg.","Euro","8.79"
"National Average  Price","2001M12","Butter per lb.","Euro","1.977"
"National Average  Price","2001M12","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2001M12","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2001M12","Bread white sliced, large (800g)","Euro","0.995"
"National Average  Price","2001M12","Bread brown sliced, large (800g)","Euro","1.092"
"National Average  Price","2001M12","White, self-raising flour per 2 kgs.","Euro","1.26"
"National Average  Price","2001M12","Brown, wholemeal flour per 2 kgs.","Euro","1.314"
"National Average  Price","2001M12","White granulated sugar per kg.","Euro","1.125"
"National Average  Price","2001M12","Tea bags per 80","Euro","2.458"
"National Average  Price","2001M12","Spaghetti per 500g.","Euro","0.933"
"National Average  Price","2001M12","Jam per lb.","Euro","1.518"
"National Average  Price","2001M12","Marmalade per lb.","Euro","1.48"
"National Average  Price","2001M12","Orange juice per ltr.","Euro","1.583"
"National Average  Price","2001M12","Stout - take home (6 x 250ml)","Euro","6.362"
"National Average  Price","2001M12","Lager - take home (500ml can)","Euro","1.921"
"National Average  Price","2001M12","Lager - take home (tray 12 by 330ml)","Euro",""
"National Average  Price","2001M12","Cider - take home ( 500ml can)","Euro","1.724"
"National Average  Price","2001M12","Whiskey - take home (70cl bottle)","Euro","18.285"
"National Average  Price","2001M12","Brandy - take home (70cl bottle)","Euro","24.35"
"National Average  Price","2001M12","Vodka - take home (70cl bottle)","Euro","16.216"
"National Average  Price","2001M12","Flavoured alcoholic drinks - take home 275ml bottle","Euro",""
"National Average  Price","2001M12","Cream liquer - take home (70cl bottle)","Euro","15.718"
"National Average  Price","2001M12","Sherry - take home (75cl bottle)","Euro","10.906"
"National Average  Price","2001M12","Table wine - take home (75cl bottle)","Euro","9.123"
"National Average  Price","2001M12","Stout - draught bar (1 pint)","Euro","3.062"
"National Average  Price","2001M12","Lager - draught lounge (1/2 pint)","Euro","1.989"
"National Average  Price","2001M12","Lager - draught lounge (1 pint)","Euro","3.373"
"National Average  Price","2001M12","Lager - bottled bar (330ml bottle)","Euro","3.407"
"National Average  Price","2001M12","Cider - draught bar (1 pint)","Euro",""
"National Average  Price","2001M12","Ale - draught bar (1 pint)","Euro","3.099"
"National Average  Price","2001M12","Cider - bar (330ml bottle)","Euro","3.519"
"National Average  Price","2001M12","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average  Price","2001M12","Whiskey - bar (single) per 1/2 glass","Euro","2.687"
"National Average  Price","2001M12","Brandy - bar (single) per 1/2 glass","Euro","3.225"
"National Average  Price","2001M12","Vodka - bar (single) per 1/2 glass","Euro","2.717"
"National Average  Price","2001M12","Wine - bar (187 ml bottle)","Euro",""
"National Average  Price","2001M12","Filtered cigarettes per 20 pk.","Euro","4.981"
"National Average  Price","2001M12","Cinema fee","Euro","6.335"
"National Average  Price","2001M12","Nightclubs fee","Euro","8.019"
"National Average  Price","2001M12","Gent's haircut - dry cut fee","Euro","8.233"
"National Average  Price","2001M12","Gent's haircut - wash, cut and blow dry fee","Euro",""
"National Average  Price","2001M12","Ladies shampoo, cut and blow dry fee","Euro","23.513"
"National Average  Price","2001M12","Petrol - unleaded per ltr.","Euro","0.816"
"National Average  Price","2001M12","Diesel per ltr.","Euro","0.758"
"National Average  Price","2001M12","Fillet/half leg pork per kg.","Euro","6.72"
"National Average  Price","2001M12","1 litre, low fat milk per ltr.","Euro","0.846"
"National Average  Price","2001M12","Large (size 2) eggs per dozen","Euro","2.449"
"National Average  Price","2001M12","Medium (size 3) eggs per dozen","Euro","2.073"
"National Average  Price","2001M12","White, plain flour per 2 kgs.","Euro","1.255"
"National Average  Price","2001M12","Fine quality wine - take home (75cl bottle)","Euro","14.592"
"National Average  Price","2002M01","Round steak per kg.","Euro","8.696"
"National Average  Price","2002M01","Sirloin steak per kg.","Euro","12.354"
"National Average  Price","2002M01","Striploin steak per kg.","Euro","16.762"
"National Average  Price","2002M01","Roast beef topside/rib per kg.","Euro","8.648"
"National Average  Price","2002M01","Sliced/diced beef pieces per kg.","Euro","7.156"
"National Average  Price","2002M01","Lamb whole leg per kg.","Euro","10.068"
"National Average  Price","2002M01","Lamb loin chops per kg.","Euro","17.317"
"National Average  Price","2002M01","Lamb gigot chops per kg.","Euro","10.617"
"National Average  Price","2002M01","Lamb pieces incl neck per kg.","Euro","5.954"
"National Average  Price","2002M01","Lambs liver per kg.","Euro","5.2"
"National Average  Price","2002M01","Roast loin of pork per kg.","Euro","9.217"
"National Average  Price","2002M01","Pork loin chops per kg.","Euro","8.978"
"National Average  Price","2002M01","Pork steak per kg.","Euro","11.632"
"National Average  Price","2002M01","Best back rashers per kg.","Euro","9.783"
"National Average  Price","2002M01","Ham fillet per kg.","Euro","8.499"
"National Average  Price","2002M01","Collar bacon per kg.","Euro","5.92"
"National Average  Price","2002M01","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2002M01","Cooked ham per kg.","Euro","13.195"
"National Average  Price","2002M01","Pork sausages per kg.","Euro","4.46"
"National Average  Price","2002M01","Fillet of whiting per kg.","Euro","8.257"
"National Average  Price","2002M01","Cod fillets per kg.","Euro","13.422"
"National Average  Price","2002M01","Salmon steak per kg.","Euro","12.98"
"National Average  Price","2002M01","Fillet of plaice per kg.","Euro","15.321"
"National Average  Price","2002M01","Smoked salmon per kg.","Euro","20.057"
"National Average  Price","2002M01","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2002M01","Potatoes 2.5 kg.","Euro","3.081"
"National Average  Price","2002M01","Potatoes 10 kg.","Euro","5.869"
"National Average  Price","2002M01","Tomatoes per kg.","Euro","2.534"
"National Average  Price","2002M01","Onions per kg.","Euro","1.249"
"National Average  Price","2002M01","Broccoli per kg.","Euro","3.147"
"National Average  Price","2002M01","Carrots per kg.","Euro","1.244"
"National Average  Price","2002M01","Mushrooms per kg.","Euro","3.948"
"National Average  Price","2002M01","Grapes per kg.","Euro","5.067"
"National Average  Price","2002M01","Bananas per kg.","Euro","1.691"
"National Average  Price","2002M01","1 litre full fat milk per ltr.","Euro","0.842"
"National Average  Price","2002M01","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2002M01","Irish cheddar per kg.","Euro","8.553"
"National Average  Price","2002M01","Butter per lb.","Euro","1.969"
"National Average  Price","2002M01","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2002M01","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2002M01","Bread white sliced, large (800g)","Euro","1.002"
"National Average  Price","2002M01","Bread brown sliced, large (800g)","Euro","1.1"
"National Average  Price","2002M01","White, self-raising flour per 2 kgs.","Euro","1.254"
"National Average  Price","2002M01","Brown, wholemeal flour per 2 kgs.","Euro","1.311"
"National Average  Price","2002M01","White granulated sugar per kg.","Euro","1.119"
"National Average  Price","2002M01","Tea bags per 80","Euro","2.441"
"National Average  Price","2002M01","Spaghetti per 500g.","Euro","0.923"
"National Average  Price","2002M01","Jam per lb.","Euro","1.51"
"National Average  Price","2002M01","Marmalade per lb.","Euro","1.465"
"National Average  Price","2002M01","Orange juice per ltr.","Euro","1.519"
"National Average  Price","2002M01","Stout - take home (6 x 250ml)","Euro","6.333"
"National Average  Price","2002M01","Lager - take home (500ml can)","Euro","1.896"
"National Average  Price","2002M01","Lager - take home (tray 12 by 330ml)","Euro",""
"National Average  Price","2002M01","Cider - take home ( 500ml can)","Euro","1.77"
"National Average  Price","2002M01","Whiskey - take home (70cl bottle)","Euro","18.26"
"National Average  Price","2002M01","Brandy - take home (70cl bottle)","Euro","24.307"
"National Average  Price","2002M01","Vodka - take home (70cl bottle)","Euro","16.222"
"National Average  Price","2002M01","Flavoured alcoholic drinks - take home 275ml bottle","Euro",""
"National Average  Price","2002M01","Cream liquer - take home (70cl bottle)","Euro","15.3"
"National Average  Price","2002M01","Sherry - take home (75cl bottle)","Euro","10.922"
"National Average  Price","2002M01","Table wine - take home (75cl bottle)","Euro","9.019"
"National Average  Price","2002M01","Stout - draught bar (1 pint)","Euro","3.088"
"National Average  Price","2002M01","Lager - draught lounge (1/2 pint)","Euro","1.994"
"National Average  Price","2002M01","Lager - draught lounge (1 pint)","Euro","3.412"
"National Average  Price","2002M01","Lager - bottled bar (330ml bottle)","Euro","3.45"
"National Average  Price","2002M01","Cider - draught bar (1 pint)","Euro",""
"National Average  Price","2002M01","Ale - draught bar (1 pint)","Euro","3.126"
"National Average  Price","2002M01","Cider - bar (330ml bottle)","Euro","3.582"
"National Average  Price","2002M01","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average  Price","2002M01","Whiskey - bar (single) per 1/2 glass","Euro","2.721"
"National Average  Price","2002M01","Brandy - bar (single) per 1/2 glass","Euro","3.241"
"National Average  Price","2002M01","Vodka - bar (single) per 1/2 glass","Euro","2.758"
"National Average  Price","2002M01","Wine - bar (187 ml bottle)","Euro",""
"National Average  Price","2002M01","Filtered cigarettes per 20 pk.","Euro","5.004"
"National Average  Price","2002M01","Cinema fee","Euro","6.366"
"National Average  Price","2002M01","Nightclubs fee","Euro","8.31"
"National Average  Price","2002M01","Gent's haircut - dry cut fee","Euro","8.75"
"National Average  Price","2002M01","Gent's haircut - wash, cut and blow dry fee","Euro",""
"National Average  Price","2002M01","Ladies shampoo, cut and blow dry fee","Euro","24.2"
"National Average  Price","2002M01","Petrol - unleaded per ltr.","Euro","0.813"
"National Average  Price","2002M01","Diesel per ltr.","Euro","0.753"
"National Average  Price","2002M01","Fillet/half leg pork per kg.","Euro","6.736"
"National Average  Price","2002M01","1 litre, low fat milk per ltr.","Euro","0.847"
"National Average  Price","2002M01","Large (size 2) eggs per dozen","Euro","2.359"
"National Average  Price","2002M01","Medium (size 3) eggs per dozen","Euro","2.069"
"National Average  Price","2002M01","White, plain flour per 2 kgs.","Euro","1.249"
"National Average  Price","2002M01","Fine quality wine - take home (75cl bottle)","Euro","14.279"
"National Average  Price","2002M02","Round steak per kg.","Euro","8.643"
"National Average  Price","2002M02","Sirloin steak per kg.","Euro","12.404"
"National Average  Price","2002M02","Striploin steak per kg.","Euro","16.826"
"National Average  Price","2002M02","Roast beef topside/rib per kg.","Euro","8.666"
"National Average  Price","2002M02","Sliced/diced beef pieces per kg.","Euro","7.095"
"National Average  Price","2002M02","Lamb whole leg per kg.","Euro","10.207"
"National Average  Price","2002M02","Lamb loin chops per kg.","Euro","17.389"
"National Average  Price","2002M02","Lamb gigot chops per kg.","Euro","10.667"
"National Average  Price","2002M02","Lamb pieces incl neck per kg.","Euro","6.331"
"National Average  Price","2002M02","Lambs liver per kg.","Euro","5.216"
"National Average  Price","2002M02","Roast loin of pork per kg.","Euro","9.192"
"National Average  Price","2002M02","Pork loin chops per kg.","Euro","8.897"
"National Average  Price","2002M02","Pork steak per kg.","Euro","11.413"
"National Average  Price","2002M02","Best back rashers per kg.","Euro","9.8"
"National Average  Price","2002M02","Ham fillet per kg.","Euro","8.467"
"National Average  Price","2002M02","Collar bacon per kg.","Euro","5.947"
"National Average  Price","2002M02","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2002M02","Cooked ham per kg.","Euro","13.237"
"National Average  Price","2002M02","Pork sausages per kg.","Euro","4.463"
"National Average  Price","2002M02","Fillet of whiting per kg.","Euro","8.273"
"National Average  Price","2002M02","Cod fillets per kg.","Euro","13.82"
"National Average  Price","2002M02","Salmon steak per kg.","Euro","11.97"
"National Average  Price","2002M02","Fillet of plaice per kg.","Euro","15.529"
"National Average  Price","2002M02","Smoked salmon per kg.","Euro","20.391"
"National Average  Price","2002M02","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2002M02","Potatoes 2.5 kg.","Euro","3.046"
"National Average  Price","2002M02","Potatoes 10 kg.","Euro","5.903"
"National Average  Price","2002M02","Tomatoes per kg.","Euro","2.674"
"National Average  Price","2002M02","Onions per kg.","Euro","1.297"
"National Average  Price","2002M02","Broccoli per kg.","Euro","3.48"
"National Average  Price","2002M02","Carrots per kg.","Euro","1.23"
"National Average  Price","2002M02","Mushrooms per kg.","Euro","3.934"
"National Average  Price","2002M02","Grapes per kg.","Euro","4.318"
"National Average  Price","2002M02","Bananas per kg.","Euro","1.67"
"National Average  Price","2002M02","1 litre full fat milk per ltr.","Euro","0.845"
"National Average  Price","2002M02","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2002M02","Irish cheddar per kg.","Euro","8.609"
"National Average  Price","2002M02","Butter per lb.","Euro","1.968"
"National Average  Price","2002M02","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2002M02","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2002M02","Bread white sliced, large (800g)","Euro","1.015"
"National Average  Price","2002M02","Bread brown sliced, large (800g)","Euro","1.122"
"National Average  Price","2002M02","White, self-raising flour per 2 kgs.","Euro","1.261"
"National Average  Price","2002M02","Brown, wholemeal flour per 2 kgs.","Euro","1.307"
"National Average  Price","2002M02","White granulated sugar per kg.","Euro","1.122"
"National Average  Price","2002M02","Tea bags per 80","Euro","2.444"
"National Average  Price","2002M02","Spaghetti per 500g.","Euro","0.924"
"National Average  Price","2002M02","Jam per lb.","Euro","1.518"
"National Average  Price","2002M02","Marmalade per lb.","Euro","1.4"
"National Average  Price","2002M02","Orange juice per ltr.","Euro","1.495"
"National Average  Price","2002M02","Stout - take home (6 x 250ml)","Euro","6.261"
"National Average  Price","2002M02","Lager - take home (500ml can)","Euro","1.856"
"National Average  Price","2002M02","Lager - take home (tray 12 by 330ml)","Euro",""
"National Average  Price","2002M02","Cider - take home ( 500ml can)","Euro","1.858"
"National Average  Price","2002M02","Whiskey - take home (70cl bottle)","Euro","18.295"
"National Average  Price","2002M02","Brandy - take home (70cl bottle)","Euro","24.348"
"National Average  Price","2002M02","Vodka - take home (70cl bottle)","Euro","16.187"
"National Average  Price","2002M02","Flavoured alcoholic drinks - take home 275ml bottle","Euro",""
"National Average  Price","2002M02","Cream liquer - take home (70cl bottle)","Euro","15.272"
"National Average  Price","2002M02","Sherry - take home (75cl bottle)","Euro","10.895"
"National Average  Price","2002M02","Table wine - take home (75cl bottle)","Euro","9.017"
"National Average  Price","2002M02","Stout - draught bar (1 pint)","Euro","3.09"
"National Average  Price","2002M02","Lager - draught lounge (1/2 pint)","Euro","2.012"
"National Average  Price","2002M02","Lager - draught lounge (1 pint)","Euro","3.425"
"National Average  Price","2002M02","Lager - bottled bar (330ml bottle)","Euro","3.469"
"National Average  Price","2002M02","Cider - draught bar (1 pint)","Euro",""
"National Average  Price","2002M02","Ale - draught bar (1 pint)","Euro","3.143"
"National Average  Price","2002M02","Cider - bar (330ml bottle)","Euro","3.604"
"National Average  Price","2002M02","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average  Price","2002M02","Whiskey - bar (single) per 1/2 glass","Euro","2.704"
"National Average  Price","2002M02","Brandy - bar (single) per 1/2 glass","Euro","3.226"
"National Average  Price","2002M02","Vodka - bar (single) per 1/2 glass","Euro","2.746"
"National Average  Price","2002M02","Wine - bar (187 ml bottle)","Euro",""
"National Average  Price","2002M02","Filtered cigarettes per 20 pk.","Euro","5.008"
"National Average  Price","2002M02","Cinema fee","Euro","6.447"
"National Average  Price","2002M02","Nightclubs fee","Euro","8.4"
"National Average  Price","2002M02","Gent's haircut - dry cut fee","Euro","8.96"
"National Average  Price","2002M02","Gent's haircut - wash, cut and blow dry fee","Euro",""
"National Average  Price","2002M02","Ladies shampoo, cut and blow dry fee","Euro","24.431"
"National Average  Price","2002M02","Petrol - unleaded per ltr.","Euro","0.815"
"National Average  Price","2002M02","Diesel per ltr.","Euro","0.753"
"National Average  Price","2002M02","Fillet/half leg pork per kg.","Euro","6.678"
"National Average  Price","2002M02","1 litre, low fat milk per ltr.","Euro","0.85"
"National Average  Price","2002M02","Large (size 2) eggs per dozen","Euro","2.352"
"National Average  Price","2002M02","Medium (size 3) eggs per dozen","Euro","2.076"
"National Average  Price","2002M02","White, plain flour per 2 kgs.","Euro","1.244"
"National Average  Price","2002M02","Fine quality wine - take home (75cl bottle)","Euro","14.515"
"National Average  Price","2002M03","Round steak per kg.","Euro","8.791"
"National Average  Price","2002M03","Sirloin steak per kg.","Euro","12.524"
"National Average  Price","2002M03","Striploin steak per kg.","Euro","16.998"
"National Average  Price","2002M03","Roast beef topside/rib per kg.","Euro","8.495"
"National Average  Price","2002M03","Sliced/diced beef pieces per kg.","Euro","7.244"
"National Average  Price","2002M03","Lamb whole leg per kg.","Euro","10.332"
"National Average  Price","2002M03","Lamb loin chops per kg.","Euro","17.382"
"National Average  Price","2002M03","Lamb gigot chops per kg.","Euro","10.666"
"National Average  Price","2002M03","Lamb pieces incl neck per kg.","Euro","6.581"
"National Average  Price","2002M03","Lambs liver per kg.","Euro","5.259"
"National Average  Price","2002M03","Roast loin of pork per kg.","Euro","8.627"
"National Average  Price","2002M03","Pork loin chops per kg.","Euro","8.654"
"National Average  Price","2002M03","Pork steak per kg.","Euro","11.74"
"National Average  Price","2002M03","Best back rashers per kg.","Euro","9.778"
"National Average  Price","2002M03","Ham fillet per kg.","Euro","8.684"
"National Average  Price","2002M03","Collar bacon per kg.","Euro","5.869"
"National Average  Price","2002M03","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2002M03","Cooked ham per kg.","Euro","13.105"
"National Average  Price","2002M03","Pork sausages per kg.","Euro","4.498"
"National Average  Price","2002M03","Fillet of whiting per kg.","Euro","7.92"
"National Average  Price","2002M03","Cod fillets per kg.","Euro","13.675"
"National Average  Price","2002M03","Salmon steak per kg.","Euro","11.761"
"National Average  Price","2002M03","Fillet of plaice per kg.","Euro","14.724"
"National Average  Price","2002M03","Smoked salmon per kg.","Euro","19.289"
"National Average  Price","2002M03","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2002M03","Potatoes 2.5 kg.","Euro","3.033"
"National Average  Price","2002M03","Potatoes 10 kg.","Euro","5.817"
"National Average  Price","2002M03","Tomatoes per kg.","Euro","3.495"
"National Average  Price","2002M03","Onions per kg.","Euro","1.295"
"National Average  Price","2002M03","Broccoli per kg.","Euro","3.451"
"National Average  Price","2002M03","Carrots per kg.","Euro","1.245"
"National Average  Price","2002M03","Mushrooms per kg.","Euro","3.954"
"National Average  Price","2002M03","Grapes per kg.","Euro","4.26"
"National Average  Price","2002M03","Bananas per kg.","Euro","1.496"
"National Average  Price","2002M03","1 litre full fat milk per ltr.","Euro","0.844"
"National Average  Price","2002M03","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2002M03","Irish cheddar per kg.","Euro","8.792"
"National Average  Price","2002M03","Butter per lb.","Euro","1.958"
"National Average  Price","2002M03","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2002M03","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2002M03","Bread white sliced, large (800g)","Euro","1.005"
"National Average  Price","2002M03","Bread brown sliced, large (800g)","Euro","1.111"
"National Average  Price","2002M03","White, self-raising flour per 2 kgs.","Euro","1.257"
"National Average  Price","2002M03","Brown, wholemeal flour per 2 kgs.","Euro","1.305"
"National Average  Price","2002M03","White granulated sugar per kg.","Euro","1.106"
"National Average  Price","2002M03","Tea bags per 80","Euro","2.423"
"National Average  Price","2002M03","Spaghetti per 500g.","Euro","0.931"
"National Average  Price","2002M03","Jam per lb.","Euro","1.516"
"National Average  Price","2002M03","Marmalade per lb.","Euro","1.453"
"National Average  Price","2002M03","Orange juice per ltr.","Euro","1.493"
"National Average  Price","2002M03","Stout - take home (6 x 250ml)","Euro","6.311"
"National Average  Price","2002M03","Lager - take home (500ml can)","Euro","1.869"
"National Average  Price","2002M03","Lager - take home (tray 12 by 330ml)","Euro",""
"National Average  Price","2002M03","Cider - take home ( 500ml can)","Euro","1.943"
"National Average  Price","2002M03","Whiskey - take home (70cl bottle)","Euro","18.319"
"National Average  Price","2002M03","Brandy - take home (70cl bottle)","Euro","24.36"
"National Average  Price","2002M03","Vodka - take home (70cl bottle)","Euro","16.268"
"National Average  Price","2002M03","Flavoured alcoholic drinks - take home 275ml bottle","Euro",""
"National Average  Price","2002M03","Cream liquer - take home (70cl bottle)","Euro","15.473"
"National Average  Price","2002M03","Sherry - take home (75cl bottle)","Euro","10.976"
"National Average  Price","2002M03","Table wine - take home (75cl bottle)","Euro","8.92"
"National Average  Price","2002M03","Stout - draught bar (1 pint)","Euro","3.17"
"National Average  Price","2002M03","Lager - draught lounge (1/2 pint)","Euro","2.077"
"National Average  Price","2002M03","Lager - draught lounge (1 pint)","Euro","3.506"
"National Average  Price","2002M03","Lager - bottled bar (330ml bottle)","Euro","3.549"
"National Average  Price","2002M03","Cider - draught bar (1 pint)","Euro",""
"National Average  Price","2002M03","Ale - draught bar (1 pint)","Euro","3.22"
"National Average  Price","2002M03","Cider - bar (330ml bottle)","Euro","3.706"
"National Average  Price","2002M03","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average  Price","2002M03","Whiskey - bar (single) per 1/2 glass","Euro","2.782"
"National Average  Price","2002M03","Brandy - bar (single) per 1/2 glass","Euro","3.317"
"National Average  Price","2002M03","Vodka - bar (single) per 1/2 glass","Euro","2.829"
"National Average  Price","2002M03","Wine - bar (187 ml bottle)","Euro",""
"National Average  Price","2002M03","Filtered cigarettes per 20 pk.","Euro","5.151"
"National Average  Price","2002M03","Cinema fee","Euro","6.462"
"National Average  Price","2002M03","Nightclubs fee","Euro","8.458"
"National Average  Price","2002M03","Gent's haircut - dry cut fee","Euro","9.276"
"National Average  Price","2002M03","Gent's haircut - wash, cut and blow dry fee","Euro",""
"National Average  Price","2002M03","Ladies shampoo, cut and blow dry fee","Euro","24.701"
"National Average  Price","2002M03","Petrol - unleaded per ltr.","Euro","0.821"
"National Average  Price","2002M03","Diesel per ltr.","Euro","0.757"
"National Average  Price","2002M03","Fillet/half leg pork per kg.","Euro","6.729"
"National Average  Price","2002M03","1 litre, low fat milk per ltr.","Euro","0.848"
"National Average  Price","2002M03","Large (size 2) eggs per dozen","Euro","2.397"
"National Average  Price","2002M03","Medium (size 3) eggs per dozen","Euro","2.088"
"National Average  Price","2002M03","White, plain flour per 2 kgs.","Euro","1.244"
"National Average  Price","2002M03","Fine quality wine - take home (75cl bottle)","Euro","14.257"
"National Average  Price","2002M04","Round steak per kg.","Euro","8.599"
"National Average  Price","2002M04","Sirloin steak per kg.","Euro","12.558"
"National Average  Price","2002M04","Striploin steak per kg.","Euro","16.943"
"National Average  Price","2002M04","Roast beef topside/rib per kg.","Euro","8.604"
"National Average  Price","2002M04","Sliced/diced beef pieces per kg.","Euro","7.23"
"National Average  Price","2002M04","Lamb whole leg per kg.","Euro","10.422"
"National Average  Price","2002M04","Lamb loin chops per kg.","Euro","17.629"
"National Average  Price","2002M04","Lamb gigot chops per kg.","Euro","10.752"
"National Average  Price","2002M04","Lamb pieces incl neck per kg.","Euro","6.694"
"National Average  Price","2002M04","Lambs liver per kg.","Euro","5.331"
"National Average  Price","2002M04","Roast loin of pork per kg.","Euro","8.978"
"National Average  Price","2002M04","Pork loin chops per kg.","Euro","9.001"
"National Average  Price","2002M04","Pork steak per kg.","Euro","11.765"
"National Average  Price","2002M04","Best back rashers per kg.","Euro","10.027"
"National Average  Price","2002M04","Ham fillet per kg.","Euro","8.698"
"National Average  Price","2002M04","Collar bacon per kg.","Euro","5.85"
"National Average  Price","2002M04","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2002M04","Cooked ham per kg.","Euro","13.576"
"National Average  Price","2002M04","Pork sausages per kg.","Euro","4.473"
"National Average  Price","2002M04","Fillet of whiting per kg.","Euro","7.993"
"National Average  Price","2002M04","Cod fillets per kg.","Euro","12.755"
"National Average  Price","2002M04","Salmon steak per kg.","Euro","12.624"
"National Average  Price","2002M04","Fillet of plaice per kg.","Euro","15.109"
"National Average  Price","2002M04","Smoked salmon per kg.","Euro","18.8"
"National Average  Price","2002M04","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2002M04","Potatoes 2.5 kg.","Euro","3.04"
"National Average  Price","2002M04","Potatoes 10 kg.","Euro","5.993"
"National Average  Price","2002M04","Tomatoes per kg.","Euro","3.509"
"National Average  Price","2002M04","Onions per kg.","Euro","1.294"
"National Average  Price","2002M04","Broccoli per kg.","Euro","3.231"
"National Average  Price","2002M04","Carrots per kg.","Euro","1.334"
"National Average  Price","2002M04","Mushrooms per kg.","Euro","3.717"
"National Average  Price","2002M04","Grapes per kg.","Euro","4.221"
"National Average  Price","2002M04","Bananas per kg.","Euro","1.669"
"National Average  Price","2002M04","1 litre full fat milk per ltr.","Euro","0.846"
"National Average  Price","2002M04","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2002M04","Irish cheddar per kg.","Euro","8.865"
"National Average  Price","2002M04","Butter per lb.","Euro","1.944"
"National Average  Price","2002M04","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2002M04","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2002M04","Bread white sliced, large (800g)","Euro","1.036"
"National Average  Price","2002M04","Bread brown sliced, large (800g)","Euro","1.154"
"National Average  Price","2002M04","White, self-raising flour per 2 kgs.","Euro","1.264"
"National Average  Price","2002M04","Brown, wholemeal flour per 2 kgs.","Euro","1.302"
"National Average  Price","2002M04","White granulated sugar per kg.","Euro","1.107"
