Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Feb-98,2,19.4,-
Paraparaumu Aero,Feb-98,9,158.4,-
Paraparaumu Aero,Mar-98,0,24.3,-
Paraparaumu Aero,Mar-98,2,17.8,-
Paraparaumu Aero,Mar-98,9,217.1,-
Paraparaumu Aero,Apr-98,0,59.1,-
Paraparaumu Aero,Apr-98,2,14.2,-
Paraparaumu Aero,Apr-98,9,174,-
Paraparaumu Aero,May-98,0,86.5,-
Paraparaumu Aero,May-98,2,12.4,-
Paraparaumu Aero,May-98,9,134.2,-
Paraparaumu Aero,Jun-98,0,149.3,-
Paraparaumu Aero,Jun-98,2,9.6,-
Paraparaumu Aero,Jun-98,9,72.1,-
Paraparaumu Aero,Jul-98,0,227,-
Paraparaumu Aero,Jul-98,2,10.8,-
Paraparaumu Aero,Jul-98,9,92.9,-
Paraparaumu Aero,Aug-98,0,40.7,-
Paraparaumu Aero,Aug-98,2,9.6,-
Paraparaumu Aero,Aug-98,9,144.4,-
Paraparaumu Aero,Sep-98,0,85.6,-
Paraparaumu Aero,Sep-98,2,11.8,-
Paraparaumu Aero,Sep-98,9,161.1,-
Paraparaumu Aero,Oct-98,0,350.5,-
Paraparaumu Aero,Oct-98,2,13.9,-
Paraparaumu Aero,Oct-98,9,167.7,-
Paraparaumu Aero,Nov-98,0,73.6,-
Paraparaumu Aero,Nov-98,2,13.9,-
Paraparaumu Aero,Nov-98,9,261.2,-
Paraparaumu Aero,Dec-98,0,38.1,-
Paraparaumu Aero,Dec-98,2,16.3,-
Paraparaumu Aero,Dec-98,9,232.5,-
Paraparaumu Aero,Jan-99,0,90.8,-
Paraparaumu Aero,Jan-99,2,18.7,-
Paraparaumu Aero,Jan-99,9,277.2,-
Paraparaumu Aero,Feb-99,0,29.6,-
Paraparaumu Aero,Feb-99,2,17.2,-
Paraparaumu Aero,Feb-99,9,226.2,-
Paraparaumu Aero,Mar-99,0,68.2,-
Paraparaumu Aero,Mar-99,2,18,-
Paraparaumu Aero,Mar-99,9,204.9,-
Paraparaumu Aero,Apr-99,0,30.8,-
