"Date","Price","Open","High","Low","Change %"
"Apr 17, 2022","4.3130","4.3123","4.3875","4.2758","0.03%"
"Apr 10, 2022","4.3116","4.3552","4.3927","4.3010","-0.96%"
"Apr 03, 2022","4.3535","4.4055","4.4767","4.3422","-1.23%"
"Mar 27, 2022","4.4079","4.4198","4.4455","4.3751","-0.58%"
"Mar 20, 2022","4.4338","4.3842","4.4540","4.3624","0.99%"
"Mar 13, 2022","4.3903","4.3168","4.3984","4.2866","1.75%"
"Mar 06, 2022","4.3149","4.3368","4.3794","4.2923","-0.46%"
"Feb 27, 2022","4.3347","4.2554","4.3440","4.2046","1.90%"
"Feb 20, 2022","4.2538","4.2407","4.3007","4.1962","0.39%"
"Feb 13, 2022","4.2372","4.2245","4.2597","4.1841","0.32%"
"Feb 06, 2022","4.2235","4.1928","4.2789","4.1757","0.32%"
"Jan 30, 2022","4.2100","4.1760","4.2520","4.1582","1.30%"
"Jan 23, 2022","4.1560","4.2652","4.2690","4.1531","-2.43%"
"Jan 16, 2022","4.2595","4.3278","4.3361","4.2520","-1.35%"
"Jan 09, 2022","4.3177","4.3178","4.3830","4.2936","-0.13%"
"Jan 02, 2022","4.3235","4.3387","4.3587","4.2920","-0.26%"
"Dec 26, 2021","4.3347","4.3488","4.3721","4.3219","-0.12%"
"Dec 19, 2021","4.3399","4.2983","4.3586","4.2723","1.05%"
"Dec 12, 2021","4.2947","4.3326","4.3523","4.2672","-0.79%"
"Dec 05, 2021","4.3287","4.3137","4.3411","4.2934","0.74%"
"Nov 28, 2021","4.2967","4.3597","4.3764","4.2980","-1.47%"
"Nov 21, 2021","4.3609","4.4787","4.4886","4.3481","-2.59%"
"Nov 14, 2021","4.4768","4.4942","4.5219","4.4556","-0.41%"
"Nov 07, 2021","4.4951","4.5509","4.5894","4.4724","-1.25%"
"Oct 31, 2021","4.5522","4.5862","4.6065","4.5271","-0.79%"
"Oct 24, 2021","4.5885","4.5637","4.6152","4.5522","0.48%"
"Oct 17, 2021","4.5664","4.5468","4.6125","4.5326","0.47%"
"Oct 10, 2021","4.5450","4.4813","4.5557","4.4485","1.67%"
"Oct 03, 2021","4.4705","4.4620","4.5017","4.4327","-0.10%"
"Sep 26, 2021","4.4749","4.5406","4.5455","4.4324","-1.34%"
"Sep 19, 2021","4.5359","4.5532","4.5814","4.5128","-0.35%"
"Sep 12, 2021","4.5517","4.5855","4.6093","4.5415","-0.72%"
"Sep 05, 2021","4.5849","4.6171","4.6260","4.5710","-0.76%"
"Aug 29, 2021","4.6202","4.5352","4.6274","4.5191","1.84%"
"Aug 22, 2021","4.5369","4.4399","4.5429","4.4285","2.25%"
"Aug 15, 2021","4.4371","4.5617","4.5659","4.4222","-2.65%"
"Aug 08, 2021","4.5577","4.5472","4.5763","4.5169","0.33%"
"Aug 01, 2021","4.5429","4.5127","4.5778","4.4956","0.82%"
"Jul 25, 2021","4.5058","4.5233","4.5445","4.4794","-0.27%"
"Jul 18, 2021","4.5178","4.5429","4.5455","4.4580","-0.39%"
"Jul 11, 2021","4.5356","4.5324","4.5577","4.4762","0.08%"
"Jul 04, 2021","4.5319","4.5505","4.5906","4.4903","-0.34%"
"Jun 27, 2021","4.5473","4.5746","4.5777","4.4966","-0.38%"
"Jun 20, 2021","4.5646","4.4791","4.5793","4.4714","2.04%"
"Jun 13, 2021","4.4735","4.5610","4.5866","4.4655","-1.85%"
"Jun 06, 2021","4.5576","4.6020","4.6340","4.5521","-1.16%"
"May 30, 2021","4.6111","4.6282","4.6458","4.5634","0.04%"
"May 23, 2021","4.6094","4.6069","4.6790","4.5972","-0.08%"
"May 16, 2021","4.6131","4.6488","4.6714","4.6020","-1.20%"
"May 09, 2021","4.6692","4.6842","4.6950","4.6061","-0.17%"
"May 02, 2021","4.6773","4.6415","4.6964","4.6059","0.92%"
"Apr 25, 2021","4.6347","4.6653","4.7147","4.6288","-0.72%"
"Apr 18, 2021","4.6682","4.6592","4.6970","4.6381","0.26%"
"Apr 11, 2021","4.6561","4.6097","4.6912","4.5869","1.10%"
"Apr 04, 2021","4.6055","4.6177","4.6432","4.5774","-0.20%"
"Mar 28, 2021","4.6149","4.5718","4.6267","4.5626","0.92%"
"Mar 21, 2021","4.5730","4.6595","4.6742","4.5373","-1.89%"
"Mar 14, 2021","4.6610","4.6724","4.7249","4.6503","-0.17%"
"Mar 07, 2021","4.6689","4.6465","4.7026","4.6371","0.40%"
"Feb 28, 2021","4.6505","4.6942","4.7290","4.6122","-0.67%"
"Feb 21, 2021","4.6819","4.7147","4.8147","4.6764","-0.70%"
"Feb 14, 2021","4.7151","4.6609","4.7245","4.6221","1.13%"
"Feb 07, 2021","4.6625","4.6405","4.6835","4.6326","0.18%"
"Jan 31, 2021","4.6539","4.6151","4.6686","4.5956","0.74%"
"Jan 24, 2021","4.6196","4.6608","4.6863","4.5967","-0.78%"
"Jan 17, 2021","4.6560","4.6215","4.6694","4.6035","0.66%"
"Jan 10, 2021","4.6254","4.6760","4.6937","4.6133","-1.36%"
"Jan 03, 2021","4.6892","4.6966","4.7235","4.6217","-0.14%"
"Dec 27, 2020","4.6960","4.6486","4.7365","4.6305","0.79%"
"Dec 20, 2020","4.6590","4.6450","4.6610","4.5893","0.06%"
"Dec 13, 2020","4.6560","4.6340","4.6865","4.6079","0.63%"
"Dec 06, 2020","4.6270","4.5959","4.6564","4.5826","0.58%"
"Nov 29, 2020","4.6005","4.6182","4.6505","4.5906","-0.35%"
"Nov 22, 2020","4.6168","4.5406","4.6309","4.5338","1.59%"
"Nov 15, 2020","4.5447","4.5168","4.5658","4.5066","0.55%"
"Nov 08, 2020","4.5197","4.4859","4.5858","4.4678","1.00%"
"Nov 01, 2020","4.4749","4.4325","4.5061","4.4091","1.07%"
"Oct 25, 2020","4.4274","4.4688","4.5110","4.4155","-1.02%"
"Oct 18, 2020","4.4731","4.4335","4.4784","4.3786","1.17%"
"Oct 11, 2020","4.4215","4.4600","4.4981","4.4157","-0.87%"
"Oct 04, 2020","4.4604","4.5091","4.5220","4.4287","-1.02%"
"Sep 27, 2020","4.5064","4.4655","4.5213","4.4545","0.97%"
"Sep 20, 2020","4.4630","4.5855","4.5919","4.4478","-2.43%"
"Sep 13, 2020","4.5742","4.5572","4.5952","4.5203","0.45%"
"Sep 06, 2020","4.5535","4.5914","4.6027","4.5190","-0.95%"
"Aug 30, 2020","4.5971","4.6170","4.6364","4.5616","-0.67%"
"Aug 23, 2020","4.6282","4.5232","4.6304","4.5052","2.31%"
"Aug 16, 2020","4.5236","4.5574","4.5957","4.4906","-0.45%"
"Aug 09, 2020","4.5440","4.6059","4.6115","4.5326","-1.21%"
"Aug 02, 2020","4.5996","4.6231","4.6535","4.5905","-0.48%"
"Jul 26, 2020","4.6219","4.6585","4.7011","4.6193","-0.89%"
"Jul 19, 2020","4.6634","4.5792","4.6816","4.5702","1.70%"
"Jul 12, 2020","4.5855","4.6016","4.6153","4.5623","-0.49%"
"Jul 05, 2020","4.6079","4.6143","4.6288","4.5781","-0.21%"
"Jun 28, 2020","4.6175","4.5442","4.6221","4.5163","1.53%"
"Jun 21, 2020","4.5477","4.5398","4.6125","4.5051","0.35%"
"Jun 14, 2020","4.5319","4.5631","4.6116","4.5262","-0.73%"
"Jun 07, 2020","4.5652","4.6069","4.6538","4.5170","-0.94%"
"May 31, 2020","4.6087","4.4254","4.6266","4.4116","4.10%"
"May 24, 2020","4.4272","4.3481","4.4590","4.3376","1.85%"
"May 17, 2020","4.3467","4.2180","4.3723","4.2045","3.16%"
"May 10, 2020","4.2137","4.3344","4.3576","4.2049","-2.91%"
"May 03, 2020","4.3401","4.2825","4.3503","4.2427","1.43%"
"Apr 26, 2020","4.2790","4.2505","4.3608","4.2456","0.37%"
"Apr 19, 2020","4.2633","4.2636","4.3088","4.1867","-0.08%"
"Apr 12, 2020","4.2665","4.2751","4.3190","4.1923","-0.50%"
"Apr 05, 2020","4.2877","4.1620","4.2948","4.1489","2.97%"
"Mar 29, 2020","4.1642","4.2642","4.3032","4.1454","-2.80%"
"Mar 22, 2020","4.2840","4.0568","4.3074","3.9685","5.73%"
"Mar 15, 2020","4.0518","4.2409","4.3138","3.8679","-4.58%"
"Mar 08, 2020","4.2465","4.4118","4.4805","4.2164","-3.63%"
"Mar 01, 2020","4.4064","4.3632","4.4191","4.3199","0.79%"
"Feb 23, 2020","4.3720","4.4572","4.4696","4.3294","-1.98%"
"Feb 16, 2020","4.4601","4.4971","4.5083","4.4336","-0.89%"
"Feb 09, 2020","4.5003","4.4893","4.5235","4.4521","0.40%"
