Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1922,03,11.4,Y
IDCJAC0001,042027,1922,04,4.8,Y
IDCJAC0001,042027,1922,05,10.2,Y
IDCJAC0001,042027,1922,06,42.2,Y
IDCJAC0001,042027,1922,07,0.0,Y
IDCJAC0001,042027,1922,08,0.0,Y
IDCJAC0001,042027,1922,09,52.1,Y
IDCJAC0001,042027,1922,10,21.9,Y
IDCJAC0001,042027,1922,11,0.0,Y
IDCJAC0001,042027,1922,12,93.2,Y
IDCJAC0001,042027,1923,01,0.0,Y
IDCJAC0001,042027,1923,02,5.8,Y
IDCJAC0001,042027,1923,03,23.9,Y
IDCJAC0001,042027,1923,04,25.6,Y
IDCJAC0001,042027,1923,05,9.4,Y
IDCJAC0001,042027,1923,06,43.3,Y
IDCJAC0001,042027,1923,07,10.4,Y
IDCJAC0001,042027,1923,08,16.0,Y
IDCJAC0001,042027,1923,09,29.8,Y
IDCJAC0001,042027,1923,10,35.0,Y
IDCJAC0001,042027,1923,11,22.3,Y
IDCJAC0001,042027,1923,12,115.9,Y
IDCJAC0001,042027,1924,01,88.9,Y
IDCJAC0001,042027,1924,02,100.4,Y
IDCJAC0001,042027,1924,03,18.8,Y
IDCJAC0001,042027,1924,04,51.6,Y
IDCJAC0001,042027,1924,05,8.4,Y
IDCJAC0001,042027,1924,06,19.1,Y
IDCJAC0001,042027,1924,07,56.2,Y
IDCJAC0001,042027,1924,08,56.9,Y
IDCJAC0001,042027,1924,09,36.6,Y
IDCJAC0001,042027,1924,10,33.7,Y
IDCJAC0001,042027,1924,11,207.3,Y
IDCJAC0001,042027,1924,12,32.2,Y
IDCJAC0001,042027,1925,01,32.2,Y
IDCJAC0001,042027,1925,02,103.9,Y
IDCJAC0001,042027,1925,03,23.3,Y
IDCJAC0001,042027,1925,04,0.0,Y
IDCJAC0001,042027,1925,05,102.0,Y
IDCJAC0001,042027,1925,06,56.6,Y
IDCJAC0001,042027,1925,07,18.0,Y
IDCJAC0001,042027,1925,08,52.3,Y
IDCJAC0001,042027,1925,09,0.0,Y
IDCJAC0001,042027,1925,10,4.3,Y
IDCJAC0001,042027,1925,11,55.2,Y
IDCJAC0001,042027,1925,12,48.4,Y
IDCJAC0001,042027,1926,01,137.7,Y
IDCJAC0001,042027,1926,02,15.5,Y
IDCJAC0001,042027,1926,03,58.9,Y
IDCJAC0001,042027,1926,04,23.3,Y
IDCJAC0001,042027,1926,05,47.5,Y
IDCJAC0001,042027,1926,06,14.8,Y
IDCJAC0001,042027,1926,07,15.0,Y
IDCJAC0001,042027,1926,08,6.3,Y
IDCJAC0001,042027,1926,09,37.4,Y
IDCJAC0001,042027,1926,10,18.8,Y
IDCJAC0001,042027,1926,11,0.0,Y
IDCJAC0001,042027,1926,12,90.2,Y
IDCJAC0001,042027,1927,01,52.6,Y
IDCJAC0001,042027,1927,02,4.5,Y
IDCJAC0001,042027,1927,03,43.2,Y
IDCJAC0001,042027,1927,04,29.8,Y
IDCJAC0001,042027,1927,05,7.6,Y
IDCJAC0001,042027,1927,06,29.4,Y
IDCJAC0001,042027,1927,07,0.0,Y
IDCJAC0001,042027,1927,08,3.6,Y
IDCJAC0001,042027,1927,09,2.0,Y
IDCJAC0001,042027,1927,10,43.6,Y
IDCJAC0001,042027,1927,11,53.9,Y
IDCJAC0001,042027,1927,12,92.5,Y
IDCJAC0001,042027,1928,01,191.8,Y
IDCJAC0001,042027,1928,02,148.8,Y
IDCJAC0001,042027,1928,03,105.6,Y
IDCJAC0001,042027,1928,04,39.4,Y
IDCJAC0001,042027,1928,05,9.7,Y
IDCJAC0001,042027,1928,06,71.0,Y
IDCJAC0001,042027,1928,07,34.2,Y
IDCJAC0001,042027,1928,08,0.0,Y
IDCJAC0001,042027,1928,09,0.0,Y
IDCJAC0001,042027,1928,10,4.1,Y
IDCJAC0001,042027,1928,11,44.2,Y
IDCJAC0001,042027,1928,12,12.7,Y
IDCJAC0001,042027,1929,01,11.2,Y
IDCJAC0001,042027,1929,02,100.6,Y
IDCJAC0001,042027,1929,03,47.0,Y
IDCJAC0001,042027,1929,04,164.6,Y
IDCJAC0001,042027,1929,05,0.0,Y
IDCJAC0001,042027,1929,06,16.8,Y
IDCJAC0001,042027,1929,07,5.1,Y
IDCJAC0001,042027,1929,08,19.8,Y
IDCJAC0001,042027,1929,09,15.2,Y
IDCJAC0001,042027,1929,10,28.7,Y
IDCJAC0001,042027,1929,11,37.6,Y
IDCJAC0001,042027,1929,12,26.7,Y
IDCJAC0001,042027,1930,01,59.5,Y
IDCJAC0001,042027,1930,02,3.8,Y
IDCJAC0001,042027,1930,03,10.9,Y
IDCJAC0001,042027,1930,04,29.8,Y
IDCJAC0001,042027,1930,05,42.1,Y
IDCJAC0001,042027,1930,06,96.8,Y
IDCJAC0001,042027,1930,07,60.5,Y
IDCJAC0001,042027,1930,08,61.7,Y
IDCJAC0001,042027,1930,09,13.4,Y
IDCJAC0001,042027,1930,10,80.6,Y
IDCJAC0001,042027,1930,11,51.1,Y
IDCJAC0001,042027,1930,12,23.1,Y
IDCJAC0001,042027,1931,01,4.6,Y
IDCJAC0001,042027,1931,02,3.0,Y
IDCJAC0001,042027,1931,03,188.9,Y
IDCJAC0001,042027,1931,04,37.3,Y
IDCJAC0001,042027,1931,05,39.1,Y
IDCJAC0001,042027,1931,06,50.0,Y
IDCJAC0001,042027,1931,07,26.7,Y
IDCJAC0001,042027,1931,08,3.0,Y
IDCJAC0001,042027,1931,09,25.5,Y
IDCJAC0001,042027,1931,10,27.9,Y
IDCJAC0001,042027,1931,11,70.2,Y
IDCJAC0001,042027,1931,12,176.8,Y
IDCJAC0001,042027,1932,01,7.6,Y
IDCJAC0001,042027,1932,02,0.0,Y
IDCJAC0001,042027,1932,03,30.4,Y
IDCJAC0001,042027,1932,04,45.9,Y
IDCJAC0001,042027,1932,05,46.0,Y
IDCJAC0001,042027,1932,06,20.6,Y
IDCJAC0001,042027,1932,07,30.0,Y
IDCJAC0001,042027,1932,08,9.9,Y
IDCJAC0001,042027,1932,09,69.6,Y
