DATE,AUSCPICORQINMEI
1971-04-01,9.65720455956485
1971-07-01,9.97683692539362
1971-10-01,10.1658468521516
1972-01-01,10.2648587309993
1972-04-01,10.3768924438532
1972-07-01,10.5684352994898
1972-10-01,10.6591467013479
1973-01-01,10.8237142150912
1973-04-01,11.1987156239808
1973-07-01,11.5396939781733
1973-10-01,11.892781960275
1974-01-01,12.2753179688628
1974-04-01,12.7550901017784
1974-07-01,13.4712367257044
1974-10-01,14.0226645720421
1975-01-01,14.6100355099963
1975-04-01,15.0835153879343
1975-07-01,15.1663446852437
1975-10-01,16.0619264716369
1976-01-01,16.5013050081218
1976-04-01,16.9497143872989
1976-07-01,17.3482334782352
1976-10-01,18.477933780869
1977-01-01,18.8638245968329
1977-04-01,19.3705751910252
1977-07-01,19.7080532005084
1977-10-01,20.1520799933738
1978-01-01,20.4885599630536
1978-04-01,20.8211962336747
1978-07-01,21.1911961338098
1978-10-01,21.5334911250349
1979-01-01,21.8650129845712
1979-04-01,22.316654807945
1979-07-01,22.8433334176905
1979-10-01,23.4694450819342
1980-01-01,23.8823053033927
1980-04-01,24.5611303675314
1980-07-01,24.9708113579692
1980-10-01,25.5140979475604
1981-01-01,26.0087189358204
1981-04-01,26.5469798860256
1981-07-01,27.1136166511509
1981-10-01,28.332156051822
1982-01-01,28.9903850637375
1982-04-01,29.6865185177185
1982-07-01,30.6114015825235
1982-10-01,31.5867347140074
1983-01-01,32.2370806649438
1983-04-01,32.8689313287589
1983-07-01,33.3781900799099
1983-10-01,34.2439748285729
1984-01-01,33.9758142363415
1984-04-01,34.1068587027547
1984-07-01,34.5221587206455
1984-10-01,35.0166805362912
1985-01-01,35.489118034926
1985-04-01,36.2843153335741
1985-07-01,37.1495590579346
1985-10-01,37.9753291180864
1986-01-01,38.8501254391277
1986-04-01,39.6793788270822
1986-07-01,40.6408415261047
1986-10-01,41.7987528786178
1987-01-01,42.7352780875147
1987-04-01,43.5762697984826
1987-07-01,44.36059508113
1987-10-01,45.1084248017533
1988-01-01,45.9008672686173
1988-04-01,46.7880315103244
1988-07-01,47.5875333055805
1988-10-01,48.6586567665714
1989-01-01,49.1157332184864
1989-04-01,50.2416913763517
1989-07-01,51.3492664268811
1989-10-01,52.3812531546901
1990-01-01,53.4340800878116
1990-04-01,54.2451446105543
1990-07-01,54.7127631406871
1990-10-01,55.9110242401183
1991-01-01,55.9528331285627
1991-04-01,56.2357396279013
1991-07-01,56.3856070994498
1991-10-01,57.0576463097817
1992-01-01,57.0250529502084
1992-04-01,56.7942583863692
1992-07-01,56.8685649663239
1992-10-01,57.1347031679182
1993-01-01,57.5461422768473
1993-04-01,57.8618035435456
1993-07-01,58.1131035589402
1993-10-01,58.1475477709574
1994-01-01,58.5003680026367
1994-04-01,58.8593938431153
1994-07-01,59.2095818653573
1994-10-01,59.7597735171018
1995-01-01,60.6344422803201
1995-04-01,61.601575464716
1995-07-01,62.2701310461978
1995-10-01,62.8295011706559
1996-01-01,63.0518752866679
1996-04-01,63.4908740607353
1996-07-01,63.6341121615157
1996-10-01,63.6251814395919
1997-01-01,63.6519076965153
1997-04-01,63.4060310212052
1997-07-01,63.0808538367866
1997-10-01,63.2546091206297
1998-01-01,63.5045105389476
1998-04-01,63.8715398548539
1998-07-01,63.9261052763192
1998-10-01,64.1615115032386
1999-01-01,64.1174889652877
1999-04-01,64.3540544029176
1999-07-01,64.8367221876805
1999-10-01,65.2661836313625
2000-01-01,65.7775514713915
2000-04-01,66.1910865883031
2000-07-01,68.9061877607621
2000-10-01,69.0604503502921
2001-01-01,69.6615826423892
2001-04-01,70.20118210407
2001-07-01,70.5344862298649
2001-10-01,71.0973164545607
2002-01-01,71.8017437073343
2002-04-01,72.2936606140681
2002-07-01,72.7365714659409
2002-10-01,73.1039490078971
2003-01-01,73.7191247300338
2003-04-01,74.0265116869966
2003-07-01,74.553091741424
2003-10-01,74.8414568835184
2004-01-01,75.2780273855916
2004-04-01,75.7547140438566
2004-07-01,76.0754513363112
2004-10-01,76.5091549035262
2005-01-01,77.1314352393179
2005-04-01,77.5242204625219
2005-07-01,77.9822774413134
2005-10-01,78.2273513501344
2006-01-01,78.7609158366939
2006-04-01,79.3839679671678
2006-07-01,79.9557243520098
2006-10-01,80.2499051126666
2007-01-01,80.6091651064329
2007-04-01,81.3209759814256
2007-07-01,81.8002289663216
2007-10-01,82.5124962846611
2008-01-01,83.2976857505151
2008-04-01,84.5135851911807
2008-07-01,85.3959448249934
2008-10-01,85.5412772126497
2009-01-01,85.5456212966371
2009-04-01,86.0926065696104
2009-07-01,86.9502925099346
2009-10-01,87.3499592962636
2010-01-01,87.9460296459468
2010-04-01,88.6153231430435
2010-07-01,89.5117227990904
2010-10-01,89.5381153163154
2011-01-01,90.1894343419012
2011-04-01,90.8691580604791
2011-07-01,91.4994978152263
2011-10-01,91.7737170576201
2012-01-01,92.1453253526107
2012-04-01,92.5958712390401
2012-07-01,93.537296106498
2012-10-01,93.7283034074764
2013-01-01,94.2291487796044
2013-04-01,94.7992419492394
2013-07-01,95.6782006867284
2013-10-01,96.3762877040282
2014-01-01,96.7847769077812
2014-04-01,97.4329303026764
2014-07-01,98.0348543960048
2014-10-01,98.6391019900139
2015-01-01,99.2621002709025
2015-04-01,99.6125658431459
2015-07-01,100.225522052296
2015-10-01,100.899811833655
2016-01-01,101.124870187129
2016-04-01,101.445543520331
2016-07-01,101.988281356429
2016-10-01,102.393724810324
2017-01-01,102.704935319141
2017-04-01,103.097143603826
2017-07-01,103.856184524837
2017-10-01,104.077662307148
2018-01-01,104.426300428656
2018-04-01,104.795098827317
2018-07-01,105.19530105453
2018-10-01,105.680040047173
2019-01-01,105.799182527066
2019-04-01,106.345640940654
2019-07-01,107.05340068793
2019-10-01,107.148758234917
2020-01-01,107.428753436676
2020-04-01,105.737272407882
2020-07-01,107.524649395054
2020-10-01,107.521067752268
2021-01-01,107.958167141262
2021-04-01,108.441247566701
2021-07-01,109.197184718038
2021-10-01,110.687577789638
