DATE,AUSCPIFODQINMEI
1976-07-01,17.2083284845828
1976-10-01,17.9728524094456
1977-01-01,18.1836715731512
1977-04-01,18.6493320451443
1977-07-01,19.4678011389828
1977-10-01,19.9285000987792
1978-01-01,19.9334616109759
1978-04-01,20.7469691926176
1978-07-01,21.3595806349473
1978-10-01,22.1780497287857
1979-01-01,22.8446063400909
1979-04-01,24.0698292247502
1979-07-01,24.6384185224978
1979-10-01,25.1530626512697
1980-01-01,26.3293018791502
1980-04-01,27.0448421472342
1980-07-01,27.5105026192274
1980-10-01,28.3289717130658
1981-01-01,28.9465446675922
1981-04-01,29.2063474880766
1981-07-01,30.4315703727359
1981-10-01,30.897230844729
1982-01-01,30.8581702123437
1982-04-01,31.1229345450248
1982-07-01,32.147261290372
1982-10-01,32.9167467274317
1983-01-01,33.534319681958
1983-04-01,35.2642636709958
1983-07-01,35.6809404862102
1983-10-01,36.0436721324489
1984-01-01,36.5093326044421
1984-04-01,36.0145345244571
1984-07-01,36.9309709318532
1984-10-01,37.3966314038463
1985-01-01,37.7103793933063
1985-04-01,38.229985034275
1985-07-01,38.9504868145558
1985-10-01,39.8768462463454
1986-01-01,40.4993807130685
1986-04-01,41.5726911151946
1986-07-01,42.9008428256082
1986-10-01,43.420448466577
1987-01-01,43.6362291424793
1987-04-01,43.4942396843396
1987-07-01,44.1607962956448
1987-10-01,44.7293855933924
1988-01-01,45.4498873736731
1988-04-01,47.2337765316865
1988-07-01,48.7138407246334
1988-10-01,49.3363751913565
1989-01-01,50.1598057973917
1989-04-01,51.7967439850685
1989-07-01,53.2768081780155
1989-10-01,53.2867312024089
1990-01-01,52.8998234603751
1990-04-01,54.4877779912731
1990-07-01,53.684193434025
1990-10-01,53.9539192789028
1991-01-01,55.3800383028742
1991-04-01,54.7823113971348
1991-07-01,55.1450430433735
1991-10-01,55.154966067767
1992-01-01,55.5617198585879
1992-04-01,55.5716428829814
1992-07-01,55.0718832907996
1992-10-01,55.5276207383993
1993-01-01,57.056668588125
1993-04-01,56.1501552051225
1993-07-01,56.7088214784765
1993-10-01,57.213542582855
1994-01-01,57.6643185182579
1994-04-01,57.7033791506432
1994-07-01,58.3649742497517
1994-10-01,58.7667665283758
1995-01-01,60.442765348438
1995-04-01,60.4576498850282
1995-07-01,61.672949745294
1995-10-01,61.8788073968028
1996-01-01,61.9327525657784
1996-04-01,62.4523582067471
1996-07-01,63.3148494451676
1996-10-01,63.8784772307184
1997-01-01,64.290192533736
1997-04-01,64.7508914935324
1997-07-01,64.7019078367536
1997-10-01,64.9517876328445
1998-01-01,65.4174481048377
1998-04-01,65.9320922336096
1998-07-01,67.1473920938754
1998-10-01,68.1128121580503
1999-01-01,68.8333139383311
1999-04-01,68.9412042762822
1999-07-01,69.1520234399878
1999-10-01,69.0639791508236
2000-01-01,69.0199570062416
2000-04-01,69.6865136175468
2000-07-01,68.8593844296922
2000-10-01,69.1780939313489
2001-01-01,72.3242339199645
2001-04-01,72.7948559041544
2001-07-01,73.206571207172
2001-10-01,75.7990064346303
2002-01-01,76.1127544240902
2002-04-01,75.309169866842
2002-07-01,76.2305677864348
2002-10-01,77.504774327873
2003-01-01,79.2886634858863
2003-04-01,78.9457778884345
2003-07-01,78.3480509826951
2003-10-01,79.8820603446176
2004-01-01,81.7639168161886
2004-04-01,80.4556111545619
2004-07-01,79.5001141147805
2004-10-01,80.8282658251942
2005-01-01,81.548767605475
2005-04-01,81.4067781473353
2005-07-01,81.926383788304
2005-10-01,83.8132017720717
2006-01-01,85.1903371392642
2006-04-01,90.0614596047208
2006-07-01,92.7568236579335
2006-10-01,93.0705716473935
2007-01-01,89.3905729464076
2007-04-01,91.3753582437329
2007-07-01,93.4680338790094
2007-10-01,92.826284828688
2008-01-01,94.9778671451369
2008-04-01,94.1891671244789
2008-07-01,95.5762255160649
2008-10-01,97.9237424596291
2009-01-01,100.477117054702
2009-04-01,98.7180354576724
2009-07-01,97.2088336567337
2009-10-01,99.0906901283047
2010-01-01,100.266929356185
2010-04-01,99.6152572814702
2010-07-01,98.6597602416888
2010-10-01,101.458053120656
2011-01-01,105.569613173446
2011-04-01,107.206551361123
2011-07-01,106.407928316072
2011-10-01,103.835339137401
2012-01-01,100.400258720309
2012-04-01,100.968848018056
2012-07-01,103.512299588736
2012-10-01,103.164452479087
2013-01-01,101.753217991706
2013-04-01,101.758179503903
2013-07-01,101.817086185075
2013-10-01,103.904800308155
2014-01-01,104.164603128639
2014-04-01,104.478351118099
2014-07-01,106.056382624604
2014-10-01,105.865409509685
2015-01-01,105.875332534079
2015-04-01,105.424556598676
2015-07-01,105.282567140536
2015-10-01,105.395418990684
2016-01-01,104.895659398502
2016-04-01,104.390938294124
2016-07-01,106.929428352607
2016-10-01,107.400050336796
2017-01-01,106.900290744615
2017-04-01,106.204596525318
2017-07-01,104.641449555403
2017-10-01,106.116552236154
2018-01-01,106.631196364926
