"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1991","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Electricity","ktoe","38"
"Fuel Consumption (ktoe)","1991","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1991","Agricultural","Sum of all fuel products","ktoe","261"
"Fuel Consumption (ktoe)","1991","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sum of all petroleum products","ktoe","227"
"Fuel Consumption (ktoe)","1992","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Gasoil/diesel/DERV","ktoe","227"
"Fuel Consumption (ktoe)","1992","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Electricity","ktoe","40"
"Fuel Consumption (ktoe)","1992","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1992","Agricultural","Sum of all fuel products","ktoe","267"
"Fuel Consumption (ktoe)","1992","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sum of all petroleum products","ktoe","228"
"Fuel Consumption (ktoe)","1993","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Gasoil/diesel/DERV","ktoe","228"
"Fuel Consumption (ktoe)","1993","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Electricity","ktoe","41"
"Fuel Consumption (ktoe)","1993","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1993","Agricultural","Sum of all fuel products","ktoe","269"
"Fuel Consumption (ktoe)","1993","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Bituminous coal","ktoe","0"
