"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1997","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Electricity","ktoe","47"
"Fuel Consumption (ktoe)","1997","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sum of all fuel products","ktoe","294"
"Fuel Consumption (ktoe)","1997","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sum of all petroleum products","ktoe","245"
"Fuel Consumption (ktoe)","1998","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Gasoil/diesel/DERV","ktoe","245"
"Fuel Consumption (ktoe)","1998","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Electricity","ktoe","50"
"Fuel Consumption (ktoe)","1998","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1998","Agricultural","Sum of all fuel products","ktoe","295"
"Fuel Consumption (ktoe)","1998","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sum of all petroleum products","ktoe","259"
"Fuel Consumption (ktoe)","1999","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Gasoil/diesel/DERV","ktoe","259"
"Fuel Consumption (ktoe)","1999","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Electricity","ktoe","46"
"Fuel Consumption (ktoe)","1999","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1999","Agricultural","Sum of all fuel products","ktoe","305"
"Fuel Consumption (ktoe)","1999","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sum of all petroleum products","ktoe","268"
"Fuel Consumption (ktoe)","2000","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Gasoil/diesel/DERV","ktoe","268"
"Fuel Consumption (ktoe)","2000","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Electricity","ktoe","49"
"Fuel Consumption (ktoe)","2000","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","2000","Agricultural","Sum of all fuel products","ktoe","317"
"Fuel Consumption (ktoe)","2000","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sum of all petroleum products","ktoe","271"
"Fuel Consumption (ktoe)","2001","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Gasoil/diesel/DERV","ktoe","271"
"Fuel Consumption (ktoe)","2001","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Electricity","ktoe","52"
"Fuel Consumption (ktoe)","2001","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","2001","Agricultural","Sum of all fuel products","ktoe","323"
"Fuel Consumption (ktoe)","2001","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sum of all petroleum products","ktoe","272"
"Fuel Consumption (ktoe)","2002","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Gasoil/diesel/DERV","ktoe","272"
"Fuel Consumption (ktoe)","2002","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Electricity","ktoe","52"
"Fuel Consumption (ktoe)","2002","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","2002","Agricultural","Sum of all fuel products","ktoe","324"
"Fuel Consumption (ktoe)","2002","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sum of all petroleum products","ktoe","273"
"Fuel Consumption (ktoe)","2003","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Gasoil/diesel/DERV","ktoe","273"
"Fuel Consumption (ktoe)","2003","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Electricity","ktoe","52"
"Fuel Consumption (ktoe)","2003","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","2003","Agricultural","Sum of all fuel products","ktoe","325"
"Fuel Consumption (ktoe)","2003","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sum of all petroleum products","ktoe","262"
"Fuel Consumption (ktoe)","2004","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Gasoil/diesel/DERV","ktoe","262"
"Fuel Consumption (ktoe)","2004","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Electricity","ktoe","52"
"Fuel Consumption (ktoe)","2004","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","2004","Agricultural","Sum of all fuel products","ktoe","314"
"Fuel Consumption (ktoe)","2004","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Sum of all petroleum products","ktoe","281"
"Fuel Consumption (ktoe)","2005","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Gasoil/diesel/DERV","ktoe","281"
"Fuel Consumption (ktoe)","2005","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","2005","Agricultural","Landfill gas","ktoe","0"
