"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","1976M01","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M01","Bran","Euro per Tonne","97"
"Feed Stuff Price","1976M01","Pollard","Euro per Tonne","94"
"Feed Stuff Price","1976M01","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M01","Barley meal","Euro per Tonne","103"
"Feed Stuff Price","1976M01","Maize meal","Euro per Tonne","116"
"Feed Stuff Price","1976M01","Flaked maize","Euro per Tonne","131"
"Feed Stuff Price","1976M01","Pig creep (18-24% protein)","Euro per Tonne","136"
"Feed Stuff Price","1976M01","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Pig fattening meal (13-15% protein)","Euro per Tonne","113"
"Feed Stuff Price","1976M01","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","118"
"Feed Stuff Price","1976M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Calf meal (16-18% protein)","Euro per Tonne","123"
"Feed Stuff Price","1976M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Dairy meal (16-18% protein)","Euro per Tonne","116"
"Feed Stuff Price","1976M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Chick mash (18-20% protein)","Euro per Tonne","135"
"Feed Stuff Price","1976M01","Layers' mash (14-16% protein)","Euro per Tonne","124"
"Feed Stuff Price","1976M01","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M01","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M01","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M01","Lamb feed (16-20% protein)","Euro per Tonne",""
