"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","1976M01","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M02","Bran","Euro per Tonne","99"
"Feed Stuff Price","1976M02","Pollard","Euro per Tonne","96"
"Feed Stuff Price","1976M02","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M02","Barley meal","Euro per Tonne","106"
"Feed Stuff Price","1976M02","Maize meal","Euro per Tonne","118"
"Feed Stuff Price","1976M02","Flaked maize","Euro per Tonne","134"
"Feed Stuff Price","1976M02","Pig creep (18-24% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M02","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Pig fattening meal (13-15% protein)","Euro per Tonne","116"
"Feed Stuff Price","1976M02","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","120"
"Feed Stuff Price","1976M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Calf meal (16-18% protein)","Euro per Tonne","124"
"Feed Stuff Price","1976M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Dairy meal (16-18% protein)","Euro per Tonne","117"
"Feed Stuff Price","1976M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Chick mash (18-20% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M02","Layers' mash (14-16% protein)","Euro per Tonne","126"
"Feed Stuff Price","1976M02","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M02","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M02","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M02","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M03","Bran","Euro per Tonne","102"
"Feed Stuff Price","1976M03","Pollard","Euro per Tonne","98"
"Feed Stuff Price","1976M03","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M03","Barley meal","Euro per Tonne","110"
"Feed Stuff Price","1976M03","Maize meal","Euro per Tonne","120"
"Feed Stuff Price","1976M03","Flaked maize","Euro per Tonne","136"
"Feed Stuff Price","1976M03","Pig creep (18-24% protein)","Euro per Tonne","141"
"Feed Stuff Price","1976M03","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Pig fattening meal (13-15% protein)","Euro per Tonne","118"
"Feed Stuff Price","1976M03","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","123"
"Feed Stuff Price","1976M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Calf meal (16-18% protein)","Euro per Tonne","127"
"Feed Stuff Price","1976M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Dairy meal (16-18% protein)","Euro per Tonne","119"
"Feed Stuff Price","1976M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Chick mash (18-20% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M03","Layers' mash (14-16% protein)","Euro per Tonne","128"
"Feed Stuff Price","1976M03","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M03","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M03","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M03","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M04","Bran","Euro per Tonne","106"
"Feed Stuff Price","1976M04","Pollard","Euro per Tonne","102"
"Feed Stuff Price","1976M04","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M04","Barley meal","Euro per Tonne","112"
"Feed Stuff Price","1976M04","Maize meal","Euro per Tonne","121"
"Feed Stuff Price","1976M04","Flaked maize","Euro per Tonne","139"
"Feed Stuff Price","1976M04","Pig creep (18-24% protein)","Euro per Tonne","146"
"Feed Stuff Price","1976M04","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Pig fattening meal (13-15% protein)","Euro per Tonne","122"
"Feed Stuff Price","1976M04","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","127"
"Feed Stuff Price","1976M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Calf meal (16-18% protein)","Euro per Tonne","130"
"Feed Stuff Price","1976M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Dairy meal (16-18% protein)","Euro per Tonne","122"
"Feed Stuff Price","1976M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Chick mash (18-20% protein)","Euro per Tonne","144"
"Feed Stuff Price","1976M04","Layers' mash (14-16% protein)","Euro per Tonne","133"
"Feed Stuff Price","1976M04","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M04","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M04","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M04","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M05","Bran","Euro per Tonne","110"
"Feed Stuff Price","1976M05","Pollard","Euro per Tonne","105"
"Feed Stuff Price","1976M05","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M05","Barley meal","Euro per Tonne","116"
"Feed Stuff Price","1976M05","Maize meal","Euro per Tonne","123"
"Feed Stuff Price","1976M05","Flaked maize","Euro per Tonne","142"
"Feed Stuff Price","1976M05","Pig creep (18-24% protein)","Euro per Tonne","152"
"Feed Stuff Price","1976M05","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Pig fattening meal (13-15% protein)","Euro per Tonne","127"
"Feed Stuff Price","1976M05","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","132"
"Feed Stuff Price","1976M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Calf meal (16-18% protein)","Euro per Tonne","135"
"Feed Stuff Price","1976M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Dairy meal (16-18% protein)","Euro per Tonne","127"
"Feed Stuff Price","1976M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Chick mash (18-20% protein)","Euro per Tonne","147"
"Feed Stuff Price","1976M05","Layers' mash (14-16% protein)","Euro per Tonne","137"
"Feed Stuff Price","1976M05","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M05","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M05","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M05","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M06","Bran","Euro per Tonne","110"
"Feed Stuff Price","1976M06","Pollard","Euro per Tonne","105"
"Feed Stuff Price","1976M06","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M06","Barley meal","Euro per Tonne","119"
"Feed Stuff Price","1976M06","Maize meal","Euro per Tonne","126"
"Feed Stuff Price","1976M06","Flaked maize","Euro per Tonne","145"
"Feed Stuff Price","1976M06","Pig creep (18-24% protein)","Euro per Tonne","156"
"Feed Stuff Price","1976M06","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Pig fattening meal (13-15% protein)","Euro per Tonne","130"
"Feed Stuff Price","1976M06","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","134"
"Feed Stuff Price","1976M06","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Calf meal (16-18% protein)","Euro per Tonne","137"
"Feed Stuff Price","1976M06","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Dairy meal (16-18% protein)","Euro per Tonne","128"
"Feed Stuff Price","1976M06","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Chick mash (18-20% protein)","Euro per Tonne","154"
"Feed Stuff Price","1976M06","Layers' mash (14-16% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M06","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M06","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M06","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M06","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M07","Bran","Euro per Tonne","110"
"Feed Stuff Price","1976M07","Pollard","Euro per Tonne","105"
"Feed Stuff Price","1976M07","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M07","Barley meal","Euro per Tonne","119"
"Feed Stuff Price","1976M07","Maize meal","Euro per Tonne","129"
"Feed Stuff Price","1976M07","Flaked maize","Euro per Tonne","146"
"Feed Stuff Price","1976M07","Pig creep (18-24% protein)","Euro per Tonne","159"
"Feed Stuff Price","1976M07","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Pig fattening meal (13-15% protein)","Euro per Tonne","132"
"Feed Stuff Price","1976M07","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","137"
"Feed Stuff Price","1976M07","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Calf meal (16-18% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M07","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Dairy meal (16-18% protein)","Euro per Tonne","132"
"Feed Stuff Price","1976M07","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Chick mash (18-20% protein)","Euro per Tonne","158"
"Feed Stuff Price","1976M07","Layers' mash (14-16% protein)","Euro per Tonne","144"
"Feed Stuff Price","1976M07","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M07","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M07","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M07","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M08","Bran","Euro per Tonne","109"
"Feed Stuff Price","1976M08","Pollard","Euro per Tonne","105"
"Feed Stuff Price","1976M08","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M08","Barley meal","Euro per Tonne","119"
"Feed Stuff Price","1976M08","Maize meal","Euro per Tonne","128"
"Feed Stuff Price","1976M08","Flaked maize","Euro per Tonne","148"
"Feed Stuff Price","1976M08","Pig creep (18-24% protein)","Euro per Tonne","159"
"Feed Stuff Price","1976M08","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Pig fattening meal (13-15% protein)","Euro per Tonne","134"
"Feed Stuff Price","1976M08","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","138"
"Feed Stuff Price","1976M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Calf meal (16-18% protein)","Euro per Tonne","142"
"Feed Stuff Price","1976M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Dairy meal (16-18% protein)","Euro per Tonne","132"
"Feed Stuff Price","1976M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Chick mash (18-20% protein)","Euro per Tonne","159"
"Feed Stuff Price","1976M08","Layers' mash (14-16% protein)","Euro per Tonne","144"
"Feed Stuff Price","1976M08","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M08","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M08","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M08","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M09","Bran","Euro per Tonne","114"
"Feed Stuff Price","1976M09","Pollard","Euro per Tonne","110"
"Feed Stuff Price","1976M09","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M09","Barley meal","Euro per Tonne","120"
"Feed Stuff Price","1976M09","Maize meal","Euro per Tonne","131"
"Feed Stuff Price","1976M09","Flaked maize","Euro per Tonne","149"
"Feed Stuff Price","1976M09","Pig creep (18-24% protein)","Euro per Tonne","160"
"Feed Stuff Price","1976M09","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Pig fattening meal (13-15% protein)","Euro per Tonne","136"
"Feed Stuff Price","1976M09","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","141"
"Feed Stuff Price","1976M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Calf meal (16-18% protein)","Euro per Tonne","143"
"Feed Stuff Price","1976M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Dairy meal (16-18% protein)","Euro per Tonne","133"
"Feed Stuff Price","1976M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Chick mash (18-20% protein)","Euro per Tonne","161"
"Feed Stuff Price","1976M09","Layers' mash (14-16% protein)","Euro per Tonne","147"
"Feed Stuff Price","1976M09","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M09","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M09","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M09","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M10","Bran","Euro per Tonne","123"
"Feed Stuff Price","1976M10","Pollard","Euro per Tonne","121"
"Feed Stuff Price","1976M10","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M10","Barley meal","Euro per Tonne","122"
"Feed Stuff Price","1976M10","Maize meal","Euro per Tonne","136"
"Feed Stuff Price","1976M10","Flaked maize","Euro per Tonne","158"
"Feed Stuff Price","1976M10","Pig creep (18-24% protein)","Euro per Tonne","165"
"Feed Stuff Price","1976M10","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Pig fattening meal (13-15% protein)","Euro per Tonne","140"
"Feed Stuff Price","1976M10","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","146"
"Feed Stuff Price","1976M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Calf meal (16-18% protein)","Euro per Tonne","148"
"Feed Stuff Price","1976M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Dairy meal (16-18% protein)","Euro per Tonne","137"
"Feed Stuff Price","1976M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Chick mash (18-20% protein)","Euro per Tonne","165"
"Feed Stuff Price","1976M10","Layers' mash (14-16% protein)","Euro per Tonne","152"
"Feed Stuff Price","1976M10","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M10","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M10","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M10","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M11","Bran","Euro per Tonne","128"
"Feed Stuff Price","1976M11","Pollard","Euro per Tonne","125"
"Feed Stuff Price","1976M11","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M11","Barley meal","Euro per Tonne","127"
"Feed Stuff Price","1976M11","Maize meal","Euro per Tonne","142"
"Feed Stuff Price","1976M11","Flaked maize","Euro per Tonne","165"
"Feed Stuff Price","1976M11","Pig creep (18-24% protein)","Euro per Tonne","172"
"Feed Stuff Price","1976M11","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Pig fattening meal (13-15% protein)","Euro per Tonne","147"
"Feed Stuff Price","1976M11","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","152"
"Feed Stuff Price","1976M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Calf meal (16-18% protein)","Euro per Tonne","157"
"Feed Stuff Price","1976M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Dairy meal (16-18% protein)","Euro per Tonne","144"
"Feed Stuff Price","1976M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Chick mash (18-20% protein)","Euro per Tonne","172"
"Feed Stuff Price","1976M11","Layers' mash (14-16% protein)","Euro per Tonne","158"
"Feed Stuff Price","1976M11","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1976M11","Wheat","Euro per Tonne",""
"Feed Stuff Price","1976M11","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M11","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1976M12","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1976M12","Bran","Euro per Tonne","131"
"Feed Stuff Price","1976M12","Pollard","Euro per Tonne","127"
"Feed Stuff Price","1976M12","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1976M12","Barley meal","Euro per Tonne","131"
"Feed Stuff Price","1976M12","Maize meal","Euro per Tonne","146"
"Feed Stuff Price","1976M12","Flaked maize","Euro per Tonne","166"
"Feed Stuff Price","1976M12","Pig creep (18-24% protein)","Euro per Tonne","175"
"Feed Stuff Price","1976M12","Pig grower (16-18% protein)","Euro per Tonne",""
