"Date","Price","Open","High","Low","Change %"
"Apr 22","0.8407","0.8424","0.8444","0.8249","-0.18%"
"Mar 22","0.8422","0.8359","0.8515","0.8201","0.77%"
"Feb 22","0.8358","0.8353","0.8479","0.8283","0.10%"
"Jan 22","0.8350","0.8403","0.8424","0.8303","-0.60%"
"Dec 21","0.8400","0.8525","0.8601","0.8367","-1.43%"
"Nov 21","0.8522","0.8451","0.8596","0.8379","0.95%"
"Oct 21","0.8442","0.8596","0.8625","0.8401","-1.77%"
"Sep 21","0.8594","0.8587","0.8659","0.8499","0.14%"
"Aug 21","0.8582","0.8537","0.8601","0.8450","0.54%"
"Jul 21","0.8536","0.8573","0.8673","0.8497","-0.41%"
"Jun 21","0.8571","0.8602","0.8647","0.8528","-0.34%"
"May 21","0.8600","0.8701","0.8716","0.8559","-1.12%"
"Apr 21","0.8697","0.8511","0.8722","0.8472","2.23%"
"Mar 21","0.8507","0.8663","0.8669","0.8501","-1.81%"
"Feb 21","0.8664","0.8852","0.8862","0.8541","-2.17%"
"Jan 21","0.8856","0.8934","0.9087","0.8810","-0.82%"
"Dec 20","0.8929","0.8953","0.9231","0.8928","-0.26%"
"Nov 20","0.8952","0.9002","0.9071","0.8858","-0.50%"
"Oct 20","0.8997","0.9073","0.9165","0.8982","-0.78%"
"Sep 20","0.9068","0.8930","0.9292","0.8864","1.60%"
"Aug 20","0.8925","0.9007","0.9073","0.8907","-0.82%"
"Jul 20","0.8999","0.9057","0.9149","0.8936","-0.62%"
"Jun 20","0.9055","0.8993","0.9179","0.8863","0.75%"
"May 20","0.8988","0.8699","0.9056","0.8688","3.35%"
"Apr 20","0.8697","0.8882","0.8913","0.8668","-2.05%"
"Mar 20","0.8879","0.8582","0.9503","0.8582","3.26%"
"Feb 20","0.8599","0.8393","0.8643","0.8280","2.34%"
"Jan 20","0.8402","0.8455","0.8598","0.8386","-0.53%"
"Dec 19","0.8447","0.8525","0.8593","0.8276","-0.81%"
"Nov 19","0.8516","0.8617","0.8659","0.8497","-1.14%"
"Oct 19","0.8614","0.8870","0.9021","0.8572","-2.82%"
"Sep 19","0.8864","0.9049","0.9150","0.8786","-1.91%"
"Aug 19","0.9037","0.9109","0.9326","0.9014","-0.76%"
"Jul 19","0.9106","0.8959","0.9191","0.8890","1.71%"
"Jun 19","0.8953","0.8845","0.8993","0.8824","1.20%"
"May 19","0.8847","0.8606","0.8878","0.8490","2.85%"
"Apr 19","0.8602","0.8613","0.8686","0.8501","-0.03%"
"Mar 19","0.8605","0.8574","0.8724","0.8469","0.40%"
"Feb 19","0.8571","0.8731","0.8842","0.8528","-1.81%"
"Jan 19","0.8729","0.8986","0.9135","0.8615","-2.87%"
"Dec 18","0.8987","0.8863","0.9090","0.8859","1.34%"
"Nov 18","0.8868","0.8861","0.8932","0.8654","0.10%"
"Oct 18","0.8859","0.8907","0.8942","0.8720","-0.54%"
"Sep 18","0.8907","0.8939","0.9054","0.8846","-0.45%"
"Aug 18","0.8947","0.8906","0.9100","0.8853","0.47%"
"Jul 18","0.8905","0.8843","0.8960","0.8798","0.69%"
"Jun 18","0.8844","0.8791","0.8892","0.8716","0.65%"
"May 18","0.8787","0.8777","0.8846","0.8695","0.22%"
"Apr 18","0.8768","0.8782","0.8828","0.8619","-0.23%"
"Mar 18","0.8788","0.8862","0.8970","0.8666","-0.80%"
"Feb 18","0.8859","0.8748","0.8921","0.8715","1.25%"
"Jan 18","0.8750","0.8881","0.8930","0.8686","-1.41%"
"Dec 17","0.8875","0.8801","0.8895","0.8688","0.88%"
"Nov 17","0.8798","0.8767","0.9016","0.8732","0.38%"
"Oct 17","0.8765","0.8834","0.9035","0.8765","-0.58%"
"Sep 17","0.8816","0.9210","0.9235","0.8744","-4.26%"
"Aug 17","0.9208","0.8961","0.9309","0.8921","2.78%"
"Jul 17","0.8959","0.8773","0.8996","0.8742","2.19%"
"Jun 17","0.8767","0.8723","0.8885","0.8648","0.55%"
"May 17","0.8719","0.8422","0.8752","0.8382","3.67%"
"Apr 17","0.8410","0.8504","0.8594","0.8314","-0.86%"
"Mar 17","0.8483","0.8543","0.8791","0.8483","-0.68%"
"Feb 17","0.8541","0.8584","0.8650","0.8401","-0.47%"
"Jan 17","0.8581","0.8518","0.8859","0.8449","0.73%"
"Dec 16","0.8519","0.8467","0.8668","0.8302","0.66%"
"Nov 16","0.8463","0.8970","0.9050","0.8453","-5.60%"
"Oct 16","0.8965","0.8680","0.9430","0.8674","3.53%"
"Sep 16","0.8659","0.8493","0.8719","0.8331","1.98%"
"Aug 16","0.8491","0.8443","0.8726","0.8343","0.52%"
"Jul 16","0.8447","0.8343","0.8628","0.8250","1.27%"
"Jun 16","0.8341","0.7689","0.8385","0.7598","8.52%"
"May 16","0.7686","0.7837","0.7948","0.7563","-1.93%"
"Apr 16","0.7837","0.7925","0.8119","0.7733","-1.06%"
"Mar 16","0.7921","0.7813","0.7948","0.7652","1.41%"
"Feb 16","0.7811","0.7607","0.7930","0.7525","2.74%"
"Jan 16","0.7603","0.7369","0.7757","0.7311","3.19%"
"Dec 15","0.7368","0.7017","0.7416","0.7006","5.05%"
"Nov 15","0.7014","0.7147","0.7211","0.6981","-1.65%"
"Oct 15","0.7132","0.7387","0.7495","0.7122","-3.44%"
"Sep 15","0.7386","0.7309","0.7438","0.7196","1.09%"
"Aug 15","0.7306","0.7020","0.7423","0.6950","3.91%"
"Jul 15","0.7031","0.7089","0.7225","0.6935","-0.78%"
"Jun 15","0.7086","0.7186","0.7390","0.6982","-1.36%"
"May 15","0.7184","0.7311","0.7486","0.7054","-1.71%"
"Apr 15","0.7309","0.7245","0.7383","0.7116","0.95%"
"Mar 15","0.7240","0.7248","0.7387","0.7013","-0.15%"
"Feb 15","0.7251","0.7489","0.7595","0.7244","-3.18%"
"Jan 15","0.7489","0.7768","0.7875","0.7404","-3.57%"
"Dec 14","0.7766","0.7958","0.8008","0.7758","-2.38%"
"Nov 14","0.7955","0.7825","0.8041","0.7796","1.62%"
"Oct 14","0.7828","0.7790","0.8048","0.7765","0.49%"
"Sep 14","0.7790","0.7916","0.8067","0.7765","-1.53%"
"Aug 14","0.7911","0.7929","0.8037","0.7909","-0.21%"
"Jul 14","0.7928","0.8004","0.8009","0.7873","-0.94%"
"Jun 14","0.8003","0.8135","0.8151","0.7958","-1.62%"
"May 14","0.8135","0.8219","0.8252","0.8080","-0.99%"
"Apr 14","0.8216","0.8266","0.8317","0.8195","-0.57%"
"Mar 14","0.8263","0.8231","0.8403","0.8203","0.27%"
"Feb 14","0.8241","0.8203","0.8350","0.8156","0.46%"
"Jan 14","0.8203","0.8299","0.8350","0.8167","-1.17%"
"Dec 13","0.8300","0.8306","0.8468","0.8249","-0.01%"
"Nov 13","0.8301","0.8468","0.8479","0.8296","-1.94%"
"Oct 13","0.8465","0.8357","0.8587","0.8331","1.32%"
"Sep 13","0.8355","0.8532","0.8532","0.8343","-1.98%"
"Aug 13","0.8524","0.8747","0.8770","0.8502","-2.52%"
"Jul 13","0.8744","0.8557","0.8780","0.8480","2.27%"
"Jun 13","0.8550","0.8501","0.8593","0.8467","0.01%"
"May 13","0.8549","0.8478","0.8601","0.8400","0.87%"
"Apr 13","0.8475","0.8429","0.8638","0.8397","0.57%"
"Mar 13","0.8427","0.8613","0.8795","0.8414","-2.17%"
"Feb 13","0.8614","0.8564","0.8816","0.8446","0.62%"
"Jan 13","0.8561","0.8123","0.8607","0.8084","5.34%"
"Dec 12","0.8127","0.8105","0.8227","0.8033","0.12%"
"Nov 12","0.8117","0.8033","0.8134","0.7959","1.06%"
"Oct 12","0.8032","0.7955","0.8166","0.7941","1.03%"
"Sep 12","0.7950","0.7922","0.8116","0.7886","0.30%"
"Aug 12","0.7926","0.7846","0.7965","0.7811","1.01%"
"Jul 12","0.7847","0.8073","0.8079","0.7761","-2.59%"
