"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2014M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","280"
"Feed Stuff Price","2014M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","288"
"Feed Stuff Price","2014M03","Dairy meal (16-18% protein)","Euro per Tonne","290"
"Feed Stuff Price","2014M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Layers' mash (14-16% protein)","Euro per Tonne","350"
"Feed Stuff Price","2014M03","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Milk replacer","Euro per Tonne","2233"
"Feed Stuff Price","2014M03","Wheat","Euro per Tonne","212"
"Feed Stuff Price","2014M03","Ewe feed coarse (16-20% protein)","Euro per Tonne","281"
"Feed Stuff Price","2014M03","Ewe pellets/nuts (16-20%)","Euro per Tonne","284"
"Feed Stuff Price","2014M03","Lamb feed (16-20% protein)","Euro per Tonne","308"
"Feed Stuff Price","2014M03","Cattle fattening meal (13-15% protein)","Euro per Tonne","281"
"Feed Stuff Price","2014M04","Rolled barley","Euro per Tonne","220"
"Feed Stuff Price","2014M04","Soya bean meal","Euro per Tonne","483"
"Feed Stuff Price","2014M04","Barley meal","Euro per Tonne","233"
"Feed Stuff Price","2014M04","Maize meal","Euro per Tonne","233"
"Feed Stuff Price","2014M04","Flaked maize","Euro per Tonne","296"
"Feed Stuff Price","2014M04","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Pig fattening meal (13-15% protein)","Euro per Tonne","310"
"Feed Stuff Price","2014M04","Sow breeder (14-16% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M04","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","283"
"Feed Stuff Price","2014M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M04","Dairy meal (16-18% protein)","Euro per Tonne","276"
"Feed Stuff Price","2014M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Broiler finisher (19-21% protein)","Euro per Tonne","479"
"Feed Stuff Price","2014M04","Milk replacer","Euro per Tonne","2222"
"Feed Stuff Price","2014M04","Wheat","Euro per Tonne","223"
"Feed Stuff Price","2014M04","Ewe feed coarse (16-20% protein)","Euro per Tonne","282"
"Feed Stuff Price","2014M04","Ewe pellets/nuts (16-20%)","Euro per Tonne","295"
"Feed Stuff Price","2014M04","Lamb feed (16-20% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M04","Cattle fattening meal (13-15% protein)","Euro per Tonne","277"
"Feed Stuff Price","2014M05","Rolled barley","Euro per Tonne","229"
"Feed Stuff Price","2014M05","Soya bean meal","Euro per Tonne","481"
"Feed Stuff Price","2014M05","Barley meal","Euro per Tonne","227"
"Feed Stuff Price","2014M05","Maize meal","Euro per Tonne","240"
"Feed Stuff Price","2014M05","Flaked maize","Euro per Tonne","295"
"Feed Stuff Price","2014M05","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Pig fattening meal (13-15% protein)","Euro per Tonne","308"
"Feed Stuff Price","2014M05","Sow breeder (14-16% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne","315"
"Feed Stuff Price","2014M05","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","292"
"Feed Stuff Price","2014M05","Dairy meal (16-18% protein)","Euro per Tonne","284"
"Feed Stuff Price","2014M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M05","Milk replacer","Euro per Tonne","2252"
"Feed Stuff Price","2014M05","Wheat","Euro per Tonne","225"
"Feed Stuff Price","2014M05","Ewe feed coarse (16-20% protein)","Euro per Tonne","290"
"Feed Stuff Price","2014M05","Ewe pellets/nuts (16-20%)","Euro per Tonne","296"
"Feed Stuff Price","2014M05","Lamb feed (16-20% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M05","Cattle fattening meal (13-15% protein)","Euro per Tonne","282"
"Feed Stuff Price","2014M06","Rolled barley","Euro per Tonne","225"
"Feed Stuff Price","2014M06","Soya bean meal","Euro per Tonne","480"
"Feed Stuff Price","2014M06","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M06","Maize meal","Euro per Tonne","240"
"Feed Stuff Price","2014M06","Flaked maize","Euro per Tonne","314"
"Feed Stuff Price","2014M06","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Pig fattening meal (13-15% protein)","Euro per Tonne","308"
"Feed Stuff Price","2014M06","Sow breeder (14-16% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M06","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Calf nuts and cubes (16-18% protein)","Euro per Tonne","312"
"Feed Stuff Price","2014M06","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
