"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2016M01","Wheat","Euro per Tonne","187"
"Feed Stuff Price","2016M01","Ewe feed coarse (16-20% protein)","Euro per Tonne","273"
"Feed Stuff Price","2016M01","Ewe pellets/nuts (16-20%)","Euro per Tonne","273"
"Feed Stuff Price","2016M01","Lamb feed (16-20% protein)","Euro per Tonne","288"
"Feed Stuff Price","2016M01","Cattle fattening meal (13-15% protein)","Euro per Tonne","254"
"Feed Stuff Price","2016M02","Rolled barley","Euro per Tonne","191"
"Feed Stuff Price","2016M02","Soya bean meal","Euro per Tonne","376"
"Feed Stuff Price","2016M02","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M02","Maize meal","Euro per Tonne","217"
"Feed Stuff Price","2016M02","Flaked maize","Euro per Tonne","278"
"Feed Stuff Price","2016M02","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Pig fattening meal (13-15% protein)","Euro per Tonne","259"
"Feed Stuff Price","2016M02","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne","294"
"Feed Stuff Price","2016M02","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264"
"Feed Stuff Price","2016M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M02","Dairy meal (16-18% protein)","Euro per Tonne","270"
"Feed Stuff Price","2016M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M02","Milk replacer","Euro per Tonne","2000"
"Feed Stuff Price","2016M02","Wheat","Euro per Tonne","188"
"Feed Stuff Price","2016M02","Ewe feed coarse (16-20% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M02","Ewe pellets/nuts (16-20%)","Euro per Tonne","274"
"Feed Stuff Price","2016M02","Lamb feed (16-20% protein)","Euro per Tonne","287"
"Feed Stuff Price","2016M02","Cattle fattening meal (13-15% protein)","Euro per Tonne","258"
"Feed Stuff Price","2016M03","Rolled barley","Euro per Tonne","188"
"Feed Stuff Price","2016M03","Soya bean meal","Euro per Tonne","373"
"Feed Stuff Price","2016M03","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M03","Maize meal","Euro per Tonne","217"
"Feed Stuff Price","2016M03","Flaked maize","Euro per Tonne","278"
"Feed Stuff Price","2016M03","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne","295"
"Feed Stuff Price","2016M03","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265"
"Feed Stuff Price","2016M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M03","Dairy meal (16-18% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M03","Milk replacer","Euro per Tonne","1982"
"Feed Stuff Price","2016M03","Wheat","Euro per Tonne","182"
"Feed Stuff Price","2016M03","Ewe feed coarse (16-20% protein)","Euro per Tonne","272"
"Feed Stuff Price","2016M03","Ewe pellets/nuts (16-20%)","Euro per Tonne","274"
"Feed Stuff Price","2016M03","Lamb feed (16-20% protein)","Euro per Tonne","284"
"Feed Stuff Price","2016M03","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2016M04","Rolled barley","Euro per Tonne","187"
"Feed Stuff Price","2016M04","Soya bean meal","Euro per Tonne","391"
"Feed Stuff Price","2016M04","Barley meal","Euro per Tonne","182"
"Feed Stuff Price","2016M04","Maize meal","Euro per Tonne","232"
"Feed Stuff Price","2016M04","Flaked maize","Euro per Tonne","275"
"Feed Stuff Price","2016M04","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne","307"
"Feed Stuff Price","2016M04","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","276"
"Feed Stuff Price","2016M04","Dairy meal (16-18% protein)","Euro per Tonne","261"
"Feed Stuff Price","2016M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M04","Milk replacer","Euro per Tonne","1957"
"Feed Stuff Price","2016M04","Wheat","Euro per Tonne","184"
"Feed Stuff Price","2016M04","Ewe feed coarse (16-20% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M04","Ewe pellets/nuts (16-20%)","Euro per Tonne","285"
"Feed Stuff Price","2016M04","Lamb feed (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2016M04","Cattle fattening meal (13-15% protein)","Euro per Tonne","255"
"Feed Stuff Price","2016M05","Rolled barley","Euro per Tonne","189"
"Feed Stuff Price","2016M05","Soya bean meal","Euro per Tonne","417"
"Feed Stuff Price","2016M05","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M05","Maize meal","Euro per Tonne","233"
"Feed Stuff Price","2016M05","Flaked maize","Euro per Tonne","285"
"Feed Stuff Price","2016M05","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2016M05","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","269"
"Feed Stuff Price","2016M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","274"
"Feed Stuff Price","2016M05","Dairy meal (16-18% protein)","Euro per Tonne","253"
"Feed Stuff Price","2016M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M05","Milk replacer","Euro per Tonne","1955"
"Feed Stuff Price","2016M05","Wheat","Euro per Tonne","180"
"Feed Stuff Price","2016M05","Ewe feed coarse (16-20% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M05","Ewe pellets/nuts (16-20%)","Euro per Tonne","280"
"Feed Stuff Price","2016M05","Lamb feed (16-20% protein)","Euro per Tonne","299"
"Feed Stuff Price","2016M05","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2016M06","Rolled barley","Euro per Tonne","189"
"Feed Stuff Price","2016M06","Soya bean meal","Euro per Tonne","435"
"Feed Stuff Price","2016M06","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M06","Maize meal","Euro per Tonne","234"
"Feed Stuff Price","2016M06","Flaked maize","Euro per Tonne","288"
"Feed Stuff Price","2016M06","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Calf nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2016M06","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M06","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","273"
"Feed Stuff Price","2016M06","Dairy meal (16-18% protein)","Euro per Tonne","250"
"Feed Stuff Price","2016M06","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M06","Milk replacer","Euro per Tonne","1970"
"Feed Stuff Price","2016M06","Wheat","Euro per Tonne","179"
"Feed Stuff Price","2016M06","Ewe feed coarse (16-20% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M06","Ewe pellets/nuts (16-20%)","Euro per Tonne","281"
"Feed Stuff Price","2016M06","Lamb feed (16-20% protein)","Euro per Tonne","299"
"Feed Stuff Price","2016M06","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2016M07","Rolled barley","Euro per Tonne","188"
"Feed Stuff Price","2016M07","Soya bean meal","Euro per Tonne","428"
"Feed Stuff Price","2016M07","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M07","Maize meal","Euro per Tonne","231"
"Feed Stuff Price","2016M07","Flaked maize","Euro per Tonne","285"
"Feed Stuff Price","2016M07","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Calf nuts and cubes (16-18% protein)","Euro per Tonne","299"
"Feed Stuff Price","2016M07","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","270"
"Feed Stuff Price","2016M07","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","273"
"Feed Stuff Price","2016M07","Dairy meal (16-18% protein)","Euro per Tonne","253"
"Feed Stuff Price","2016M07","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M07","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M07","Milk replacer","Euro per Tonne","1991"
"Feed Stuff Price","2016M07","Wheat","Euro per Tonne","181"
"Feed Stuff Price","2016M07","Ewe feed coarse (16-20% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M07","Ewe pellets/nuts (16-20%)","Euro per Tonne","281"
"Feed Stuff Price","2016M07","Lamb feed (16-20% protein)","Euro per Tonne","303"
"Feed Stuff Price","2016M07","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2016M08","Rolled barley","Euro per Tonne","186"
"Feed Stuff Price","2016M08","Soya bean meal","Euro per Tonne","424"
"Feed Stuff Price","2016M08","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M08","Maize meal","Euro per Tonne","232"
"Feed Stuff Price","2016M08","Flaked maize","Euro per Tonne","285"
"Feed Stuff Price","2016M08","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne","295"
"Feed Stuff Price","2016M08","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","269"
"Feed Stuff Price","2016M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","270"
"Feed Stuff Price","2016M08","Dairy meal (16-18% protein)","Euro per Tonne","252"
"Feed Stuff Price","2016M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M08","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M08","Milk replacer","Euro per Tonne","1991"
"Feed Stuff Price","2016M08","Wheat","Euro per Tonne","181"
"Feed Stuff Price","2016M08","Ewe feed coarse (16-20% protein)","Euro per Tonne","267"
"Feed Stuff Price","2016M08","Ewe pellets/nuts (16-20%)","Euro per Tonne","281"
"Feed Stuff Price","2016M08","Lamb feed (16-20% protein)","Euro per Tonne","303"
"Feed Stuff Price","2016M08","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2016M09","Rolled barley","Euro per Tonne","184"
"Feed Stuff Price","2016M09","Soya bean meal","Euro per Tonne","414"
"Feed Stuff Price","2016M09","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M09","Maize meal","Euro per Tonne","230"
"Feed Stuff Price","2016M09","Flaked maize","Euro per Tonne","285"
"Feed Stuff Price","2016M09","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne","295"
"Feed Stuff Price","2016M09","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","268"
"Feed Stuff Price","2016M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M09","Dairy meal (16-18% protein)","Euro per Tonne","251"
"Feed Stuff Price","2016M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M09","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M09","Milk replacer","Euro per Tonne","1991"
"Feed Stuff Price","2016M09","Wheat","Euro per Tonne","179"
"Feed Stuff Price","2016M09","Ewe feed coarse (16-20% protein)","Euro per Tonne","266"
"Feed Stuff Price","2016M09","Ewe pellets/nuts (16-20%)","Euro per Tonne","279"
"Feed Stuff Price","2016M09","Lamb feed (16-20% protein)","Euro per Tonne","302"
"Feed Stuff Price","2016M09","Cattle fattening meal (13-15% protein)","Euro per Tonne","255"
"Feed Stuff Price","2016M10","Rolled barley","Euro per Tonne","187"
"Feed Stuff Price","2016M10","Soya bean meal","Euro per Tonne","406"
"Feed Stuff Price","2016M10","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M10","Maize meal","Euro per Tonne","231"
"Feed Stuff Price","2016M10","Flaked maize","Euro per Tonne","268"
"Feed Stuff Price","2016M10","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne","297"
"Feed Stuff Price","2016M10","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264"
"Feed Stuff Price","2016M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","272"
"Feed Stuff Price","2016M10","Dairy meal (16-18% protein)","Euro per Tonne","249"
"Feed Stuff Price","2016M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M10","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M10","Milk replacer","Euro per Tonne","2013"
"Feed Stuff Price","2016M10","Wheat","Euro per Tonne","180"
"Feed Stuff Price","2016M10","Ewe feed coarse (16-20% protein)","Euro per Tonne","265"
"Feed Stuff Price","2016M10","Ewe pellets/nuts (16-20%)","Euro per Tonne","279"
"Feed Stuff Price","2016M10","Lamb feed (16-20% protein)","Euro per Tonne","296"
"Feed Stuff Price","2016M10","Cattle fattening meal (13-15% protein)","Euro per Tonne","253"
"Feed Stuff Price","2016M11","Rolled barley","Euro per Tonne","188"
"Feed Stuff Price","2016M11","Soya bean meal","Euro per Tonne","402"
"Feed Stuff Price","2016M11","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M11","Maize meal","Euro per Tonne","231"
"Feed Stuff Price","2016M11","Flaked maize","Euro per Tonne","268"
"Feed Stuff Price","2016M11","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne","297"
"Feed Stuff Price","2016M11","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264"
"Feed Stuff Price","2016M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","272"
"Feed Stuff Price","2016M11","Dairy meal (16-18% protein)","Euro per Tonne","249"
"Feed Stuff Price","2016M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M11","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M11","Milk replacer","Euro per Tonne","2023"
"Feed Stuff Price","2016M11","Wheat","Euro per Tonne","182"
"Feed Stuff Price","2016M11","Ewe feed coarse (16-20% protein)","Euro per Tonne","265"
"Feed Stuff Price","2016M11","Ewe pellets/nuts (16-20%)","Euro per Tonne","279"
"Feed Stuff Price","2016M11","Lamb feed (16-20% protein)","Euro per Tonne","296"
"Feed Stuff Price","2016M11","Cattle fattening meal (13-15% protein)","Euro per Tonne","254"
"Feed Stuff Price","2016M12","Rolled barley","Euro per Tonne","187"
"Feed Stuff Price","2016M12","Soya bean meal","Euro per Tonne","408"
"Feed Stuff Price","2016M12","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2016M12","Maize meal","Euro per Tonne","230"
"Feed Stuff Price","2016M12","Flaked maize","Euro per Tonne","268"
"Feed Stuff Price","2016M12","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Calf nuts and cubes (16-18% protein)","Euro per Tonne","295"
"Feed Stuff Price","2016M12","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","262"
"Feed Stuff Price","2016M12","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","271"
"Feed Stuff Price","2016M12","Dairy meal (16-18% protein)","Euro per Tonne","248"
"Feed Stuff Price","2016M12","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2016M12","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2016M12","Milk replacer","Euro per Tonne","2015"
"Feed Stuff Price","2016M12","Wheat","Euro per Tonne","184"
"Feed Stuff Price","2016M12","Ewe feed coarse (16-20% protein)","Euro per Tonne","264"
"Feed Stuff Price","2016M12","Ewe pellets/nuts (16-20%)","Euro per Tonne","278"
"Feed Stuff Price","2016M12","Lamb feed (16-20% protein)","Euro per Tonne","296"
"Feed Stuff Price","2016M12","Cattle fattening meal (13-15% protein)","Euro per Tonne","251"
"Feed Stuff Price","2017M01","Rolled barley","Euro per Tonne","189"
"Feed Stuff Price","2017M01","Soya bean meal","Euro per Tonne","410"
"Feed Stuff Price","2017M01","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2017M01","Maize meal","Euro per Tonne","231"
"Feed Stuff Price","2017M01","Flaked maize","Euro per Tonne","268"
"Feed Stuff Price","2017M01","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne","294"
"Feed Stuff Price","2017M01","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","262"
"Feed Stuff Price","2017M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","269"
"Feed Stuff Price","2017M01","Dairy meal (16-18% protein)","Euro per Tonne","249"
"Feed Stuff Price","2017M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Layers' mash (14-16% protein)","Euro per Tonne","345"
"Feed Stuff Price","2017M01","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2017M01","Milk replacer","Euro per Tonne","2015"
"Feed Stuff Price","2017M01","Wheat","Euro per Tonne","188"
"Feed Stuff Price","2017M01","Ewe feed coarse (16-20% protein)","Euro per Tonne","263"
"Feed Stuff Price","2017M01","Ewe pellets/nuts (16-20%)","Euro per Tonne","278"
"Feed Stuff Price","2017M01","Lamb feed (16-20% protein)","Euro per Tonne","296"
"Feed Stuff Price","2017M01","Cattle fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","2017M02","Rolled barley","Euro per Tonne","192"
"Feed Stuff Price","2017M02","Soya bean meal","Euro per Tonne","415"
