"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1976M06","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M06","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M06","Bullocks 300-349kg","Euro","73.53"
"Cattle Price per 100 Kg","1976M06","Bullocks 350-399kg","Euro","73.23"
"Cattle Price per 100 Kg","1976M06","Bullocks 400-449kg","Euro","75.73"
"Cattle Price per 100 Kg","1976M06","Bullocks 450-499kg","Euro","73.28"
"Cattle Price per 100 Kg","1976M06","Bullocks 500-549kg","Euro","71.83"
"Cattle Price per 100 Kg","1976M06","Bullocks 550kg+","Euro","77.06"
"Cattle Price per 100 Kg","1976M06","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M06","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M06","Heifers 300-349kg","Euro","84.29"
"Cattle Price per 100 Kg","1976M06","Heifers 350-399kg","Euro","83.36"
"Cattle Price per 100 Kg","1976M06","Heifers 400-449kg","Euro","79.68"
"Cattle Price per 100 Kg","1976M06","Cows for slaughter","Euro","61.79"
"Cattle Price per 100 Kg","1976M07","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M07","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M07","Bullocks 300-349kg","Euro","74.41"
"Cattle Price per 100 Kg","1976M07","Bullocks 350-399kg","Euro","78.69"
"Cattle Price per 100 Kg","1976M07","Bullocks 400-449kg","Euro","75.41"
"Cattle Price per 100 Kg","1976M07","Bullocks 450-499kg","Euro","71.85"
"Cattle Price per 100 Kg","1976M07","Bullocks 500-549kg","Euro","76.22"
"Cattle Price per 100 Kg","1976M07","Bullocks 550kg+","Euro","78.27"
"Cattle Price per 100 Kg","1976M07","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M07","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M07","Heifers 300-349kg","Euro","83.13"
"Cattle Price per 100 Kg","1976M07","Heifers 350-399kg","Euro","80.16"
"Cattle Price per 100 Kg","1976M07","Heifers 400-449kg","Euro","77.25"
"Cattle Price per 100 Kg","1976M07","Cows for slaughter","Euro","61.37"
"Cattle Price per 100 Kg","1976M08","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M08","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M08","Bullocks 300-349kg","Euro","81.9"
"Cattle Price per 100 Kg","1976M08","Bullocks 350-399kg","Euro","78.41"
"Cattle Price per 100 Kg","1976M08","Bullocks 400-449kg","Euro","73.11"
"Cattle Price per 100 Kg","1976M08","Bullocks 450-499kg","Euro","76.25"
"Cattle Price per 100 Kg","1976M08","Bullocks 500-549kg","Euro","77.76"
"Cattle Price per 100 Kg","1976M08","Bullocks 550kg+","Euro","81.54"
"Cattle Price per 100 Kg","1976M08","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M08","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M08","Heifers 300-349kg","Euro","80.59"
