"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1984M08","Bullocks 250-299kg","Euro","152.97"
"Cattle Price per 100 Kg","1984M08","Bullocks 300-349kg","Euro","149.14"
"Cattle Price per 100 Kg","1984M08","Bullocks 350-399kg","Euro","151.77"
"Cattle Price per 100 Kg","1984M08","Bullocks 400-449kg","Euro","159.36"
"Cattle Price per 100 Kg","1984M08","Bullocks 450-499kg","Euro","165.76"
"Cattle Price per 100 Kg","1984M08","Bullocks 500-549kg","Euro","164.67"
"Cattle Price per 100 Kg","1984M08","Bullocks 550kg+","Euro","157.26"
"Cattle Price per 100 Kg","1984M08","Heifers 200-249kg","Euro","158.64"
"Cattle Price per 100 Kg","1984M08","Heifers 250-299kg","Euro","148.53"
"Cattle Price per 100 Kg","1984M08","Heifers 300-349kg","Euro","140.08"
"Cattle Price per 100 Kg","1984M08","Heifers 350-399kg","Euro","135.21"
"Cattle Price per 100 Kg","1984M08","Heifers 400-449kg","Euro","126.31"
"Cattle Price per 100 Kg","1984M08","Cows for slaughter","Euro","84.55"
"Cattle Price per 100 Kg","1984M09","Bullocks 200-249kg","Euro","161.57"
"Cattle Price per 100 Kg","1984M09","Bullocks 250-299kg","Euro","156.37"
"Cattle Price per 100 Kg","1984M09","Bullocks 300-349kg","Euro","153.47"
"Cattle Price per 100 Kg","1984M09","Bullocks 350-399kg","Euro","161.14"
"Cattle Price per 100 Kg","1984M09","Bullocks 400-449kg","Euro","168.19"
"Cattle Price per 100 Kg","1984M09","Bullocks 450-499kg","Euro","167.97"
"Cattle Price per 100 Kg","1984M09","Bullocks 500-549kg","Euro","162.65"
"Cattle Price per 100 Kg","1984M09","Bullocks 550kg+","Euro","158.2"
"Cattle Price per 100 Kg","1984M09","Heifers 200-249kg","Euro","154.41"
"Cattle Price per 100 Kg","1984M09","Heifers 250-299kg","Euro","146.43"
"Cattle Price per 100 Kg","1984M09","Heifers 300-349kg","Euro","136.74"
"Cattle Price per 100 Kg","1984M09","Heifers 350-399kg","Euro","127.06"
"Cattle Price per 100 Kg","1984M09","Heifers 400-449kg","Euro","121.73"
"Cattle Price per 100 Kg","1984M09","Cows for slaughter","Euro","85.87"
"Cattle Price per 100 Kg","1984M10","Bullocks 200-249kg","Euro","169.46"
"Cattle Price per 100 Kg","1984M10","Bullocks 250-299kg","Euro","159.94"
"Cattle Price per 100 Kg","1984M10","Bullocks 300-349kg","Euro","161.42"
"Cattle Price per 100 Kg","1984M10","Bullocks 350-399kg","Euro","173.22"
"Cattle Price per 100 Kg","1984M10","Bullocks 400-449kg","Euro","172.7"
"Cattle Price per 100 Kg","1984M10","Bullocks 450-499kg","Euro","168.62"
"Cattle Price per 100 Kg","1984M10","Bullocks 500-549kg","Euro","165.55"
"Cattle Price per 100 Kg","1984M10","Bullocks 550kg+","Euro","159.95"
"Cattle Price per 100 Kg","1984M10","Heifers 200-249kg","Euro","148.14"
"Cattle Price per 100 Kg","1984M10","Heifers 250-299kg","Euro","136.61"
"Cattle Price per 100 Kg","1984M10","Heifers 300-349kg","Euro","126.99"
"Cattle Price per 100 Kg","1984M10","Heifers 350-399kg","Euro","120.84"
"Cattle Price per 100 Kg","1984M10","Heifers 400-449kg","Euro","124.45"
"Cattle Price per 100 Kg","1984M10","Cows for slaughter","Euro","87.26"
"Cattle Price per 100 Kg","1984M11","Bullocks 200-249kg","Euro","170.06"
"Cattle Price per 100 Kg","1984M11","Bullocks 250-299kg","Euro","168.16"
"Cattle Price per 100 Kg","1984M11","Bullocks 300-349kg","Euro","175.64"
"Cattle Price per 100 Kg","1984M11","Bullocks 350-399kg","Euro","176.44"
"Cattle Price per 100 Kg","1984M11","Bullocks 400-449kg","Euro","172.63"
"Cattle Price per 100 Kg","1984M11","Bullocks 450-499kg","Euro","171.92"
"Cattle Price per 100 Kg","1984M11","Bullocks 500-549kg","Euro","164.85"
"Cattle Price per 100 Kg","1984M11","Bullocks 550kg+","Euro","155.21"
"Cattle Price per 100 Kg","1984M11","Heifers 200-249kg","Euro","140.76"
"Cattle Price per 100 Kg","1984M11","Heifers 250-299kg","Euro","127.84"
"Cattle Price per 100 Kg","1984M11","Heifers 300-349kg","Euro","118.75"
"Cattle Price per 100 Kg","1984M11","Heifers 350-399kg","Euro","123.84"
"Cattle Price per 100 Kg","1984M11","Heifers 400-449kg","Euro","125.92"
"Cattle Price per 100 Kg","1984M11","Cows for slaughter","Euro","85.72"
"Cattle Price per 100 Kg","1984M12","Bullocks 200-249kg","Euro","178.35"
"Cattle Price per 100 Kg","1984M12","Bullocks 250-299kg","Euro","182.82"
"Cattle Price per 100 Kg","1984M12","Bullocks 300-349kg","Euro","179.53"
"Cattle Price per 100 Kg","1984M12","Bullocks 350-399kg","Euro","173.97"
"Cattle Price per 100 Kg","1984M12","Bullocks 400-449kg","Euro","175.39"
"Cattle Price per 100 Kg","1984M12","Bullocks 450-499kg","Euro","170.12"
"Cattle Price per 100 Kg","1984M12","Bullocks 500-549kg","Euro","159.82"
"Cattle Price per 100 Kg","1984M12","Bullocks 550kg+","Euro","151.58"
"Cattle Price per 100 Kg","1984M12","Heifers 200-249kg","Euro","134.92"
"Cattle Price per 100 Kg","1984M12","Heifers 250-299kg","Euro","115.14"
"Cattle Price per 100 Kg","1984M12","Heifers 300-349kg","Euro","122.38"
"Cattle Price per 100 Kg","1984M12","Heifers 350-399kg","Euro","125.49"
"Cattle Price per 100 Kg","1984M12","Heifers 400-449kg","Euro","125.58"
"Cattle Price per 100 Kg","1984M12","Cows for slaughter","Euro","86.44"
"Cattle Price per 100 Kg","1985M01","Bullocks 200-249kg","Euro","198.23"
"Cattle Price per 100 Kg","1985M01","Bullocks 250-299kg","Euro","190.17"
"Cattle Price per 100 Kg","1985M01","Bullocks 300-349kg","Euro","178.55"
"Cattle Price per 100 Kg","1985M01","Bullocks 350-399kg","Euro","179.39"
"Cattle Price per 100 Kg","1985M01","Bullocks 400-449kg","Euro","172.87"
"Cattle Price per 100 Kg","1985M01","Bullocks 450-499kg","Euro","163.06"
"Cattle Price per 100 Kg","1985M01","Bullocks 500-549kg","Euro","153.61"
"Cattle Price per 100 Kg","1985M01","Bullocks 550kg+","Euro","143.12"
"Cattle Price per 100 Kg","1985M01","Heifers 200-249kg","Euro","128.52"
"Cattle Price per 100 Kg","1985M01","Heifers 250-299kg","Euro","121.74"
"Cattle Price per 100 Kg","1985M01","Heifers 300-349kg","Euro","124.82"
"Cattle Price per 100 Kg","1985M01","Heifers 350-399kg","Euro","124.97"
"Cattle Price per 100 Kg","1985M01","Heifers 400-449kg","Euro","129.65"
"Cattle Price per 100 Kg","1985M01","Cows for slaughter","Euro","87.21"
"Cattle Price per 100 Kg","1985M02","Bullocks 200-249kg","Euro","204.03"
"Cattle Price per 100 Kg","1985M02","Bullocks 250-299kg","Euro","190.94"
"Cattle Price per 100 Kg","1985M02","Bullocks 300-349kg","Euro","182"
"Cattle Price per 100 Kg","1985M02","Bullocks 350-399kg","Euro","175.74"
"Cattle Price per 100 Kg","1985M02","Bullocks 400-449kg","Euro","166.07"
"Cattle Price per 100 Kg","1985M02","Bullocks 450-499kg","Euro","155.75"
"Cattle Price per 100 Kg","1985M02","Bullocks 500-549kg","Euro","142.82"
"Cattle Price per 100 Kg","1985M02","Bullocks 550kg+","Euro","141.73"
"Cattle Price per 100 Kg","1985M02","Heifers 200-249kg","Euro","133.4"
"Cattle Price per 100 Kg","1985M02","Heifers 250-299kg","Euro","124.98"
"Cattle Price per 100 Kg","1985M02","Heifers 300-349kg","Euro","124.92"
"Cattle Price per 100 Kg","1985M02","Heifers 350-399kg","Euro","129.6"
"Cattle Price per 100 Kg","1985M02","Heifers 400-449kg","Euro","130.54"
"Cattle Price per 100 Kg","1985M02","Cows for slaughter","Euro","90.94"
"Cattle Price per 100 Kg","1985M03","Bullocks 200-249kg","Euro","200.68"
"Cattle Price per 100 Kg","1985M03","Bullocks 250-299kg","Euro","191.43"
"Cattle Price per 100 Kg","1985M03","Bullocks 300-349kg","Euro","177.99"
"Cattle Price per 100 Kg","1985M03","Bullocks 350-399kg","Euro","169.05"
"Cattle Price per 100 Kg","1985M03","Bullocks 400-449kg","Euro","157.12"
"Cattle Price per 100 Kg","1985M03","Bullocks 450-499kg","Euro","142.12"
"Cattle Price per 100 Kg","1985M03","Bullocks 500-549kg","Euro","138.2"
"Cattle Price per 100 Kg","1985M03","Bullocks 550kg+","Euro","143.75"
"Cattle Price per 100 Kg","1985M03","Heifers 200-249kg","Euro","133.18"
"Cattle Price per 100 Kg","1985M03","Heifers 250-299kg","Euro","126.49"
"Cattle Price per 100 Kg","1985M03","Heifers 300-349kg","Euro","131.6"
"Cattle Price per 100 Kg","1985M03","Heifers 350-399kg","Euro","131.77"
"Cattle Price per 100 Kg","1985M03","Heifers 400-449kg","Euro","135.3"
"Cattle Price per 100 Kg","1985M03","Cows for slaughter","Euro","90.81"
"Cattle Price per 100 Kg","1985M04","Bullocks 200-249kg","Euro","206.1"
"Cattle Price per 100 Kg","1985M04","Bullocks 250-299kg","Euro","186.19"
"Cattle Price per 100 Kg","1985M04","Bullocks 300-349kg","Euro","173.9"
"Cattle Price per 100 Kg","1985M04","Bullocks 350-399kg","Euro","159.96"
"Cattle Price per 100 Kg","1985M04","Bullocks 400-449kg","Euro","143.91"
"Cattle Price per 100 Kg","1985M04","Bullocks 450-499kg","Euro","137.32"
"Cattle Price per 100 Kg","1985M04","Bullocks 500-549kg","Euro","142.05"
"Cattle Price per 100 Kg","1985M04","Bullocks 550kg+","Euro","146.08"
"Cattle Price per 100 Kg","1985M04","Heifers 200-249kg","Euro","132.87"
"Cattle Price per 100 Kg","1985M04","Heifers 250-299kg","Euro","135.6"
"Cattle Price per 100 Kg","1985M04","Heifers 300-349kg","Euro","133.2"
"Cattle Price per 100 Kg","1985M04","Heifers 350-399kg","Euro","137.92"
"Cattle Price per 100 Kg","1985M04","Heifers 400-449kg","Euro","135.38"
"Cattle Price per 100 Kg","1985M04","Cows for slaughter","Euro","92.82"
"Cattle Price per 100 Kg","1985M05","Bullocks 200-249kg","Euro","200.07"
"Cattle Price per 100 Kg","1985M05","Bullocks 250-299kg","Euro","181.93"
"Cattle Price per 100 Kg","1985M05","Bullocks 300-349kg","Euro","165.64"
"Cattle Price per 100 Kg","1985M05","Bullocks 350-399kg","Euro","145.39"
"Cattle Price per 100 Kg","1985M05","Bullocks 400-449kg","Euro","137.68"
"Cattle Price per 100 Kg","1985M05","Bullocks 450-499kg","Euro","141.52"
"Cattle Price per 100 Kg","1985M05","Bullocks 500-549kg","Euro","144.29"
"Cattle Price per 100 Kg","1985M05","Bullocks 550kg+","Euro","144.46"
"Cattle Price per 100 Kg","1985M05","Heifers 200-249kg","Euro","147.49"
"Cattle Price per 100 Kg","1985M05","Heifers 250-299kg","Euro","139.56"
"Cattle Price per 100 Kg","1985M05","Heifers 300-349kg","Euro","141.6"
"Cattle Price per 100 Kg","1985M05","Heifers 350-399kg","Euro","137.49"
"Cattle Price per 100 Kg","1985M05","Heifers 400-449kg","Euro","140.84"
"Cattle Price per 100 Kg","1985M05","Cows for slaughter","Euro","93.01"
"Cattle Price per 100 Kg","1985M06","Bullocks 200-249kg","Euro","193.75"
"Cattle Price per 100 Kg","1985M06","Bullocks 250-299kg","Euro","172.29"
"Cattle Price per 100 Kg","1985M06","Bullocks 300-349kg","Euro","148.13"
"Cattle Price per 100 Kg","1985M06","Bullocks 350-399kg","Euro","138.16"
"Cattle Price per 100 Kg","1985M06","Bullocks 400-449kg","Euro","142.49"
"Cattle Price per 100 Kg","1985M06","Bullocks 450-499kg","Euro","144.8"
"Cattle Price per 100 Kg","1985M06","Bullocks 500-549kg","Euro","142.86"
"Cattle Price per 100 Kg","1985M06","Bullocks 550kg+","Euro","144.72"
"Cattle Price per 100 Kg","1985M06","Heifers 200-249kg","Euro","144.71"
"Cattle Price per 100 Kg","1985M06","Heifers 250-299kg","Euro","144.47"
"Cattle Price per 100 Kg","1985M06","Heifers 300-349kg","Euro","139.28"
"Cattle Price per 100 Kg","1985M06","Heifers 350-399kg","Euro","140.48"
"Cattle Price per 100 Kg","1985M06","Heifers 400-449kg","Euro","132.28"
"Cattle Price per 100 Kg","1985M06","Cows for slaughter","Euro","91.98"
"Cattle Price per 100 Kg","1985M07","Bullocks 200-249kg","Euro","180.84"
"Cattle Price per 100 Kg","1985M07","Bullocks 250-299kg","Euro","152.6"
"Cattle Price per 100 Kg","1985M07","Bullocks 300-349kg","Euro","140.46"
"Cattle Price per 100 Kg","1985M07","Bullocks 350-399kg","Euro","143.37"
"Cattle Price per 100 Kg","1985M07","Bullocks 400-449kg","Euro","146.54"
"Cattle Price per 100 Kg","1985M07","Bullocks 450-499kg","Euro","145.17"
"Cattle Price per 100 Kg","1985M07","Bullocks 500-549kg","Euro","147.28"
"Cattle Price per 100 Kg","1985M07","Bullocks 550kg+","Euro","148.5"
"Cattle Price per 100 Kg","1985M07","Heifers 200-249kg","Euro","149.55"
"Cattle Price per 100 Kg","1985M07","Heifers 250-299kg","Euro","142.35"
"Cattle Price per 100 Kg","1985M07","Heifers 300-349kg","Euro","140.18"
"Cattle Price per 100 Kg","1985M07","Heifers 350-399kg","Euro","134.15"
"Cattle Price per 100 Kg","1985M07","Heifers 400-449kg","Euro","129.49"
"Cattle Price per 100 Kg","1985M07","Cows for slaughter","Euro","88.98"
"Cattle Price per 100 Kg","1985M08","Bullocks 200-249kg","Euro","163.92"
"Cattle Price per 100 Kg","1985M08","Bullocks 250-299kg","Euro","142.11"
"Cattle Price per 100 Kg","1985M08","Bullocks 300-349kg","Euro","145.45"
"Cattle Price per 100 Kg","1985M08","Bullocks 350-399kg","Euro","148.86"
"Cattle Price per 100 Kg","1985M08","Bullocks 400-449kg","Euro","147.59"
"Cattle Price per 100 Kg","1985M08","Bullocks 450-499kg","Euro","150.1"
"Cattle Price per 100 Kg","1985M08","Bullocks 500-549kg","Euro","150.02"
"Cattle Price per 100 Kg","1985M08","Bullocks 550kg+","Euro","149.47"
"Cattle Price per 100 Kg","1985M08","Heifers 200-249kg","Euro","149.83"
"Cattle Price per 100 Kg","1985M08","Heifers 250-299kg","Euro","139.84"
"Cattle Price per 100 Kg","1985M08","Heifers 300-349kg","Euro","132.93"
"Cattle Price per 100 Kg","1985M08","Heifers 350-399kg","Euro","130.69"
"Cattle Price per 100 Kg","1985M08","Heifers 400-449kg","Euro","124.35"
"Cattle Price per 100 Kg","1985M08","Cows for slaughter","Euro","88.17"
"Cattle Price per 100 Kg","1985M09","Bullocks 200-249kg","Euro","155.21"
"Cattle Price per 100 Kg","1985M09","Bullocks 250-299kg","Euro","152"
"Cattle Price per 100 Kg","1985M09","Bullocks 300-349kg","Euro","152.29"
"Cattle Price per 100 Kg","1985M09","Bullocks 350-399kg","Euro","150.13"
"Cattle Price per 100 Kg","1985M09","Bullocks 400-449kg","Euro","152.33"
"Cattle Price per 100 Kg","1985M09","Bullocks 450-499kg","Euro","154.11"
"Cattle Price per 100 Kg","1985M09","Bullocks 500-549kg","Euro","151.72"
"Cattle Price per 100 Kg","1985M09","Bullocks 550kg+","Euro","147.52"
"Cattle Price per 100 Kg","1985M09","Heifers 200-249kg","Euro","143.01"
"Cattle Price per 100 Kg","1985M09","Heifers 250-299kg","Euro","132.19"
"Cattle Price per 100 Kg","1985M09","Heifers 300-349kg","Euro","131.71"
"Cattle Price per 100 Kg","1985M09","Heifers 350-399kg","Euro","123.95"
"Cattle Price per 100 Kg","1985M09","Heifers 400-449kg","Euro","122.2"
"Cattle Price per 100 Kg","1985M09","Cows for slaughter","Euro","85"
"Cattle Price per 100 Kg","1985M10","Bullocks 200-249kg","Euro","162.49"
"Cattle Price per 100 Kg","1985M10","Bullocks 250-299kg","Euro","159.62"
"Cattle Price per 100 Kg","1985M10","Bullocks 300-349kg","Euro","153.26"
"Cattle Price per 100 Kg","1985M10","Bullocks 350-399kg","Euro","156.27"
"Cattle Price per 100 Kg","1985M10","Bullocks 400-449kg","Euro","156.62"
"Cattle Price per 100 Kg","1985M10","Bullocks 450-499kg","Euro","154.65"
"Cattle Price per 100 Kg","1985M10","Bullocks 500-549kg","Euro","150.03"
"Cattle Price per 100 Kg","1985M10","Bullocks 550kg+","Euro","152.1"
"Cattle Price per 100 Kg","1985M10","Heifers 200-249kg","Euro","134.14"
"Cattle Price per 100 Kg","1985M10","Heifers 250-299kg","Euro","129.73"
"Cattle Price per 100 Kg","1985M10","Heifers 300-349kg","Euro","122.76"
"Cattle Price per 100 Kg","1985M10","Heifers 350-399kg","Euro","120.13"
"Cattle Price per 100 Kg","1985M10","Heifers 400-449kg","Euro","122.45"
"Cattle Price per 100 Kg","1985M10","Cows for slaughter","Euro","83.99"
"Cattle Price per 100 Kg","1985M11","Bullocks 200-249kg","Euro","174.92"
"Cattle Price per 100 Kg","1985M11","Bullocks 250-299kg","Euro","161.52"
"Cattle Price per 100 Kg","1985M11","Bullocks 300-349kg","Euro","160.43"
"Cattle Price per 100 Kg","1985M11","Bullocks 350-399kg","Euro","159.15"
"Cattle Price per 100 Kg","1985M11","Bullocks 400-449kg","Euro","158.26"
"Cattle Price per 100 Kg","1985M11","Bullocks 450-499kg","Euro","152.2"
"Cattle Price per 100 Kg","1985M11","Bullocks 500-549kg","Euro","153.44"
"Cattle Price per 100 Kg","1985M11","Bullocks 550kg+","Euro","148.97"
"Cattle Price per 100 Kg","1985M11","Heifers 200-249kg","Euro","133.13"
"Cattle Price per 100 Kg","1985M11","Heifers 250-299kg","Euro","119.99"
"Cattle Price per 100 Kg","1985M11","Heifers 300-349kg","Euro","117.45"
"Cattle Price per 100 Kg","1985M11","Heifers 350-399kg","Euro","121.4"
"Cattle Price per 100 Kg","1985M11","Heifers 400-449kg","Euro","124.24"
"Cattle Price per 100 Kg","1985M11","Cows for slaughter","Euro","86.22"
"Cattle Price per 100 Kg","1985M12","Bullocks 200-249kg","Euro","176.75"
"Cattle Price per 100 Kg","1985M12","Bullocks 250-299kg","Euro","173.85"
"Cattle Price per 100 Kg","1985M12","Bullocks 300-349kg","Euro","164.51"
"Cattle Price per 100 Kg","1985M12","Bullocks 350-399kg","Euro","160.22"
"Cattle Price per 100 Kg","1985M12","Bullocks 400-449kg","Euro","155.87"
"Cattle Price per 100 Kg","1985M12","Bullocks 450-499kg","Euro","155.53"
"Cattle Price per 100 Kg","1985M12","Bullocks 500-549kg","Euro","149.68"
"Cattle Price per 100 Kg","1985M12","Bullocks 550kg+","Euro","145.82"
"Cattle Price per 100 Kg","1985M12","Heifers 200-249kg","Euro","122.09"
"Cattle Price per 100 Kg","1985M12","Heifers 250-299kg","Euro","114.16"
"Cattle Price per 100 Kg","1985M12","Heifers 300-349kg","Euro","118.81"
"Cattle Price per 100 Kg","1985M12","Heifers 350-399kg","Euro","122.81"
"Cattle Price per 100 Kg","1985M12","Heifers 400-449kg","Euro","128.81"
"Cattle Price per 100 Kg","1985M12","Cows for slaughter","Euro","88.98"
"Cattle Price per 100 Kg","1986M01","Bullocks 200-249kg","Euro","188.15"
"Cattle Price per 100 Kg","1986M01","Bullocks 250-299kg","Euro","174.04"
"Cattle Price per 100 Kg","1986M01","Bullocks 300-349kg","Euro","165.69"
"Cattle Price per 100 Kg","1986M01","Bullocks 350-399kg","Euro","156.93"
"Cattle Price per 100 Kg","1986M01","Bullocks 400-449kg","Euro","155.48"
"Cattle Price per 100 Kg","1986M01","Bullocks 450-499kg","Euro","149.49"
"Cattle Price per 100 Kg","1986M01","Bullocks 500-549kg","Euro","145.94"
"Cattle Price per 100 Kg","1986M01","Bullocks 550kg+","Euro","140.37"
"Cattle Price per 100 Kg","1986M01","Heifers 200-249kg","Euro","121.76"
"Cattle Price per 100 Kg","1986M01","Heifers 250-299kg","Euro","116.64"
"Cattle Price per 100 Kg","1986M01","Heifers 300-349kg","Euro","120.08"
"Cattle Price per 100 Kg","1986M01","Heifers 350-399kg","Euro","126.33"
"Cattle Price per 100 Kg","1986M01","Heifers 400-449kg","Euro","133.74"
"Cattle Price per 100 Kg","1986M01","Cows for slaughter","Euro","89.47"
"Cattle Price per 100 Kg","1986M02","Bullocks 200-249kg","Euro","189.95"
"Cattle Price per 100 Kg","1986M02","Bullocks 250-299kg","Euro","173.51"
"Cattle Price per 100 Kg","1986M02","Bullocks 300-349kg","Euro","161.45"
"Cattle Price per 100 Kg","1986M02","Bullocks 350-399kg","Euro","155.49"
"Cattle Price per 100 Kg","1986M02","Bullocks 400-449kg","Euro","146.32"
"Cattle Price per 100 Kg","1986M02","Bullocks 450-499kg","Euro","145.93"
"Cattle Price per 100 Kg","1986M02","Bullocks 500-549kg","Euro","137.86"
"Cattle Price per 100 Kg","1986M02","Bullocks 550kg+","Euro","141.07"
"Cattle Price per 100 Kg","1986M02","Heifers 200-249kg","Euro","128.21"
"Cattle Price per 100 Kg","1986M02","Heifers 250-299kg","Euro","119.56"
"Cattle Price per 100 Kg","1986M02","Heifers 300-349kg","Euro","122.83"
"Cattle Price per 100 Kg","1986M02","Heifers 350-399kg","Euro","132.15"
"Cattle Price per 100 Kg","1986M02","Heifers 400-449kg","Euro","132.43"
"Cattle Price per 100 Kg","1986M02","Cows for slaughter","Euro","93.53"
"Cattle Price per 100 Kg","1986M03","Bullocks 200-249kg","Euro","185.15"
"Cattle Price per 100 Kg","1986M03","Bullocks 250-299kg","Euro","168.84"
"Cattle Price per 100 Kg","1986M03","Bullocks 300-349kg","Euro","158.83"
"Cattle Price per 100 Kg","1986M03","Bullocks 350-399kg","Euro","147.75"
"Cattle Price per 100 Kg","1986M03","Bullocks 400-449kg","Euro","145.74"
"Cattle Price per 100 Kg","1986M03","Bullocks 450-499kg","Euro","136.83"
"Cattle Price per 100 Kg","1986M03","Bullocks 500-549kg","Euro","136.87"
"Cattle Price per 100 Kg","1986M03","Bullocks 550kg+","Euro","143.44"
"Cattle Price per 100 Kg","1986M03","Heifers 200-249kg","Euro","128.05"
"Cattle Price per 100 Kg","1986M03","Heifers 250-299kg","Euro","121.79"
"Cattle Price per 100 Kg","1986M03","Heifers 300-349kg","Euro","133.89"
"Cattle Price per 100 Kg","1986M03","Heifers 350-399kg","Euro","133.58"
"Cattle Price per 100 Kg","1986M03","Heifers 400-449kg","Euro","137.41"
"Cattle Price per 100 Kg","1986M03","Cows for slaughter","Euro","94.67"
"Cattle Price per 100 Kg","1986M04","Bullocks 200-249kg","Euro","181.84"
"Cattle Price per 100 Kg","1986M04","Bullocks 250-299kg","Euro","163.31"
"Cattle Price per 100 Kg","1986M04","Bullocks 300-349kg","Euro","150.38"
"Cattle Price per 100 Kg","1986M04","Bullocks 350-399kg","Euro","145.42"
"Cattle Price per 100 Kg","1986M04","Bullocks 400-449kg","Euro","137.96"
"Cattle Price per 100 Kg","1986M04","Bullocks 450-499kg","Euro","134.68"
"Cattle Price per 100 Kg","1986M04","Bullocks 500-549kg","Euro","139.85"
"Cattle Price per 100 Kg","1986M04","Bullocks 550kg+","Euro","146.17"
"Cattle Price per 100 Kg","1986M04","Heifers 200-249kg","Euro","125.74"
"Cattle Price per 100 Kg","1986M04","Heifers 250-299kg","Euro","133.16"
"Cattle Price per 100 Kg","1986M04","Heifers 300-349kg","Euro","133.6"
"Cattle Price per 100 Kg","1986M04","Heifers 350-399kg","Euro","138.52"
"Cattle Price per 100 Kg","1986M04","Heifers 400-449kg","Euro","138.5"
"Cattle Price per 100 Kg","1986M04","Cows for slaughter","Euro","96.88"
"Cattle Price per 100 Kg","1986M05","Bullocks 200-249kg","Euro","172.1"
"Cattle Price per 100 Kg","1986M05","Bullocks 250-299kg","Euro","154.41"
"Cattle Price per 100 Kg","1986M05","Bullocks 300-349kg","Euro","149.77"
"Cattle Price per 100 Kg","1986M05","Bullocks 350-399kg","Euro","137.84"
"Cattle Price per 100 Kg","1986M05","Bullocks 400-449kg","Euro","133.88"
"Cattle Price per 100 Kg","1986M05","Bullocks 450-499kg","Euro","138.39"
"Cattle Price per 100 Kg","1986M05","Bullocks 500-549kg","Euro","141.65"
"Cattle Price per 100 Kg","1986M05","Bullocks 550kg+","Euro","149.61"
"Cattle Price per 100 Kg","1986M05","Heifers 200-249kg","Euro","140.45"
"Cattle Price per 100 Kg","1986M05","Heifers 250-299kg","Euro","136.5"
"Cattle Price per 100 Kg","1986M05","Heifers 300-349kg","Euro","141.66"
"Cattle Price per 100 Kg","1986M05","Heifers 350-399kg","Euro","142.4"
"Cattle Price per 100 Kg","1986M05","Heifers 400-449kg","Euro","141.3"
"Cattle Price per 100 Kg","1986M05","Cows for slaughter","Euro","94.29"
"Cattle Price per 100 Kg","1986M06","Bullocks 200-249kg","Euro","165.07"
"Cattle Price per 100 Kg","1986M06","Bullocks 250-299kg","Euro","150.34"
"Cattle Price per 100 Kg","1986M06","Bullocks 300-349kg","Euro","140.06"
"Cattle Price per 100 Kg","1986M06","Bullocks 350-399kg","Euro","134.45"
"Cattle Price per 100 Kg","1986M06","Bullocks 400-449kg","Euro","136.7"
"Cattle Price per 100 Kg","1986M06","Bullocks 450-499kg","Euro","140.36"
"Cattle Price per 100 Kg","1986M06","Bullocks 500-549kg","Euro","145.36"
"Cattle Price per 100 Kg","1986M06","Bullocks 550kg+","Euro","155.01"
"Cattle Price per 100 Kg","1986M06","Heifers 200-249kg","Euro","137.87"
"Cattle Price per 100 Kg","1986M06","Heifers 250-299kg","Euro","145.46"
"Cattle Price per 100 Kg","1986M06","Heifers 300-349kg","Euro","144.39"
"Cattle Price per 100 Kg","1986M06","Heifers 350-399kg","Euro","143.02"
"Cattle Price per 100 Kg","1986M06","Heifers 400-449kg","Euro","136.42"
"Cattle Price per 100 Kg","1986M06","Cows for slaughter","Euro","95.54"
"Cattle Price per 100 Kg","1986M07","Bullocks 200-249kg","Euro","157.52"
"Cattle Price per 100 Kg","1986M07","Bullocks 250-299kg","Euro","142.62"
"Cattle Price per 100 Kg","1986M07","Bullocks 300-349kg","Euro","134.29"
"Cattle Price per 100 Kg","1986M07","Bullocks 350-399kg","Euro","135.65"
"Cattle Price per 100 Kg","1986M07","Bullocks 400-449kg","Euro","140.43"
"Cattle Price per 100 Kg","1986M07","Bullocks 450-499kg","Euro","144.46"
"Cattle Price per 100 Kg","1986M07","Bullocks 500-549kg","Euro","154.11"
"Cattle Price per 100 Kg","1986M07","Bullocks 550kg+","Euro","156.56"
"Cattle Price per 100 Kg","1986M07","Heifers 200-249kg","Euro","151.63"
"Cattle Price per 100 Kg","1986M07","Heifers 250-299kg","Euro","148.24"
"Cattle Price per 100 Kg","1986M07","Heifers 300-349kg","Euro","147.39"
"Cattle Price per 100 Kg","1986M07","Heifers 350-399kg","Euro","139.3"
"Cattle Price per 100 Kg","1986M07","Heifers 400-449kg","Euro","136.22"
"Cattle Price per 100 Kg","1986M07","Cows for slaughter","Euro","96.59"
"Cattle Price per 100 Kg","1986M08","Bullocks 200-249kg","Euro","143.14"
"Cattle Price per 100 Kg","1986M08","Bullocks 250-299kg","Euro","135.98"
"Cattle Price per 100 Kg","1986M08","Bullocks 300-349kg","Euro","134.59"
"Cattle Price per 100 Kg","1986M08","Bullocks 350-399kg","Euro","139.07"
"Cattle Price per 100 Kg","1986M08","Bullocks 400-449kg","Euro","143.95"
"Cattle Price per 100 Kg","1986M08","Bullocks 450-499kg","Euro","155.31"
"Cattle Price per 100 Kg","1986M08","Bullocks 500-549kg","Euro","157.21"
"Cattle Price per 100 Kg","1986M08","Bullocks 550kg+","Euro","157.99"
"Cattle Price per 100 Kg","1986M08","Heifers 200-249kg","Euro","151.94"
"Cattle Price per 100 Kg","1986M08","Heifers 250-299kg","Euro","150.76"
"Cattle Price per 100 Kg","1986M08","Heifers 300-349kg","Euro","141.28"
