"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1978M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1978M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1979M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1980M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
