"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1987M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1988M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1989M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1990M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1991M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1992M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1993M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1994M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1995M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1996M11","All items","Base Dec 2016=100","67.8"
"Consumer Price Index (Base Dec 2016=100)","1996M11","Food and non-alcoholic beverages","Base Dec 2016=100","82.1"
"Consumer Price Index (Base Dec 2016=100)","1996M12","All items","Base Dec 2016=100","67.8"
"Consumer Price Index (Base Dec 2016=100)","1996M12","Food and non-alcoholic beverages","Base Dec 2016=100","82.1"
"Consumer Price Index (Base Dec 2016=100)","1997M01","All items","Base Dec 2016=100","67.5"
"Consumer Price Index (Base Dec 2016=100)","1997M01","Food and non-alcoholic beverages","Base Dec 2016=100","82.7"
"Consumer Price Index (Base Dec 2016=100)","1997M02","All items","Base Dec 2016=100","67.9"
"Consumer Price Index (Base Dec 2016=100)","1997M02","Food and non-alcoholic beverages","Base Dec 2016=100","82.5"
"Consumer Price Index (Base Dec 2016=100)","1997M03","All items","Base Dec 2016=100","68"
"Consumer Price Index (Base Dec 2016=100)","1997M03","Food and non-alcoholic beverages","Base Dec 2016=100","82.7"
"Consumer Price Index (Base Dec 2016=100)","1997M04","All items","Base Dec 2016=100","68"
"Consumer Price Index (Base Dec 2016=100)","1997M04","Food and non-alcoholic beverages","Base Dec 2016=100","83.1"
"Consumer Price Index (Base Dec 2016=100)","1997M05","All items","Base Dec 2016=100","68.2"
"Consumer Price Index (Base Dec 2016=100)","1997M05","Food and non-alcoholic beverages","Base Dec 2016=100","83.3"
"Consumer Price Index (Base Dec 2016=100)","1997M06","All items","Base Dec 2016=100","68.4"
"Consumer Price Index (Base Dec 2016=100)","1997M06","Food and non-alcoholic beverages","Base Dec 2016=100","83.9"
"Consumer Price Index (Base Dec 2016=100)","1997M07","All items","Base Dec 2016=100","68.3"
"Consumer Price Index (Base Dec 2016=100)","1997M07","Food and non-alcoholic beverages","Base Dec 2016=100","84.8"
"Consumer Price Index (Base Dec 2016=100)","1997M08","All items","Base Dec 2016=100","68.2"
"Consumer Price Index (Base Dec 2016=100)","1997M08","Food and non-alcoholic beverages","Base Dec 2016=100","84.1"
"Consumer Price Index (Base Dec 2016=100)","1997M09","All items","Base Dec 2016=100","68.5"
"Consumer Price Index (Base Dec 2016=100)","1997M09","Food and non-alcoholic beverages","Base Dec 2016=100","84.1"
"Consumer Price Index (Base Dec 2016=100)","1997M10","All items","Base Dec 2016=100","68.7"
"Consumer Price Index (Base Dec 2016=100)","1997M10","Food and non-alcoholic beverages","Base Dec 2016=100","83.8"
"Consumer Price Index (Base Dec 2016=100)","1997M11","All items","Base Dec 2016=100","68.9"
"Consumer Price Index (Base Dec 2016=100)","1997M11","Food and non-alcoholic beverages","Base Dec 2016=100","84.1"
"Consumer Price Index (Base Dec 2016=100)","1997M12","All items","Base Dec 2016=100","69.1"
"Consumer Price Index (Base Dec 2016=100)","1997M12","Food and non-alcoholic beverages","Base Dec 2016=100","84.5"
"Consumer Price Index (Base Dec 2016=100)","1998M01","All items","Base Dec 2016=100","68.7"
"Consumer Price Index (Base Dec 2016=100)","1998M01","Food and non-alcoholic beverages","Base Dec 2016=100","84.5"
"Consumer Price Index (Base Dec 2016=100)","1998M02","All items","Base Dec 2016=100","69"
"Consumer Price Index (Base Dec 2016=100)","1998M02","Food and non-alcoholic beverages","Base Dec 2016=100","84.7"
"Consumer Price Index (Base Dec 2016=100)","1998M03","All items","Base Dec 2016=100","69.4"
"Consumer Price Index (Base Dec 2016=100)","1998M03","Food and non-alcoholic beverages","Base Dec 2016=100","85.2"
"Consumer Price Index (Base Dec 2016=100)","1998M04","All items","Base Dec 2016=100","69.7"
"Consumer Price Index (Base Dec 2016=100)","1998M04","Food and non-alcoholic beverages","Base Dec 2016=100","86.4"
"Consumer Price Index (Base Dec 2016=100)","1998M05","All items","Base Dec 2016=100","70"
"Consumer Price Index (Base Dec 2016=100)","1998M05","Food and non-alcoholic beverages","Base Dec 2016=100","87.5"
"Consumer Price Index (Base Dec 2016=100)","1998M06","All items","Base Dec 2016=100","70.3"
"Consumer Price Index (Base Dec 2016=100)","1998M06","Food and non-alcoholic beverages","Base Dec 2016=100","88.3"
"Consumer Price Index (Base Dec 2016=100)","1998M07","All items","Base Dec 2016=100","70.2"
"Consumer Price Index (Base Dec 2016=100)","1998M07","Food and non-alcoholic beverages","Base Dec 2016=100","88.9"
"Consumer Price Index (Base Dec 2016=100)","1998M08","All items","Base Dec 2016=100","70.3"
"Consumer Price Index (Base Dec 2016=100)","1998M08","Food and non-alcoholic beverages","Base Dec 2016=100","88.3"
"Consumer Price Index (Base Dec 2016=100)","1998M09","All items","Base Dec 2016=100","70.6"
"Consumer Price Index (Base Dec 2016=100)","1998M09","Food and non-alcoholic beverages","Base Dec 2016=100","87.8"
"Consumer Price Index (Base Dec 2016=100)","1998M10","All items","Base Dec 2016=100","70.6"
"Consumer Price Index (Base Dec 2016=100)","1998M10","Food and non-alcoholic beverages","Base Dec 2016=100","87.5"
"Consumer Price Index (Base Dec 2016=100)","1998M11","All items","Base Dec 2016=100","70.4"
"Consumer Price Index (Base Dec 2016=100)","1998M11","Food and non-alcoholic beverages","Base Dec 2016=100","87.2"
"Consumer Price Index (Base Dec 2016=100)","1998M12","All items","Base Dec 2016=100","70.3"
"Consumer Price Index (Base Dec 2016=100)","1998M12","Food and non-alcoholic beverages","Base Dec 2016=100","88.1"
"Consumer Price Index (Base Dec 2016=100)","1999M01","All items","Base Dec 2016=100","69.7"
"Consumer Price Index (Base Dec 2016=100)","1999M01","Food and non-alcoholic beverages","Base Dec 2016=100","88.4"
"Consumer Price Index (Base Dec 2016=100)","1999M02","All items","Base Dec 2016=100","70.1"
"Consumer Price Index (Base Dec 2016=100)","1999M02","Food and non-alcoholic beverages","Base Dec 2016=100","88.9"
"Consumer Price Index (Base Dec 2016=100)","1999M03","All items","Base Dec 2016=100","70.3"
"Consumer Price Index (Base Dec 2016=100)","1999M03","Food and non-alcoholic beverages","Base Dec 2016=100","89.1"
"Consumer Price Index (Base Dec 2016=100)","1999M04","All items","Base Dec 2016=100","70.7"
"Consumer Price Index (Base Dec 2016=100)","1999M04","Food and non-alcoholic beverages","Base Dec 2016=100","89.5"
"Consumer Price Index (Base Dec 2016=100)","1999M05","All items","Base Dec 2016=100","71"
"Consumer Price Index (Base Dec 2016=100)","1999M05","Food and non-alcoholic beverages","Base Dec 2016=100","89.9"
"Consumer Price Index (Base Dec 2016=100)","1999M06","All items","Base Dec 2016=100","71.2"
"Consumer Price Index (Base Dec 2016=100)","1999M06","Food and non-alcoholic beverages","Base Dec 2016=100","90.5"
"Consumer Price Index (Base Dec 2016=100)","1999M07","All items","Base Dec 2016=100","71"
