"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1958M01","Mullingar","Number","7.1"
"Most Sunshine Hours in a Day","1958M02","Mullingar","Number","9.9"
"Most Sunshine Hours in a Day","1958M03","Mullingar","Number","9.2"
"Most Sunshine Hours in a Day","1958M04","Mullingar","Number","12.2"
"Most Sunshine Hours in a Day","1958M05","Mullingar","Number","12.6"
"Most Sunshine Hours in a Day","1958M06","Mullingar","Number","13.2"
"Most Sunshine Hours in a Day","1958M07","Mullingar","Number","12.4"
"Most Sunshine Hours in a Day","1958M08","Mullingar","Number","11.9"
"Most Sunshine Hours in a Day","1958M09","Mullingar","Number","10.6"
"Most Sunshine Hours in a Day","1958M10","Mullingar","Number","8.3"
"Most Sunshine Hours in a Day","1958M11","Mullingar","Number","6.2"
"Most Sunshine Hours in a Day","1958M12","Mullingar","Number","6.6"
"Most Sunshine Hours in a Day","1959M01","Mullingar","Number","7.8"
"Most Sunshine Hours in a Day","1959M02","Mullingar","Number","8.1"
"Most Sunshine Hours in a Day","1959M03","Mullingar","Number","9.9"
"Most Sunshine Hours in a Day","1959M04","Mullingar","Number","12.5"
"Most Sunshine Hours in a Day","1959M05","Mullingar","Number","15.1"
"Most Sunshine Hours in a Day","1959M06","Mullingar","Number","15.8"
"Most Sunshine Hours in a Day","1959M07","Mullingar","Number","13.2"
"Most Sunshine Hours in a Day","1959M08","Mullingar","Number","12.1"
"Most Sunshine Hours in a Day","1959M09","Mullingar","Number","11.5"
"Most Sunshine Hours in a Day","1959M10","Mullingar","Number","9.7"
"Most Sunshine Hours in a Day","1959M11","Mullingar","Number","8.2"
"Most Sunshine Hours in a Day","1959M12","Mullingar","Number","4.9"
"Most Sunshine Hours in a Day","1960M01","Mullingar","Number","7"
"Most Sunshine Hours in a Day","1960M02","Mullingar","Number","8.9"
"Most Sunshine Hours in a Day","1960M03","Mullingar","Number","10.7"
"Most Sunshine Hours in a Day","1960M04","Mullingar","Number","13"
"Most Sunshine Hours in a Day","1960M05","Mullingar","Number","13.9"
"Most Sunshine Hours in a Day","1960M06","Mullingar","Number","13.8"
"Most Sunshine Hours in a Day","1960M07","Mullingar","Number","10.6"
"Most Sunshine Hours in a Day","1960M08","Mullingar","Number","13.3"
"Most Sunshine Hours in a Day","1960M09","Mullingar","Number","11"
"Most Sunshine Hours in a Day","1960M10","Mullingar","Number","9.2"
"Most Sunshine Hours in a Day","1960M11","Mullingar","Number","7.4"
"Most Sunshine Hours in a Day","1960M12","Mullingar","Number","6.2"
"Most Sunshine Hours in a Day","1961M01","Mullingar","Number","6.8"
"Most Sunshine Hours in a Day","1961M02","Mullingar","Number","8.5"
"Most Sunshine Hours in a Day","1961M03","Mullingar","Number","10"
"Most Sunshine Hours in a Day","1961M04","Mullingar","Number","12.7"
"Most Sunshine Hours in a Day","1961M05","Mullingar","Number","13.8"
"Most Sunshine Hours in a Day","1961M06","Mullingar","Number","11"
"Most Sunshine Hours in a Day","1961M07","Mullingar","Number","12.4"
"Most Sunshine Hours in a Day","1961M08","Mullingar","Number","12.1"
"Most Sunshine Hours in a Day","1961M09","Mullingar","Number","9.9"
"Most Sunshine Hours in a Day","1961M10","Mullingar","Number","9.6"
"Most Sunshine Hours in a Day","1961M11","Mullingar","Number","8.2"
"Most Sunshine Hours in a Day","1961M12","Mullingar","Number","6.5"
"Most Sunshine Hours in a Day","1962M01","Mullingar","Number","6.9"
"Most Sunshine Hours in a Day","1962M02","Mullingar","Number","8.4"
"Most Sunshine Hours in a Day","1962M03","Mullingar","Number","9.9"
"Most Sunshine Hours in a Day","1962M04","Mullingar","Number","13.9"
"Most Sunshine Hours in a Day","1962M05","Mullingar","Number","15.5"
"Most Sunshine Hours in a Day","1962M06","Mullingar","Number","14.9"
"Most Sunshine Hours in a Day","1962M07","Mullingar","Number","11.8"
"Most Sunshine Hours in a Day","1962M08","Mullingar","Number","13.3"
"Most Sunshine Hours in a Day","1962M09","Mullingar","Number","10.6"
