"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices","2005M06","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M06","Energy","Base 2010 = 100","80.56"
"Agricultural Input and Output Price Indices","2005M06","Electricity","Base 2010 = 100","86.8"
"Agricultural Input and Output Price Indices","2005M06","Motor fuel","Base 2010 = 100","78.91"
"Agricultural Input and Output Price Indices","2005M06","Lubricants","Base 2010 = 100","79.48"
"Agricultural Input and Output Price Indices","2005M06","Fertilisers","Base 2010 = 100","74.41"
"Agricultural Input and Output Price Indices","2005M06","Straight fertilisers","Base 2010 = 100","81.66"
"Agricultural Input and Output Price Indices","2005M06","Compound fertilisers","Base 2010 = 100","70.48"
"Agricultural Input and Output Price Indices","2005M06","PK fertilisers","Base 2010 = 100","56.24"
"Agricultural Input and Output Price Indices","2005M06","NPK fertilisers","Base 2010 = 100","71.11"
"Agricultural Input and Output Price Indices","2005M06","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M06","Plant protection products","Base 2010 = 100","96.68"
"Agricultural Input and Output Price Indices","2005M06","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M06","Feeding stuffs","Base 2010 = 100","85.74"
"Agricultural Input and Output Price Indices","2005M06","Straight feeding stuffs","Base 2010 = 100","82.42"
"Agricultural Input and Output Price Indices","2005M06","Compound feeding stuffs","Base 2010 = 100","86.28"
"Agricultural Input and Output Price Indices","2005M06","Compound feeding stuffs for calves","Base 2010 = 100","85.98"
"Agricultural Input and Output Price Indices","2005M06","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.23"
"Agricultural Input and Output Price Indices","2005M06","Compound feeding stuffs for pigs","Base 2010 = 100","89.26"
"Agricultural Input and Output Price Indices","2005M06","Compound feeding stuffs for poultry","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M06","Other compound feeding stuffs","Base 2010 = 100","88.62"
"Agricultural Input and Output Price Indices","2005M06","Maintenance of materials and buildings","Base 2010 = 100","90.2"
"Agricultural Input and Output Price Indices","2005M06","Other goods and services","Base 2010 = 100","83.31"
"Agricultural Input and Output Price Indices","2005M07","Agricultural output price index","Base 2010 = 100","88.09"
"Agricultural Input and Output Price Indices","2005M07","Crop output","Base 2010 = 100","82.66"
"Agricultural Input and Output Price Indices","2005M07","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M07","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M07","Potatoes including seeds","Base 2010 = 100","69.02"
"Agricultural Input and Output Price Indices","2005M07","Animal output","Base 2010 = 100","88.87"
"Agricultural Input and Output Price Indices","2005M07","Animals","Base 2010 = 100","88.28"
"Agricultural Input and Output Price Indices","2005M07","Cattle","Base 2010 = 100","87.11"
"Agricultural Input and Output Price Indices","2005M07","Cattle excluding calves","Base 2010 = 100","86.85"
"Agricultural Input and Output Price Indices","2005M07","Calves","Base 2010 = 100","125.15"
"Agricultural Input and Output Price Indices","2005M07","Pigs","Base 2010 = 100","104.03"
"Agricultural Input and Output Price Indices","2005M07","Sheep","Base 2010 = 100","76.81"
"Agricultural Input and Output Price Indices","2005M07","Poultry","Base 2010 = 100","89.88"
"Agricultural Input and Output Price Indices","2005M07","Animal products","Base 2010 = 100","89.81"
"Agricultural Input and Output Price Indices","2005M07","Milk","Base 2010 = 100","89.68"
"Agricultural Input and Output Price Indices","2005M07","Eggs","Base 2010 = 100","90.75"
"Agricultural Input and Output Price Indices","2005M07","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M07","Agricultural input price index","Base 2010 = 100","84.62"
"Agricultural Input and Output Price Indices","2005M07","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M07","Energy","Base 2010 = 100","84.07"
"Agricultural Input and Output Price Indices","2005M07","Electricity","Base 2010 = 100","86.8"
"Agricultural Input and Output Price Indices","2005M07","Motor fuel","Base 2010 = 100","83.52"
"Agricultural Input and Output Price Indices","2005M07","Lubricants","Base 2010 = 100","80.04"
"Agricultural Input and Output Price Indices","2005M07","Fertilisers","Base 2010 = 100","74.38"
"Agricultural Input and Output Price Indices","2005M07","Straight fertilisers","Base 2010 = 100","81.38"
"Agricultural Input and Output Price Indices","2005M07","Compound fertilisers","Base 2010 = 100","70.56"
"Agricultural Input and Output Price Indices","2005M07","PK fertilisers","Base 2010 = 100","56.47"
"Agricultural Input and Output Price Indices","2005M07","NPK fertilisers","Base 2010 = 100","71.19"
"Agricultural Input and Output Price Indices","2005M07","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M07","Plant protection products","Base 2010 = 100","96.68"
"Agricultural Input and Output Price Indices","2005M07","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M07","Feeding stuffs","Base 2010 = 100","85.42"
"Agricultural Input and Output Price Indices","2005M07","Straight feeding stuffs","Base 2010 = 100","82.33"
"Agricultural Input and Output Price Indices","2005M07","Compound feeding stuffs","Base 2010 = 100","85.92"
"Agricultural Input and Output Price Indices","2005M07","Compound feeding stuffs for calves","Base 2010 = 100","85.98"
"Agricultural Input and Output Price Indices","2005M07","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.1"
"Agricultural Input and Output Price Indices","2005M07","Compound feeding stuffs for pigs","Base 2010 = 100","87.66"
"Agricultural Input and Output Price Indices","2005M07","Compound feeding stuffs for poultry","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M07","Other compound feeding stuffs","Base 2010 = 100","88.62"
"Agricultural Input and Output Price Indices","2005M07","Maintenance of materials and buildings","Base 2010 = 100","90.21"
"Agricultural Input and Output Price Indices","2005M07","Other goods and services","Base 2010 = 100","83"
"Agricultural Input and Output Price Indices","2005M08","Agricultural output price index","Base 2010 = 100","85.83"
"Agricultural Input and Output Price Indices","2005M08","Crop output","Base 2010 = 100","83.3"
"Agricultural Input and Output Price Indices","2005M08","Cereals including seeds","Base 2010 = 100","81.93"
"Agricultural Input and Output Price Indices","2005M08","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M08","Potatoes including seeds","Base 2010 = 100","70.96"
"Agricultural Input and Output Price Indices","2005M08","Animal output","Base 2010 = 100","86.19"
"Agricultural Input and Output Price Indices","2005M08","Animals","Base 2010 = 100","83.91"
"Agricultural Input and Output Price Indices","2005M08","Cattle","Base 2010 = 100","82.15"
"Agricultural Input and Output Price Indices","2005M08","Cattle excluding calves","Base 2010 = 100","81.76"
"Agricultural Input and Output Price Indices","2005M08","Calves","Base 2010 = 100","139.5"
"Agricultural Input and Output Price Indices","2005M08","Pigs","Base 2010 = 100","102.31"
"Agricultural Input and Output Price Indices","2005M08","Sheep","Base 2010 = 100","72.13"
"Agricultural Input and Output Price Indices","2005M08","Poultry","Base 2010 = 100","86.93"
"Agricultural Input and Output Price Indices","2005M08","Animal products","Base 2010 = 100","89.8"
"Agricultural Input and Output Price Indices","2005M08","Milk","Base 2010 = 100","89.68"
"Agricultural Input and Output Price Indices","2005M08","Eggs","Base 2010 = 100","90.7"
"Agricultural Input and Output Price Indices","2005M08","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M08","Agricultural input price index","Base 2010 = 100","84.79"
"Agricultural Input and Output Price Indices","2005M08","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M08","Energy","Base 2010 = 100","84.63"
"Agricultural Input and Output Price Indices","2005M08","Electricity","Base 2010 = 100","86.8"
"Agricultural Input and Output Price Indices","2005M08","Motor fuel","Base 2010 = 100","84.25"
"Agricultural Input and Output Price Indices","2005M08","Lubricants","Base 2010 = 100","80.2"
