"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices","2005M01","Agricultural output price index","Base 2010 = 100","94.45"
"Agricultural Input and Output Price Indices","2005M01","Crop output","Base 2010 = 100","79.43"
"Agricultural Input and Output Price Indices","2005M01","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M01","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M01","Potatoes including seeds","Base 2010 = 100","55.92"
"Agricultural Input and Output Price Indices","2005M01","Animal output","Base 2010 = 100","96.6"
"Agricultural Input and Output Price Indices","2005M01","Animals","Base 2010 = 100","91.43"
"Agricultural Input and Output Price Indices","2005M01","Cattle","Base 2010 = 100","92.23"
"Agricultural Input and Output Price Indices","2005M01","Cattle excluding calves","Base 2010 = 100","91.85"
"Agricultural Input and Output Price Indices","2005M01","Calves","Base 2010 = 100","147.93"
"Agricultural Input and Output Price Indices","2005M01","Pigs","Base 2010 = 100","97.44"
"Agricultural Input and Output Price Indices","2005M01","Sheep","Base 2010 = 100","80"
"Agricultural Input and Output Price Indices","2005M01","Poultry","Base 2010 = 100","91.56"
"Agricultural Input and Output Price Indices","2005M01","Animal products","Base 2010 = 100","104.76"
"Agricultural Input and Output Price Indices","2005M01","Milk","Base 2010 = 100","104.99"
"Agricultural Input and Output Price Indices","2005M01","Eggs","Base 2010 = 100","90.91"
"Agricultural Input and Output Price Indices","2005M01","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M01","Agricultural input price index","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M01","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M01","Energy","Base 2010 = 100","73.99"
"Agricultural Input and Output Price Indices","2005M01","Electricity","Base 2010 = 100","83.45"
"Agricultural Input and Output Price Indices","2005M01","Motor fuel","Base 2010 = 100","71.22"
"Agricultural Input and Output Price Indices","2005M01","Lubricants","Base 2010 = 100","78.05"
"Agricultural Input and Output Price Indices","2005M01","Fertilisers","Base 2010 = 100","73.49"
"Agricultural Input and Output Price Indices","2005M01","Straight fertilisers","Base 2010 = 100","81.59"
"Agricultural Input and Output Price Indices","2005M01","Compound fertilisers","Base 2010 = 100","69.12"
"Agricultural Input and Output Price Indices","2005M01","PK fertilisers","Base 2010 = 100","55.77"
"Agricultural Input and Output Price Indices","2005M01","NPK fertilisers","Base 2010 = 100","69.72"
"Agricultural Input and Output Price Indices","2005M01","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M01","Plant protection products","Base 2010 = 100","97.99"
"Agricultural Input and Output Price Indices","2005M01","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M01","Feeding stuffs","Base 2010 = 100","85.59"
"Agricultural Input and Output Price Indices","2005M01","Straight feeding stuffs","Base 2010 = 100","80.33"
"Agricultural Input and Output Price Indices","2005M01","Compound feeding stuffs","Base 2010 = 100","86.45"
"Agricultural Input and Output Price Indices","2005M01","Compound feeding stuffs for calves","Base 2010 = 100","85.98"
"Agricultural Input and Output Price Indices","2005M01","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.35"
"Agricultural Input and Output Price Indices","2005M01","Compound feeding stuffs for pigs","Base 2010 = 100","89.65"
"Agricultural Input and Output Price Indices","2005M01","Compound feeding stuffs for poultry","Base 2010 = 100","83.31"
"Agricultural Input and Output Price Indices","2005M01","Other compound feeding stuffs","Base 2010 = 100","88.89"
"Agricultural Input and Output Price Indices","2005M01","Maintenance of materials and buildings","Base 2010 = 100","87.62"
"Agricultural Input and Output Price Indices","2005M01","Other goods and services","Base 2010 = 100","83.09"
"Agricultural Input and Output Price Indices","2005M02","Agricultural output price index","Base 2010 = 100","93.38"
"Agricultural Input and Output Price Indices","2005M02","Crop output","Base 2010 = 100","79.27"
"Agricultural Input and Output Price Indices","2005M02","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M02","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M02","Potatoes including seeds","Base 2010 = 100","55.27"
"Agricultural Input and Output Price Indices","2005M02","Animal output","Base 2010 = 100","95.4"
"Agricultural Input and Output Price Indices","2005M02","Animals","Base 2010 = 100","93.24"
"Agricultural Input and Output Price Indices","2005M02","Cattle","Base 2010 = 100","95.28"
"Agricultural Input and Output Price Indices","2005M02","Cattle excluding calves","Base 2010 = 100","94.94"
"Agricultural Input and Output Price Indices","2005M02","Calves","Base 2010 = 100","144.42"
"Agricultural Input and Output Price Indices","2005M02","Pigs","Base 2010 = 100","99.02"
"Agricultural Input and Output Price Indices","2005M02","Sheep","Base 2010 = 100","77.76"
"Agricultural Input and Output Price Indices","2005M02","Poultry","Base 2010 = 100","88.45"
"Agricultural Input and Output Price Indices","2005M02","Animal products","Base 2010 = 100","98.81"
"Agricultural Input and Output Price Indices","2005M02","Milk","Base 2010 = 100","98.89"
"Agricultural Input and Output Price Indices","2005M02","Eggs","Base 2010 = 100","90.91"
"Agricultural Input and Output Price Indices","2005M02","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M02","Agricultural input price index","Base 2010 = 100","83.86"
"Agricultural Input and Output Price Indices","2005M02","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M02","Energy","Base 2010 = 100","74.02"
"Agricultural Input and Output Price Indices","2005M02","Electricity","Base 2010 = 100","83.45"
"Agricultural Input and Output Price Indices","2005M02","Motor fuel","Base 2010 = 100","71.24"
"Agricultural Input and Output Price Indices","2005M02","Lubricants","Base 2010 = 100","78.21"
"Agricultural Input and Output Price Indices","2005M02","Fertilisers","Base 2010 = 100","76.9"
"Agricultural Input and Output Price Indices","2005M02","Straight fertilisers","Base 2010 = 100","85.67"
"Agricultural Input and Output Price Indices","2005M02","Compound fertilisers","Base 2010 = 100","72.37"
"Agricultural Input and Output Price Indices","2005M02","PK fertilisers","Base 2010 = 100","56.52"
"Agricultural Input and Output Price Indices","2005M02","NPK fertilisers","Base 2010 = 100","73.08"
"Agricultural Input and Output Price Indices","2005M02","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M02","Plant protection products","Base 2010 = 100","97.99"
"Agricultural Input and Output Price Indices","2005M02","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M02","Feeding stuffs","Base 2010 = 100","85.5"
"Agricultural Input and Output Price Indices","2005M02","Straight feeding stuffs","Base 2010 = 100","80.4"
"Agricultural Input and Output Price Indices","2005M02","Compound feeding stuffs","Base 2010 = 100","86.34"
"Agricultural Input and Output Price Indices","2005M02","Compound feeding stuffs for calves","Base 2010 = 100","85.91"
"Agricultural Input and Output Price Indices","2005M02","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.34"
"Agricultural Input and Output Price Indices","2005M02","Compound feeding stuffs for pigs","Base 2010 = 100","88.87"
"Agricultural Input and Output Price Indices","2005M02","Compound feeding stuffs for poultry","Base 2010 = 100","83.5"
"Agricultural Input and Output Price Indices","2005M02","Other compound feeding stuffs","Base 2010 = 100","88.84"
"Agricultural Input and Output Price Indices","2005M02","Maintenance of materials and buildings","Base 2010 = 100","88.92"
"Agricultural Input and Output Price Indices","2005M02","Other goods and services","Base 2010 = 100","83.31"
"Agricultural Input and Output Price Indices","2005M03","Agricultural output price index","Base 2010 = 100","92.92"
"Agricultural Input and Output Price Indices","2005M03","Crop output","Base 2010 = 100","78.14"
"Agricultural Input and Output Price Indices","2005M03","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M03","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M03","Potatoes including seeds","Base 2010 = 100","50.65"
"Agricultural Input and Output Price Indices","2005M03","Animal output","Base 2010 = 100","95.04"
"Agricultural Input and Output Price Indices","2005M03","Animals","Base 2010 = 100","94.6"
"Agricultural Input and Output Price Indices","2005M03","Cattle","Base 2010 = 100","96.35"
"Agricultural Input and Output Price Indices","2005M03","Cattle excluding calves","Base 2010 = 100","96.07"
"Agricultural Input and Output Price Indices","2005M03","Calves","Base 2010 = 100","137.23"
"Agricultural Input and Output Price Indices","2005M03","Pigs","Base 2010 = 100","101.39"
"Agricultural Input and Output Price Indices","2005M03","Sheep","Base 2010 = 100","79.96"
"Agricultural Input and Output Price Indices","2005M03","Poultry","Base 2010 = 100","89.5"
"Agricultural Input and Output Price Indices","2005M03","Animal products","Base 2010 = 100","95.74"
"Agricultural Input and Output Price Indices","2005M03","Milk","Base 2010 = 100","95.75"
"Agricultural Input and Output Price Indices","2005M03","Eggs","Base 2010 = 100","90.91"
"Agricultural Input and Output Price Indices","2005M03","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M03","Agricultural input price index","Base 2010 = 100","83.96"
"Agricultural Input and Output Price Indices","2005M03","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M03","Energy","Base 2010 = 100","75"
"Agricultural Input and Output Price Indices","2005M03","Electricity","Base 2010 = 100","83.45"
"Agricultural Input and Output Price Indices","2005M03","Motor fuel","Base 2010 = 100","72.55"
"Agricultural Input and Output Price Indices","2005M03","Lubricants","Base 2010 = 100","78.21"
"Agricultural Input and Output Price Indices","2005M03","Fertilisers","Base 2010 = 100","77.07"
"Agricultural Input and Output Price Indices","2005M03","Straight fertilisers","Base 2010 = 100","85.61"
"Agricultural Input and Output Price Indices","2005M03","Compound fertilisers","Base 2010 = 100","72.67"
"Agricultural Input and Output Price Indices","2005M03","PK fertilisers","Base 2010 = 100","56.83"
"Agricultural Input and Output Price Indices","2005M03","NPK fertilisers","Base 2010 = 100","73.37"
"Agricultural Input and Output Price Indices","2005M03","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M03","Plant protection products","Base 2010 = 100","97.99"
"Agricultural Input and Output Price Indices","2005M03","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M03","Feeding stuffs","Base 2010 = 100","85.5"
"Agricultural Input and Output Price Indices","2005M03","Straight feeding stuffs","Base 2010 = 100","80.26"
"Agricultural Input and Output Price Indices","2005M03","Compound feeding stuffs","Base 2010 = 100","86.35"
"Agricultural Input and Output Price Indices","2005M03","Compound feeding stuffs for calves","Base 2010 = 100","85.82"
"Agricultural Input and Output Price Indices","2005M03","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.33"
"Agricultural Input and Output Price Indices","2005M03","Compound feeding stuffs for pigs","Base 2010 = 100","89.41"
"Agricultural Input and Output Price Indices","2005M03","Compound feeding stuffs for poultry","Base 2010 = 100","83.2"
"Agricultural Input and Output Price Indices","2005M03","Other compound feeding stuffs","Base 2010 = 100","88.7"
"Agricultural Input and Output Price Indices","2005M03","Maintenance of materials and buildings","Base 2010 = 100","88.97"
"Agricultural Input and Output Price Indices","2005M03","Other goods and services","Base 2010 = 100","83"
"Agricultural Input and Output Price Indices","2005M04","Agricultural output price index","Base 2010 = 100","91.75"
"Agricultural Input and Output Price Indices","2005M04","Crop output","Base 2010 = 100","78.45"
"Agricultural Input and Output Price Indices","2005M04","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M04","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M04","Potatoes including seeds","Base 2010 = 100","51.92"
"Agricultural Input and Output Price Indices","2005M04","Animal output","Base 2010 = 100","93.66"
"Agricultural Input and Output Price Indices","2005M04","Animals","Base 2010 = 100","95.15"
"Agricultural Input and Output Price Indices","2005M04","Cattle","Base 2010 = 100","97.06"
"Agricultural Input and Output Price Indices","2005M04","Cattle excluding calves","Base 2010 = 100","96.74"
"Agricultural Input and Output Price Indices","2005M04","Calves","Base 2010 = 100","144.49"
"Agricultural Input and Output Price Indices","2005M04","Pigs","Base 2010 = 100","98.22"
"Agricultural Input and Output Price Indices","2005M04","Sheep","Base 2010 = 100","84.52"
"Agricultural Input and Output Price Indices","2005M04","Poultry","Base 2010 = 100","88.49"
"Agricultural Input and Output Price Indices","2005M04","Animal products","Base 2010 = 100","91.31"
"Agricultural Input and Output Price Indices","2005M04","Milk","Base 2010 = 100","91.29"
"Agricultural Input and Output Price Indices","2005M04","Eggs","Base 2010 = 100","87.13"
"Agricultural Input and Output Price Indices","2005M04","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M04","Agricultural input price index","Base 2010 = 100","84.36"
"Agricultural Input and Output Price Indices","2005M04","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M04","Energy","Base 2010 = 100","80.66"
"Agricultural Input and Output Price Indices","2005M04","Electricity","Base 2010 = 100","86.8"
"Agricultural Input and Output Price Indices","2005M04","Motor fuel","Base 2010 = 100","79.05"
"Agricultural Input and Output Price Indices","2005M04","Lubricants","Base 2010 = 100","79.25"
"Agricultural Input and Output Price Indices","2005M04","Fertilisers","Base 2010 = 100","76.02"
"Agricultural Input and Output Price Indices","2005M04","Straight fertilisers","Base 2010 = 100","83.8"
"Agricultural Input and Output Price Indices","2005M04","Compound fertilisers","Base 2010 = 100","71.91"
"Agricultural Input and Output Price Indices","2005M04","PK fertilisers","Base 2010 = 100","56.49"
"Agricultural Input and Output Price Indices","2005M04","NPK fertilisers","Base 2010 = 100","72.6"
"Agricultural Input and Output Price Indices","2005M04","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M04","Plant protection products","Base 2010 = 100","96.58"
"Agricultural Input and Output Price Indices","2005M04","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M04","Feeding stuffs","Base 2010 = 100","85.41"
"Agricultural Input and Output Price Indices","2005M04","Straight feeding stuffs","Base 2010 = 100","80.32"
"Agricultural Input and Output Price Indices","2005M04","Compound feeding stuffs","Base 2010 = 100","86.25"
"Agricultural Input and Output Price Indices","2005M04","Compound feeding stuffs for calves","Base 2010 = 100","86.07"
"Agricultural Input and Output Price Indices","2005M04","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.13"
"Agricultural Input and Output Price Indices","2005M04","Compound feeding stuffs for pigs","Base 2010 = 100","89.29"
"Agricultural Input and Output Price Indices","2005M04","Compound feeding stuffs for poultry","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M04","Other compound feeding stuffs","Base 2010 = 100","88.73"
"Agricultural Input and Output Price Indices","2005M04","Maintenance of materials and buildings","Base 2010 = 100","88.97"
"Agricultural Input and Output Price Indices","2005M04","Other goods and services","Base 2010 = 100","83.09"
"Agricultural Input and Output Price Indices","2005M05","Agricultural output price index","Base 2010 = 100","91.2"
"Agricultural Input and Output Price Indices","2005M05","Crop output","Base 2010 = 100","78.95"
"Agricultural Input and Output Price Indices","2005M05","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M05","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M05","Potatoes including seeds","Base 2010 = 100","53.95"
"Agricultural Input and Output Price Indices","2005M05","Animal output","Base 2010 = 100","92.96"
"Agricultural Input and Output Price Indices","2005M05","Animals","Base 2010 = 100","94.47"
"Agricultural Input and Output Price Indices","2005M05","Cattle","Base 2010 = 100","96.74"
"Agricultural Input and Output Price Indices","2005M05","Cattle excluding calves","Base 2010 = 100","96.45"
"Agricultural Input and Output Price Indices","2005M05","Calves","Base 2010 = 100","138.96"
"Agricultural Input and Output Price Indices","2005M05","Pigs","Base 2010 = 100","95.83"
"Agricultural Input and Output Price Indices","2005M05","Sheep","Base 2010 = 100","82.87"
"Agricultural Input and Output Price Indices","2005M05","Poultry","Base 2010 = 100","89.1"
"Agricultural Input and Output Price Indices","2005M05","Animal products","Base 2010 = 100","90.57"
"Agricultural Input and Output Price Indices","2005M05","Milk","Base 2010 = 100","90.53"
"Agricultural Input and Output Price Indices","2005M05","Eggs","Base 2010 = 100","87.4"
"Agricultural Input and Output Price Indices","2005M05","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M05","Agricultural input price index","Base 2010 = 100","84.44"
"Agricultural Input and Output Price Indices","2005M05","Seeds","Base 2010 = 100","95.55"
"Agricultural Input and Output Price Indices","2005M05","Energy","Base 2010 = 100","80.42"
"Agricultural Input and Output Price Indices","2005M05","Electricity","Base 2010 = 100","86.8"
"Agricultural Input and Output Price Indices","2005M05","Motor fuel","Base 2010 = 100","78.72"
"Agricultural Input and Output Price Indices","2005M05","Lubricants","Base 2010 = 100","79.48"
"Agricultural Input and Output Price Indices","2005M05","Fertilisers","Base 2010 = 100","75.15"
"Agricultural Input and Output Price Indices","2005M05","Straight fertilisers","Base 2010 = 100","82.35"
"Agricultural Input and Output Price Indices","2005M05","Compound fertilisers","Base 2010 = 100","71.27"
"Agricultural Input and Output Price Indices","2005M05","PK fertilisers","Base 2010 = 100","56.34"
"Agricultural Input and Output Price Indices","2005M05","NPK fertilisers","Base 2010 = 100","71.93"
"Agricultural Input and Output Price Indices","2005M05","Other fertilisers","Base 2010 = 100","88.19"
"Agricultural Input and Output Price Indices","2005M05","Plant protection products","Base 2010 = 100","96.72"
"Agricultural Input and Output Price Indices","2005M05","Veterinary expenses","Base 2010 = 100","89.27"
"Agricultural Input and Output Price Indices","2005M05","Feeding stuffs","Base 2010 = 100","85.8"
"Agricultural Input and Output Price Indices","2005M05","Straight feeding stuffs","Base 2010 = 100","82.65"
"Agricultural Input and Output Price Indices","2005M05","Compound feeding stuffs","Base 2010 = 100","86.31"
"Agricultural Input and Output Price Indices","2005M05","Compound feeding stuffs for calves","Base 2010 = 100","86.07"
"Agricultural Input and Output Price Indices","2005M05","Compound feeding stuffs for cattle excluding calves","Base 2010 = 100","86.26"
"Agricultural Input and Output Price Indices","2005M05","Compound feeding stuffs for pigs","Base 2010 = 100","89.29"
"Agricultural Input and Output Price Indices","2005M05","Compound feeding stuffs for poultry","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M05","Other compound feeding stuffs","Base 2010 = 100","88.73"
"Agricultural Input and Output Price Indices","2005M05","Maintenance of materials and buildings","Base 2010 = 100","89.69"
"Agricultural Input and Output Price Indices","2005M05","Other goods and services","Base 2010 = 100","83.18"
"Agricultural Input and Output Price Indices","2005M06","Agricultural output price index","Base 2010 = 100","91.44"
"Agricultural Input and Output Price Indices","2005M06","Crop output","Base 2010 = 100","84.63"
"Agricultural Input and Output Price Indices","2005M06","Cereals including seeds","Base 2010 = 100","81.5"
"Agricultural Input and Output Price Indices","2005M06","Vegetables","Base 2010 = 100","93.03"
"Agricultural Input and Output Price Indices","2005M06","Potatoes including seeds","Base 2010 = 100","77.03"
"Agricultural Input and Output Price Indices","2005M06","Animal output","Base 2010 = 100","92.42"
"Agricultural Input and Output Price Indices","2005M06","Animals","Base 2010 = 100","93.75"
"Agricultural Input and Output Price Indices","2005M06","Cattle","Base 2010 = 100","94.92"
"Agricultural Input and Output Price Indices","2005M06","Cattle excluding calves","Base 2010 = 100","94.7"
"Agricultural Input and Output Price Indices","2005M06","Calves","Base 2010 = 100","126.02"
"Agricultural Input and Output Price Indices","2005M06","Pigs","Base 2010 = 100","99.38"
"Agricultural Input and Output Price Indices","2005M06","Sheep","Base 2010 = 100","84.84"
"Agricultural Input and Output Price Indices","2005M06","Poultry","Base 2010 = 100","86.89"
"Agricultural Input and Output Price Indices","2005M06","Animal products","Base 2010 = 100","90.32"
"Agricultural Input and Output Price Indices","2005M06","Milk","Base 2010 = 100","90.21"
"Agricultural Input and Output Price Indices","2005M06","Eggs","Base 2010 = 100","90.92"
"Agricultural Input and Output Price Indices","2005M06","Wool","Base 2010 = 100","113.63"
"Agricultural Input and Output Price Indices","2005M06","Agricultural input price index","Base 2010 = 100","84.4"
