"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Prices Indices","1995M01","Total Index (Output)","Base 2000=100","108.3"
"Agricultural Input and Output Prices Indices","1995M01","Total Livestock and Livestock Products (Output)","Base 2000=100","108.9"
"Agricultural Input and Output Prices Indices","1995M01","Total Livestock Products (Output)","Base 2000=100","102.9"
"Agricultural Input and Output Prices Indices","1995M01","Milk (Output)","Base 2000=100","102.6"
"Agricultural Input and Output Prices Indices","1995M01","Total Livestock (Output)","Base 2000=100","113.4"
"Agricultural Input and Output Prices Indices","1995M01","Total Cattle (Output)","Base 2000=100","119.9"
"Agricultural Input and Output Prices Indices","1995M01","Finished Cattle (Output)","Base 2000=100","118.4"
"Agricultural Input and Output Prices Indices","1995M01","Cows for Slaughter (Output)","Base 2000=100","132.7"
"Agricultural Input and Output Prices Indices","1995M01","Store Cattle (Output)","Base 2000=100","114.8"
"Agricultural Input and Output Prices Indices","1995M01","Sheep (Output)","Base 2000=100","108"
"Agricultural Input and Output Prices Indices","1995M01","Pigs (Output)","Base 2000=100","97.1"
"Agricultural Input and Output Prices Indices","1995M01","Poultry (Output)","Base 2000=100","96.6"
"Agricultural Input and Output Prices Indices","1995M01","Total Crop Products (Output)","Base 2000=100","104.2"
"Agricultural Input and Output Prices Indices","1995M01","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M01","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M01","Potatoes (Output)","Base 2000=100","125.2"
"Agricultural Input and Output Prices Indices","1995M01","Vegetables (Output)","Base 2000=100","88.9"
"Agricultural Input and Output Prices Indices","1995M01","Total Index (Input)","Base 2000=100","92.4"
"Agricultural Input and Output Prices Indices","1995M01","All Feeding Stuffs","Base 2000=100","102.8"
"Agricultural Input and Output Prices Indices","1995M01","Straight Feeding Stuffs (Input)","Base 2000=100","104.2"
"Agricultural Input and Output Prices Indices","1995M01","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","109.6"
"Agricultural Input and Output Prices Indices","1995M01","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105"
"Agricultural Input and Output Prices Indices","1995M01","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","99.2"
"Agricultural Input and Output Prices Indices","1995M01","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M01","All Fertilisers  (Input)","Base 2000=100","94.4"
"Agricultural Input and Output Prices Indices","1995M01","Straight Fertilisers  (Input)","Base 2000=100","94.4"
"Agricultural Input and Output Prices Indices","1995M01","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","96.5"
"Agricultural Input and Output Prices Indices","1995M01","Compound Fertilisers - P.K. (Input)","Base 2000=100","87.3"
"Agricultural Input and Output Prices Indices","1995M01","All Energy (Input)","Base 2000=100","70.4"
"Agricultural Input and Output Prices Indices","1995M01","Energy - Motor Fuels  (Input)","Base 2000=100","64.3"
"Agricultural Input and Output Prices Indices","1995M01","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M01","Other Products  (Input)","Base 2000=100","89.5"
"Agricultural Input and Output Prices Indices","1995M01","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M01","Plant Protection Products (Input)","Base 2000=100","95.5"
"Agricultural Input and Output Prices Indices","1995M01","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","84.9"
"Agricultural Input and Output Prices Indices","1995M02","Total Index (Output)","Base 2000=100","110.3"
"Agricultural Input and Output Prices Indices","1995M02","Total Livestock and Livestock Products (Output)","Base 2000=100","110.1"
"Agricultural Input and Output Prices Indices","1995M02","Total Livestock Products (Output)","Base 2000=100","103.7"
"Agricultural Input and Output Prices Indices","1995M02","Milk (Output)","Base 2000=100","103.3"
"Agricultural Input and Output Prices Indices","1995M02","Total Livestock (Output)","Base 2000=100","115"
"Agricultural Input and Output Prices Indices","1995M02","Total Cattle (Output)","Base 2000=100","121.5"
"Agricultural Input and Output Prices Indices","1995M02","Finished Cattle (Output)","Base 2000=100","120.2"
"Agricultural Input and Output Prices Indices","1995M02","Cows for Slaughter (Output)","Base 2000=100","134.1"
"Agricultural Input and Output Prices Indices","1995M02","Store Cattle (Output)","Base 2000=100","117.3"
"Agricultural Input and Output Prices Indices","1995M02","Sheep (Output)","Base 2000=100","108.7"
"Agricultural Input and Output Prices Indices","1995M02","Pigs (Output)","Base 2000=100","99.8"
"Agricultural Input and Output Prices Indices","1995M02","Poultry (Output)","Base 2000=100","96.9"
"Agricultural Input and Output Prices Indices","1995M02","Total Crop Products (Output)","Base 2000=100","111.6"
"Agricultural Input and Output Prices Indices","1995M02","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M02","Sugarbeet (Output)","Base 2000=100","98.7"
