"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Prices Indices","1995M02","Potatoes (Output)","Base 2000=100","172.4"
"Agricultural Input and Output Prices Indices","1995M02","Vegetables (Output)","Base 2000=100","92.6"
"Agricultural Input and Output Prices Indices","1995M02","Total Index (Input)","Base 2000=100","92.6"
"Agricultural Input and Output Prices Indices","1995M02","All Feeding Stuffs","Base 2000=100","102.3"
"Agricultural Input and Output Prices Indices","1995M02","Straight Feeding Stuffs (Input)","Base 2000=100","104.4"
"Agricultural Input and Output Prices Indices","1995M02","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","108.2"
"Agricultural Input and Output Prices Indices","1995M02","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105.6"
"Agricultural Input and Output Prices Indices","1995M02","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","98"
"Agricultural Input and Output Prices Indices","1995M02","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","96.2"
"Agricultural Input and Output Prices Indices","1995M02","All Fertilisers  (Input)","Base 2000=100","96.2"
"Agricultural Input and Output Prices Indices","1995M02","Straight Fertilisers  (Input)","Base 2000=100","97.1"
"Agricultural Input and Output Prices Indices","1995M02","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","98.2"
"Agricultural Input and Output Prices Indices","1995M02","Compound Fertilisers - P.K. (Input)","Base 2000=100","88.3"
"Agricultural Input and Output Prices Indices","1995M02","All Energy (Input)","Base 2000=100","70.4"
"Agricultural Input and Output Prices Indices","1995M02","Energy - Motor Fuels  (Input)","Base 2000=100","64.3"
"Agricultural Input and Output Prices Indices","1995M02","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M02","Other Products  (Input)","Base 2000=100","89.9"
"Agricultural Input and Output Prices Indices","1995M02","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M02","Plant Protection Products (Input)","Base 2000=100","95.5"
"Agricultural Input and Output Prices Indices","1995M02","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","85"
"Agricultural Input and Output Prices Indices","1995M03","Total Index (Output)","Base 2000=100","110.8"
"Agricultural Input and Output Prices Indices","1995M03","Total Livestock and Livestock Products (Output)","Base 2000=100","110.7"
"Agricultural Input and Output Prices Indices","1995M03","Total Livestock Products (Output)","Base 2000=100","102.3"
"Agricultural Input and Output Prices Indices","1995M03","Milk (Output)","Base 2000=100","101.8"
"Agricultural Input and Output Prices Indices","1995M03","Total Livestock (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M03","Total Cattle (Output)","Base 2000=100","123.1"
"Agricultural Input and Output Prices Indices","1995M03","Finished Cattle (Output)","Base 2000=100","121.6"
"Agricultural Input and Output Prices Indices","1995M03","Cows for Slaughter (Output)","Base 2000=100","135.6"
"Agricultural Input and Output Prices Indices","1995M03","Store Cattle (Output)","Base 2000=100","120.7"
"Agricultural Input and Output Prices Indices","1995M03","Sheep (Output)","Base 2000=100","107.4"
"Agricultural Input and Output Prices Indices","1995M03","Pigs (Output)","Base 2000=100","108.3"
"Agricultural Input and Output Prices Indices","1995M03","Poultry (Output)","Base 2000=100","97"
"Agricultural Input and Output Prices Indices","1995M03","Total Crop Products (Output)","Base 2000=100","111.4"
"Agricultural Input and Output Prices Indices","1995M03","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M03","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M03","Potatoes (Output)","Base 2000=100","169.2"
"Agricultural Input and Output Prices Indices","1995M03","Vegetables (Output)","Base 2000=100","93.1"
"Agricultural Input and Output Prices Indices","1995M03","Total Index (Input)","Base 2000=100","93"
"Agricultural Input and Output Prices Indices","1995M03","All Feeding Stuffs","Base 2000=100","103.3"
"Agricultural Input and Output Prices Indices","1995M03","Straight Feeding Stuffs (Input)","Base 2000=100","104.5"
"Agricultural Input and Output Prices Indices","1995M03","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","108.4"
"Agricultural Input and Output Prices Indices","1995M03","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105.5"
"Agricultural Input and Output Prices Indices","1995M03","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","101.8"
"Agricultural Input and Output Prices Indices","1995M03","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","97.6"
"Agricultural Input and Output Prices Indices","1995M03","All Fertilisers  (Input)","Base 2000=100","95.6"
"Agricultural Input and Output Prices Indices","1995M03","Straight Fertilisers  (Input)","Base 2000=100","96.8"
"Agricultural Input and Output Prices Indices","1995M03","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.4"
"Agricultural Input and Output Prices Indices","1995M03","Compound Fertilisers - P.K. (Input)","Base 2000=100","87.6"
"Agricultural Input and Output Prices Indices","1995M03","All Energy (Input)","Base 2000=100","70.8"
"Agricultural Input and Output Prices Indices","1995M03","Energy - Motor Fuels  (Input)","Base 2000=100","64.8"
"Agricultural Input and Output Prices Indices","1995M03","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M03","Other Products  (Input)","Base 2000=100","89.9"
"Agricultural Input and Output Prices Indices","1995M03","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M03","Plant Protection Products (Input)","Base 2000=100","96.7"
"Agricultural Input and Output Prices Indices","1995M03","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","85"
"Agricultural Input and Output Prices Indices","1995M04","Total Index (Output)","Base 2000=100","112.5"
"Agricultural Input and Output Prices Indices","1995M04","Total Livestock and Livestock Products (Output)","Base 2000=100","112.7"
"Agricultural Input and Output Prices Indices","1995M04","Total Livestock Products (Output)","Base 2000=100","104.8"
"Agricultural Input and Output Prices Indices","1995M04","Milk (Output)","Base 2000=100","104.5"
"Agricultural Input and Output Prices Indices","1995M04","Total Livestock (Output)","Base 2000=100","118.8"
"Agricultural Input and Output Prices Indices","1995M04","Total Cattle (Output)","Base 2000=100","125.2"
"Agricultural Input and Output Prices Indices","1995M04","Finished Cattle (Output)","Base 2000=100","123"
"Agricultural Input and Output Prices Indices","1995M04","Cows for Slaughter (Output)","Base 2000=100","140.9"
"Agricultural Input and Output Prices Indices","1995M04","Store Cattle (Output)","Base 2000=100","123.2"
"Agricultural Input and Output Prices Indices","1995M04","Sheep (Output)","Base 2000=100","104.7"
"Agricultural Input and Output Prices Indices","1995M04","Pigs (Output)","Base 2000=100","113.1"
"Agricultural Input and Output Prices Indices","1995M04","Poultry (Output)","Base 2000=100","98"
"Agricultural Input and Output Prices Indices","1995M04","Total Crop Products (Output)","Base 2000=100","110.7"
"Agricultural Input and Output Prices Indices","1995M04","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M04","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M04","Potatoes (Output)","Base 2000=100","166"
"Agricultural Input and Output Prices Indices","1995M04","Vegetables (Output)","Base 2000=100","92.5"
"Agricultural Input and Output Prices Indices","1995M04","Total Index (Input)","Base 2000=100","93.3"
"Agricultural Input and Output Prices Indices","1995M04","All Feeding Stuffs","Base 2000=100","103.8"
"Agricultural Input and Output Prices Indices","1995M04","Straight Feeding Stuffs (Input)","Base 2000=100","105.6"
"Agricultural Input and Output Prices Indices","1995M04","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","108.4"
"Agricultural Input and Output Prices Indices","1995M04","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105.9"
"Agricultural Input and Output Prices Indices","1995M04","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","102"
"Agricultural Input and Output Prices Indices","1995M04","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","98.6"
"Agricultural Input and Output Prices Indices","1995M04","All Fertilisers  (Input)","Base 2000=100","95.8"
"Agricultural Input and Output Prices Indices","1995M04","Straight Fertilisers  (Input)","Base 2000=100","96.6"
"Agricultural Input and Output Prices Indices","1995M04","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.8"
"Agricultural Input and Output Prices Indices","1995M04","Compound Fertilisers - P.K. (Input)","Base 2000=100","87.4"
"Agricultural Input and Output Prices Indices","1995M04","All Energy (Input)","Base 2000=100","71"
"Agricultural Input and Output Prices Indices","1995M04","Energy - Motor Fuels  (Input)","Base 2000=100","65.1"
"Agricultural Input and Output Prices Indices","1995M04","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M04","Other Products  (Input)","Base 2000=100","90.2"
"Agricultural Input and Output Prices Indices","1995M04","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M04","Plant Protection Products (Input)","Base 2000=100","97.3"
"Agricultural Input and Output Prices Indices","1995M04","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","85.6"
"Agricultural Input and Output Prices Indices","1995M05","Total Index (Output)","Base 2000=100","111.7"
"Agricultural Input and Output Prices Indices","1995M05","Total Livestock and Livestock Products (Output)","Base 2000=100","112.1"
"Agricultural Input and Output Prices Indices","1995M05","Total Livestock Products (Output)","Base 2000=100","106"
"Agricultural Input and Output Prices Indices","1995M05","Milk (Output)","Base 2000=100","105.7"
"Agricultural Input and Output Prices Indices","1995M05","Total Livestock (Output)","Base 2000=100","116.7"
"Agricultural Input and Output Prices Indices","1995M05","Total Cattle (Output)","Base 2000=100","124.2"
"Agricultural Input and Output Prices Indices","1995M05","Finished Cattle (Output)","Base 2000=100","122.3"
"Agricultural Input and Output Prices Indices","1995M05","Cows for Slaughter (Output)","Base 2000=100","141.9"
"Agricultural Input and Output Prices Indices","1995M05","Store Cattle (Output)","Base 2000=100","119.2"
"Agricultural Input and Output Prices Indices","1995M05","Sheep (Output)","Base 2000=100","95.6"
"Agricultural Input and Output Prices Indices","1995M05","Pigs (Output)","Base 2000=100","111.7"
"Agricultural Input and Output Prices Indices","1995M05","Poultry (Output)","Base 2000=100","98.8"
"Agricultural Input and Output Prices Indices","1995M05","Total Crop Products (Output)","Base 2000=100","109"
"Agricultural Input and Output Prices Indices","1995M05","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M05","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M05","Potatoes (Output)","Base 2000=100","147.7"
"Agricultural Input and Output Prices Indices","1995M05","Vegetables (Output)","Base 2000=100","94.6"
"Agricultural Input and Output Prices Indices","1995M05","Total Index (Input)","Base 2000=100","93.4"
"Agricultural Input and Output Prices Indices","1995M05","All Feeding Stuffs","Base 2000=100","103.5"
"Agricultural Input and Output Prices Indices","1995M05","Straight Feeding Stuffs (Input)","Base 2000=100","105.5"
"Agricultural Input and Output Prices Indices","1995M05","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","109.1"
"Agricultural Input and Output Prices Indices","1995M05","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","106.4"
"Agricultural Input and Output Prices Indices","1995M05","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","98.2"
"Agricultural Input and Output Prices Indices","1995M05","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","99.6"
"Agricultural Input and Output Prices Indices","1995M05","All Fertilisers  (Input)","Base 2000=100","95.7"
"Agricultural Input and Output Prices Indices","1995M05","Straight Fertilisers  (Input)","Base 2000=100","96.7"
"Agricultural Input and Output Prices Indices","1995M05","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.6"
"Agricultural Input and Output Prices Indices","1995M05","Compound Fertilisers - P.K. (Input)","Base 2000=100","86.8"
"Agricultural Input and Output Prices Indices","1995M05","All Energy (Input)","Base 2000=100","72.1"
"Agricultural Input and Output Prices Indices","1995M05","Energy - Motor Fuels  (Input)","Base 2000=100","66.4"
"Agricultural Input and Output Prices Indices","1995M05","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M05","Other Products  (Input)","Base 2000=100","90.2"
"Agricultural Input and Output Prices Indices","1995M05","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M05","Plant Protection Products (Input)","Base 2000=100","97.7"
"Agricultural Input and Output Prices Indices","1995M05","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","85.6"
"Agricultural Input and Output Prices Indices","1995M06","Total Index (Output)","Base 2000=100","110.8"
"Agricultural Input and Output Prices Indices","1995M06","Total Livestock and Livestock Products (Output)","Base 2000=100","111.1"
"Agricultural Input and Output Prices Indices","1995M06","Total Livestock Products (Output)","Base 2000=100","105.6"
"Agricultural Input and Output Prices Indices","1995M06","Milk (Output)","Base 2000=100","105.4"
"Agricultural Input and Output Prices Indices","1995M06","Total Livestock (Output)","Base 2000=100","115.3"
"Agricultural Input and Output Prices Indices","1995M06","Total Cattle (Output)","Base 2000=100","124"
"Agricultural Input and Output Prices Indices","1995M06","Finished Cattle (Output)","Base 2000=100","122.7"
"Agricultural Input and Output Prices Indices","1995M06","Cows for Slaughter (Output)","Base 2000=100","142.3"
"Agricultural Input and Output Prices Indices","1995M06","Store Cattle (Output)","Base 2000=100","116.6"
"Agricultural Input and Output Prices Indices","1995M06","Sheep (Output)","Base 2000=100","84.1"
"Agricultural Input and Output Prices Indices","1995M06","Pigs (Output)","Base 2000=100","114.4"
"Agricultural Input and Output Prices Indices","1995M06","Poultry (Output)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M06","Total Crop Products (Output)","Base 2000=100","108.9"
"Agricultural Input and Output Prices Indices","1995M06","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M06","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M06","Potatoes (Output)","Base 2000=100","151.3"
"Agricultural Input and Output Prices Indices","1995M06","Vegetables (Output)","Base 2000=100","93.1"
"Agricultural Input and Output Prices Indices","1995M06","Total Index (Input)","Base 2000=100","93.4"
"Agricultural Input and Output Prices Indices","1995M06","All Feeding Stuffs","Base 2000=100","103.2"
"Agricultural Input and Output Prices Indices","1995M06","Straight Feeding Stuffs (Input)","Base 2000=100","105.6"
"Agricultural Input and Output Prices Indices","1995M06","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","109"
"Agricultural Input and Output Prices Indices","1995M06","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","106"
"Agricultural Input and Output Prices Indices","1995M06","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","99"
"Agricultural Input and Output Prices Indices","1995M06","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M06","All Fertilisers  (Input)","Base 2000=100","95.7"
"Agricultural Input and Output Prices Indices","1995M06","Straight Fertilisers  (Input)","Base 2000=100","96.6"
"Agricultural Input and Output Prices Indices","1995M06","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.7"
"Agricultural Input and Output Prices Indices","1995M06","Compound Fertilisers - P.K. (Input)","Base 2000=100","86.7"
"Agricultural Input and Output Prices Indices","1995M06","All Energy (Input)","Base 2000=100","73"
"Agricultural Input and Output Prices Indices","1995M06","Energy - Motor Fuels  (Input)","Base 2000=100","67.6"
"Agricultural Input and Output Prices Indices","1995M06","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M06","Other Products  (Input)","Base 2000=100","90.4"
"Agricultural Input and Output Prices Indices","1995M06","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M06","Plant Protection Products (Input)","Base 2000=100","97"
"Agricultural Input and Output Prices Indices","1995M06","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","85.8"
"Agricultural Input and Output Prices Indices","1995M07","Total Index (Output)","Base 2000=100","108.6"
"Agricultural Input and Output Prices Indices","1995M07","Total Livestock and Livestock Products (Output)","Base 2000=100","108.3"
"Agricultural Input and Output Prices Indices","1995M07","Total Livestock Products (Output)","Base 2000=100","104.5"
"Agricultural Input and Output Prices Indices","1995M07","Milk (Output)","Base 2000=100","104.3"
"Agricultural Input and Output Prices Indices","1995M07","Total Livestock (Output)","Base 2000=100","111.1"
"Agricultural Input and Output Prices Indices","1995M07","Total Cattle (Output)","Base 2000=100","119.8"
"Agricultural Input and Output Prices Indices","1995M07","Finished Cattle (Output)","Base 2000=100","119"
"Agricultural Input and Output Prices Indices","1995M07","Cows for Slaughter (Output)","Base 2000=100","134.5"
"Agricultural Input and Output Prices Indices","1995M07","Store Cattle (Output)","Base 2000=100","112.3"
"Agricultural Input and Output Prices Indices","1995M07","Sheep (Output)","Base 2000=100","77.6"
"Agricultural Input and Output Prices Indices","1995M07","Pigs (Output)","Base 2000=100","110.9"
"Agricultural Input and Output Prices Indices","1995M07","Poultry (Output)","Base 2000=100","98.1"
"Agricultural Input and Output Prices Indices","1995M07","Total Crop Products (Output)","Base 2000=100","111.2"
"Agricultural Input and Output Prices Indices","1995M07","Cereals (Output)","Base 2000=100","117"
"Agricultural Input and Output Prices Indices","1995M07","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M07","Potatoes (Output)","Base 2000=100","164.1"
"Agricultural Input and Output Prices Indices","1995M07","Vegetables (Output)","Base 2000=100","95"
"Agricultural Input and Output Prices Indices","1995M07","Total Index (Input)","Base 2000=100","93.2"
"Agricultural Input and Output Prices Indices","1995M07","All Feeding Stuffs","Base 2000=100","102.8"
"Agricultural Input and Output Prices Indices","1995M07","Straight Feeding Stuffs (Input)","Base 2000=100","106"
"Agricultural Input and Output Prices Indices","1995M07","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","107.4"
"Agricultural Input and Output Prices Indices","1995M07","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105.4"
"Agricultural Input and Output Prices Indices","1995M07","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","98.8"
"Agricultural Input and Output Prices Indices","1995M07","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M07","All Fertilisers  (Input)","Base 2000=100","95.7"
"Agricultural Input and Output Prices Indices","1995M07","Straight Fertilisers  (Input)","Base 2000=100","96.6"
"Agricultural Input and Output Prices Indices","1995M07","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.7"
"Agricultural Input and Output Prices Indices","1995M07","Compound Fertilisers - P.K. (Input)","Base 2000=100","86.7"
"Agricultural Input and Output Prices Indices","1995M07","All Energy (Input)","Base 2000=100","72.1"
"Agricultural Input and Output Prices Indices","1995M07","Energy - Motor Fuels  (Input)","Base 2000=100","66.6"
"Agricultural Input and Output Prices Indices","1995M07","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M07","Other Products  (Input)","Base 2000=100","90.3"
"Agricultural Input and Output Prices Indices","1995M07","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M07","Plant Protection Products (Input)","Base 2000=100","97.1"
"Agricultural Input and Output Prices Indices","1995M07","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","86.1"
"Agricultural Input and Output Prices Indices","1995M08","Total Index (Output)","Base 2000=100","107.8"
"Agricultural Input and Output Prices Indices","1995M08","Total Livestock and Livestock Products (Output)","Base 2000=100","108.1"
"Agricultural Input and Output Prices Indices","1995M08","Total Livestock Products (Output)","Base 2000=100","104.3"
"Agricultural Input and Output Prices Indices","1995M08","Milk (Output)","Base 2000=100","104.1"
"Agricultural Input and Output Prices Indices","1995M08","Total Livestock (Output)","Base 2000=100","110.9"
"Agricultural Input and Output Prices Indices","1995M08","Total Cattle (Output)","Base 2000=100","119.5"
"Agricultural Input and Output Prices Indices","1995M08","Finished Cattle (Output)","Base 2000=100","118.6"
"Agricultural Input and Output Prices Indices","1995M08","Cows for Slaughter (Output)","Base 2000=100","134.3"
"Agricultural Input and Output Prices Indices","1995M08","Store Cattle (Output)","Base 2000=100","111.7"
"Agricultural Input and Output Prices Indices","1995M08","Sheep (Output)","Base 2000=100","75.7"
"Agricultural Input and Output Prices Indices","1995M08","Pigs (Output)","Base 2000=100","112.6"
"Agricultural Input and Output Prices Indices","1995M08","Poultry (Output)","Base 2000=100","97.9"
"Agricultural Input and Output Prices Indices","1995M08","Total Crop Products (Output)","Base 2000=100","106.3"
"Agricultural Input and Output Prices Indices","1995M08","Cereals (Output)","Base 2000=100","130.6"
"Agricultural Input and Output Prices Indices","1995M08","Sugarbeet (Output)","Base 2000=100","98.7"
"Agricultural Input and Output Prices Indices","1995M08","Potatoes (Output)","Base 2000=100","82"
"Agricultural Input and Output Prices Indices","1995M08","Vegetables (Output)","Base 2000=100","98.5"
"Agricultural Input and Output Prices Indices","1995M08","Total Index (Input)","Base 2000=100","93.3"
"Agricultural Input and Output Prices Indices","1995M08","All Feeding Stuffs","Base 2000=100","103.4"
"Agricultural Input and Output Prices Indices","1995M08","Straight Feeding Stuffs (Input)","Base 2000=100","106.5"
"Agricultural Input and Output Prices Indices","1995M08","Compound Feeding Stuffs - Calf (Input)","Base 2000=100","107"
"Agricultural Input and Output Prices Indices","1995M08","Compound Feeding Stuffs - Cattle (Input)","Base 2000=100","105.6"
"Agricultural Input and Output Prices Indices","1995M08","Compound Feeding Stuffs - Pig (Input)","Base 2000=100","98.8"
"Agricultural Input and Output Prices Indices","1995M08","Compound Feeding Stuffs - Poultry (Input)","Base 2000=100","100.6"
"Agricultural Input and Output Prices Indices","1995M08","All Fertilisers  (Input)","Base 2000=100","95.7"
"Agricultural Input and Output Prices Indices","1995M08","Straight Fertilisers  (Input)","Base 2000=100","96.7"
"Agricultural Input and Output Prices Indices","1995M08","Compound Fertilisers - N.P.K. (Input)","Base 2000=100","97.6"
"Agricultural Input and Output Prices Indices","1995M08","Compound Fertilisers - P.K. (Input)","Base 2000=100","86.9"
"Agricultural Input and Output Prices Indices","1995M08","All Energy (Input)","Base 2000=100","71.6"
"Agricultural Input and Output Prices Indices","1995M08","Energy - Motor Fuels  (Input)","Base 2000=100","65.8"
"Agricultural Input and Output Prices Indices","1995M08","Energy - Electricity  (Input)","Base 2000=100","96"
"Agricultural Input and Output Prices Indices","1995M08","Other Products  (Input)","Base 2000=100","90.3"
"Agricultural Input and Output Prices Indices","1995M08","Seeds  (Input)","Base 2000=100","98.3"
"Agricultural Input and Output Prices Indices","1995M08","Plant Protection Products (Input)","Base 2000=100","97.4"
"Agricultural Input and Output Prices Indices","1995M08","Veterinary Expenses (Including A.I.) (Input)","Base 2000=100","86.1"
"Agricultural Input and Output Prices Indices","1995M09","Total Index (Output)","Base 2000=100","108.2"
"Agricultural Input and Output Prices Indices","1995M09","Total Livestock and Livestock Products (Output)","Base 2000=100","108.1"
"Agricultural Input and Output Prices Indices","1995M09","Total Livestock Products (Output)","Base 2000=100","105.4"
