"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Poultry","Base 2015=100","103.67"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Animal products","Base 2015=100","145.75"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Milk","Base 2015=100","147.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Eggs","Base 2015=100","103.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Wool","Base 2015=100","77.03"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Agricultural input price index","Base 2015=100","106.54"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Seeds","Base 2015=100","113.18"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Energy","Base 2015=100","114"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Electricity","Base 2015=100","99.43"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Motor fuel","Base 2015=100","119.39"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Lubricants","Base 2015=100","98.53"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Fertilisers","Base 2015=100","98.89"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Straight fertilisers","Base 2015=100","98.63"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound fertilisers","Base 2015=100","99.33"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","PK fertilisers","Base 2015=100","100.92"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","NPK fertilisers","Base 2015=100","99.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Other fertilisers","Base 2015=100","94.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Plant protection products","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Feeding stuffs","Base 2015=100","115.38"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Straight feeding stuffs","Base 2015=100","115.44"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound feeding stuffs","Base 2015=100","115.37"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound feeding stuffs for calves","Base 2015=100","112.05"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound feeding stuffs for cattle excluding calves","Base 2015=100","112.14"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound feeding stuffs for pigs","Base 2015=100","119.32"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Compound feeding stuffs for poultry","Base 2015=100","122.44"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Other compound feeding stuffs","Base 2015=100","111.21"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Maintenance of materials and buildings","Base 2015=100","94.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Other goods and services","Base 2015=100","100.4"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Agricultural output price index","Base 2015=100","111.4"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Crop output","Base 2015=100","100.58"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Fruit and Vegetables","Base 2015=100","99.47"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Potatoes including seeds","Base 2015=100","78.16"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Animal output","Base 2015=100","112.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Animals","Base 2015=100","94.13"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Cattle","Base 2015=100","90.99"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Cattle excluding calves","Base 2015=100","91.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Calves","Base 2015=100","61.74"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Pigs","Base 2015=100","103.77"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Sheep","Base 2015=100","97.37"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Poultry","Base 2015=100","104.2"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Animal products","Base 2015=100","141.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Milk","Base 2015=100","142.39"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Eggs","Base 2015=100","103.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Wool","Base 2015=100","77.03"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Agricultural input price index","Base 2015=100","103.63"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Seeds","Base 2015=100","102.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Energy","Base 2015=100","113.99"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Electricity","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Motor fuel","Base 2015=100","119.22"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Lubricants","Base 2015=100","98.46"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Fertilisers","Base 2015=100","99.26"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Straight fertilisers","Base 2015=100","99.35"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound fertilisers","Base 2015=100","99.52"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","PK fertilisers","Base 2015=100","100.99"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","NPK fertilisers","Base 2015=100","99.49"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Other fertilisers","Base 2015=100","94.29"
