Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,3925,F21182,-42.116,171.860,198,G,Niwa / West Coast Rural Fire Dis
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig,
Reefton Ews,Jun-1999,02,6.4,-,-,D,
Reefton Ews,Jul-1999,00,155.4,-,-,D,
Reefton Ews,Jul-1999,02,5.7,-,-,D,
Reefton Ews,Aug-1999,00,181.8,-,-,D,
Reefton Ews,Aug-1999,02,7.3,-,-,D,
Reefton Ews,Sep-1999,00,132.8,-,-,D,
Reefton Ews,Sep-1999,02,10.3,*,-,D,
Reefton Ews,Oct-1999,00,242.4,-,-,D,
Reefton Ews,Oct-1999,02,13.1,-,-,D,
Reefton Ews,Nov-1999,00,190.4,-,-,D,
Reefton Ews,Nov-1999,02,14.2,-,-,D,
Reefton Ews,Dec-1999,00,47.0,-,-,D,
Reefton Ews,Dec-1999,02,15.1,-,-,D,
Reefton Ews,Jan-2000,00,223.2,-,-,D,
Reefton Ews,Jan-2000,02,17.4,-,-,D,
Reefton Ews,Feb-2000,00,72.8,-,-,D,
Reefton Ews,Feb-2000,02,16.7,-,-,D,
Reefton Ews,Mar-2000,00,32.8,-,-,D,
Reefton Ews,Mar-2000,02,14.8,*,-,D,
Reefton Ews,Apr-2000,00,249.0,-,-,D,
Reefton Ews,Apr-2000,02,12.0,-,-,D,
Reefton Ews,May-2000,00,195.4,-,-,D,
Reefton Ews,May-2000,02,9.4,-,-,D,
Reefton Ews,Jun-2000,00,137.2,*,-,R,
Reefton Ews,Jun-2000,02,5.9,*,-,D,
Reefton Ews,Jul-2000,00,145.6,-,-,D,
Reefton Ews,Jul-2000,02,6.2,-,-,D,
Reefton Ews,Aug-2000,00,118.8,-,-,D,
Reefton Ews,Aug-2000,02,7.5,-,-,D,
Reefton Ews,Sep-2000,00,174.6,-,-,D,
Reefton Ews,Sep-2000,02,9.5,-,-,D,
Reefton Ews,Oct-2000,00,266.6,-,-,D,
Reefton Ews,Oct-2000,02,11.6,*,-,D,
Reefton Ews,Nov-2000,00,74.4,-,-,D,
Reefton Ews,Nov-2000,02,12.5,-,-,D,
Reefton Ews,Dec-2000,00,181.6,-,-,D,
Reefton Ews,Dec-2000,02,16.1,-,-,D,
Reefton Ews,Jan-2001,00,78.2,-,-,D,
Reefton Ews,Jan-2001,02,15.7,-,-,D,
Reefton Ews,Feb-2001,00,16.8,-,-,D,
Reefton Ews,Feb-2001,02,17.4,-,-,D,
Reefton Ews,Mar-2001,00,71.2,-,-,D,
Reefton Ews,Mar-2001,02,15.7,-,-,D,
Reefton Ews,Apr-2001,00,57.5,-,-,D,
Reefton Ews,Apr-2001,02,11.8,-,-,D,
Reefton Ews,May-2001,00,184.0,-,-,-,
Reefton Ews,May-2001,02,8.6,-,-,D,
Reefton Ews,Jun-2001,00,166.4,*,-,R,
Reefton Ews,Jun-2001,02,5.3,*,-,D,
Reefton Ews,Jul-2001,00,15.4,-,-,D,
Reefton Ews,Jul-2001,02,3.0,-,-,D,
Reefton Ews,Aug-2001,00,194.6,-,-,D,
Reefton Ews,Aug-2001,02,7.8,-,-,D,
Reefton Ews,Sep-2001,00,59.0,-,-,D,
Reefton Ews,Sep-2001,02,10.7,-,-,D,
Reefton Ews,Oct-2001,00,201.8,-,-,D,
Reefton Ews,Oct-2001,02,13.4,-,-,D,
Reefton Ews,Nov-2001,00,224.8,-,-,D,
Reefton Ews,Nov-2001,02,13.4,-,-,D,
Reefton Ews,Dec-2001,00,335.2,-,-,D,
Reefton Ews,Dec-2001,02,16.2,-,-,D,
Reefton Ews,Jan-2002,00,171.8,-,-,D,
Reefton Ews,Jan-2002,02,17.3,-,-,D,
Reefton Ews,Feb-2002,00,57.6,-,-,D,
Reefton Ews,Feb-2002,02,16.7,-,-,D,
Reefton Ews,Mar-2002,00,145.0,-,-,D,
Reefton Ews,Mar-2002,02,15.0,*,-,D,
Reefton Ews,Apr-2002,00,76.4,-,-,D,
Reefton Ews,Apr-2002,02,12.2,-,-,D,
Reefton Ews,May-2002,00,194.6,-,-,D,
Reefton Ews,May-2002,02,8.8,-,-,D,
Reefton Ews,Jun-2002,00,371.2,-,-,D,
Reefton Ews,Jun-2002,02,8.2,-,-,D,
Reefton Ews,Jul-2002,00,40.6,-,-,D,
Reefton Ews,Jul-2002,02,5.4,-,-,D,
Reefton Ews,Aug-2002,00,126.4,-,-,D,
Reefton Ews,Aug-2002,02,7.1,-,-,D,
Reefton Ews,Sep-2002,00,230.4,-,-,D,
Reefton Ews,Sep-2002,02,9.2,-,-,D,
Reefton Ews,Oct-2002,00,157.4,-,-,D,
Reefton Ews,Oct-2002,02,9.6,-,-,D,
Reefton Ews,Nov-2002,00,133.6,-,-,D,
Reefton Ews,Nov-2002,02,12.6,-,-,D,
Reefton Ews,Dec-2002,00,149.0,-,-,D,
Reefton Ews,Dec-2002,02,14.9,-,-,D,
Reefton Ews,Jan-2003,00,112.0,-,-,D,
Reefton Ews,Jan-2003,02,15.9,*,-,D,
Reefton Ews,Feb-2003,00,86.8,-,-,D,
Reefton Ews,Feb-2003,02,15.4,-,-,D,
Reefton Ews,Mar-2003,00,70.2,-,-,D,
Reefton Ews,Mar-2003,02,16.3,-,-,D,
Reefton Ews,Apr-2003,00,23.4,-,-,D,
Reefton Ews,Apr-2003,02,11.2,-,-,D,
Reefton Ews,May-2003,00,212.8,-,-,D,
Reefton Ews,May-2003,02,9.2,-,-,D,
Reefton Ews,Jun-2003,00,356.8,-,-,D,
Reefton Ews,Jun-2003,02,7.4,-,-,D,
Reefton Ews,Jul-2003,00,55.4,-,-,D,
Reefton Ews,Jul-2003,02,4.4,-,-,D,
Reefton Ews,Aug-2003,00,127.0,-,-,D,
Reefton Ews,Aug-2003,02,6.9,-,-,D,
Reefton Ews,Sep-2003,00,260.0,-,-,D,
Reefton Ews,Sep-2003,02,8.6,*,-,D,
Reefton Ews,Oct-2003,00,145.6,-,-,D,
Reefton Ews,Oct-2003,02,11.1,-,-,D,
Reefton Ews,Nov-2003,00,171.6,-,-,D,
Reefton Ews,Nov-2003,02,12.2,-,-,D,
Reefton Ews,Dec-2003,00,104.0,-,-,D,
Reefton Ews,Dec-2003,02,15.5,-,-,D,
Reefton Ews,Jan-2004,00,178.8,-,-,D,
Reefton Ews,Jan-2004,02,18.0,-,-,D,
Reefton Ews,Feb-2004,00,259.8,-,-,D,
Reefton Ews,Feb-2004,02,14.5,-,-,D,
Reefton Ews,Mar-2004,00,76.8,-,-,D,
Reefton Ews,Mar-2004,02,13.4,-,-,D,
Reefton Ews,Apr-2004,00,61.0,-,-,D,
Reefton Ews,Apr-2004,02,11.3,-,-,D,
Reefton Ews,May-2004,00,190.2,-,-,D,
Reefton Ews,May-2004,02,9.1,-,-,D,
Reefton Ews,Jun-2004,00,322.0,-,-,D,
Reefton Ews,Jun-2004,02,7.2,-,-,D,
Reefton Ews,Jul-2004,00,123.8,-,-,D,
Reefton Ews,Jul-2004,02,3.8,-,-,D,
Reefton Ews,Aug-2004,00,228.0,-,-,D,
Reefton Ews,Aug-2004,02,5.4,-,-,D,
Reefton Ews,Sep-2004,00,220.4,-,-,D,
Reefton Ews,Sep-2004,02,8.1,-,-,D,
Reefton Ews,Oct-2004,00,133.0,-,-,D,
Reefton Ews,Oct-2004,02,10.9,-,-,D,
Reefton Ews,Nov-2004,00,97.2,-,-,D,
Reefton Ews,Nov-2004,02,13.4,-,-,D,
Reefton Ews,Dec-2004,00,257.2,-,-,D,
Reefton Ews,Dec-2004,02,12.1,-,-,D,
Reefton Ews,Jan-2005,00,65.6,-,-,D,
Reefton Ews,Jan-2005,02,16.4,-,-,D,
Reefton Ews,Feb-2005,00,155.6,-,-,D,
Reefton Ews,Feb-2005,02,17.9,-,-,D,
