date,price_dollars_per_barrel
Jul-05,59.03
Aug-05,64.99
Sep-05,65.55
Oct-05,62.27
Nov-05,58.34
Dec-05,59.45
Jan-06,65.54
Feb-06,61.93
Mar-06,62.97
Apr-06,70.16
May-06,70.96
Jun-06,70.97
Jul-06,74.46
Aug-06,73.08
Sep-06,63.9
Oct-06,59.14
Nov-06,59.4
Dec-06,62.09
Jan-07,54.35
Feb-07,59.39
Mar-07,60.74
Apr-07,64.04
May-07,63.53
Jun-07,67.53
Jul-07,74.15
Aug-07,72.36
Sep-07,79.63
Oct-07,85.66
Nov-07,94.63
Dec-07,91.74
Jan-08,92.93
Feb-08,95.35
Mar-08,105.42
Apr-08,112.46
May-08,125.46
Jun-08,134.02
Jul-08,133.48
Aug-08,116.69
Sep-08,103.76
Oct-08,76.72
Nov-08,57.44
Dec-08,42.04
Jan-09,41.92
Feb-09,39.26
Mar-09,48.06
Apr-09,49.95
May-09,59.21
Jun-09,69.7
Jul-09,64.29
Aug-09,71.14
Sep-09,69.47
Oct-09,75.82
Nov-09,78.15
Dec-09,74.6
Jan-10,78.4
Feb-10,76.45
Mar-10,81.29
Apr-10,84.58
May-10,74.12
Jun-10,75.41
Jul-10,76.38
Aug-10,76.67
Sep-10,75.55
Oct-10,81.95
Nov-10,84.32
Dec-10,89.23
Jan-11,89.58
Feb-11,89.74
Mar-11,102.98
Apr-11,110.04
May-11,101.36
Jun-11,96.29
Jul-11,97.34
Aug-11,86.34
Sep-11,85.61
Oct-11,86.43
Nov-11,97.16
Dec-11,98.58
Jan-12,100.32
Feb-12,102.26
Mar-12,106.21
Apr-12,103.35
May-12,94.72
Jun-12,82.41
Jul-12,87.93
Aug-12,94.16
Sep-12,94.56
Oct-12,89.57
Nov-12,86.73
Dec-12,88.25
Jan-13,94.83
Feb-13,95.32
Mar-13,92.96
Apr-13,92.07
May-13,94.8
Jun-13,95.8
Jul-13,104.7
Aug-13,106.54
Sep-13,106.24
Oct-13,100.55
Nov-13,93.93
Dec-13,97.89
Jan-14,94.86
Feb-14,100.68
Mar-14,100.51
Apr-14,102.04
May-14,101.8
Jun-14,105.15
Jul-14,102.39
Aug-14,96.08
Sep-14,93.03
Oct-14,84.34
Nov-14,75.81
Dec-14,59.29
Jan-15,47.33
Feb-15,50.73
Mar-15,47.85
Apr-15,54.63
May-15,59.37
Jun-15,59.83
Jul-15,50.93
Aug-15,42.89
Sep-15,45.47
Oct-15,46.25
Nov-15,42.92
Dec-15,37.33
Jan-16,31.78
Feb-16,30.62
Mar-16,37.96
Apr-16,41.13
May-16,46.8
Jun-16,48.84
Jul-16,44.8
Aug-16,44.8
Sep-16,45.23
Oct-16,49.87
Nov-16,45.87
Dec-16,52.17
Jan-17,52.61
Feb-17,53.46
Mar-17,49.67
Apr-17,51.12
May-17,48.54
Jun-17,45.2
Jul-17,46.68
Aug-17,48.06
Sep-17,49.88
Oct-17,51.69
Nov-17,56.54
Dec-17,57.95
Jan-18,63.55
Feb-18,62.16
Mar-18,62.87
Apr-18,66.33
May-18,69.89
Jun-18,67.32
Jul-18,70.74
Aug-18,67.85
Sep-18,70.07
Oct-18,70.76
Nov-18,56.6
Dec-18,48.68
Jan-19,51.38
Feb-19,55.01
Mar-19,58.17
Apr-19,63.88
May-19,60.77
Jun-19,54.71
Jul-19,57.54
Aug-19,54.84
Sep-19,56.88
Oct-19,54.01
Nov-19,57.12
Dec-19,59.86
Jan-20,57.53
Feb-20,50.54
Mar-20,30.45
Apr-20,16.7
May-20,28.53
Jun-20,38.31
Jul-20,40.77
Aug-20,42.39
Sep-20,39.63
Oct-20,39.56
Nov-20,41.13
Dec-20,47.07
Jan-21,52.1
Feb-21,59.06
Mar-21,62.36
Apr-21,61.7
May-21,65.16
Jun-21,71.35
Jul-21,72.43
Aug-21,67.71
Sep-21,71.55
Oct-21,81.22
Nov-21,79.18
Dec-21,71.69
Jan-22,82.98
Feb-22,91.63
Mar-22,108.26
