date,price_dollars_per_barrel
Apr-83,30.5
May-83,30.16
Jun-83,30.96
Jul-83,31.59
Aug-83,31.88
Sep-83,31.24
Oct-83,30.4
Nov-83,29.86
Dec-83,29.24
Jan-84,29.65
Feb-84,30.05
Mar-84,30.72
Apr-84,30.65
May-84,30.55
Jun-84,29.98
Jul-84,28.74
Aug-84,29.33
Sep-84,29.38
Oct-84,28.8
Nov-84,28.11
Dec-84,26.91
Jan-85,25.64
Feb-85,27.14
Mar-85,28.12
Apr-85,28.71
May-85,27.58
Jun-85,27.09
Jul-85,27.27
Aug-85,27.74
Sep-85,28.22
Oct-85,29.48
Nov-85,30.73
Dec-85,27.15
Jan-86,22.98
Feb-86,15.46
Mar-86,12.62
Apr-86,12.75
May-86,15.26
Jun-86,13.38
Jul-86,11.58
Aug-86,15.11
Sep-86,14.94
Oct-86,14.89
Nov-86,15.23
Dec-86,16.09
Jan-87,18.67
Feb-87,17.73
Mar-87,18.28
Apr-87,18.6
May-87,19.33
Jun-87,19.99
Jul-87,21.33
Aug-87,20.23
Sep-87,19.52
Oct-87,19.86
Nov-87,18.85
Dec-87,17.26
Jan-88,17.15
Feb-88,16.76
Mar-88,16.21
Apr-88,17.88
May-88,17.45
Jun-88,16.56
Jul-88,15.51
Aug-88,15.53
Sep-88,14.46
Oct-88,13.8
Nov-88,13.98
Dec-88,16.28
Jan-89,17.98
Feb-89,17.82
Mar-89,19.44
Apr-89,20.94
May-89,20.03
Jun-89,19.99
Jul-89,19.66
Aug-89,18.55
Sep-89,19.59
Oct-89,20.1
Nov-89,19.83
Dec-89,21.09
Jan-90,22.64
Feb-90,22.11
Mar-90,20.41
Apr-90,18.58
May-90,18.46
Jun-90,16.86
Jul-90,18.64
Aug-90,27.18
Sep-90,33.69
Oct-90,35.92
Nov-90,32.3
Dec-90,27.16
Jan-91,24.7
Feb-91,20.54
Mar-91,19.88
Apr-91,20.82
May-91,21.25
Jun-91,20.2
Jul-91,21.43
Aug-91,21.68
Sep-91,21.86
Oct-91,23.23
Nov-91,22.43
Dec-91,19.53
Jan-92,18.82
Feb-92,19.01
Mar-92,18.95
Apr-92,20.26
May-92,21
Jun-92,22.36
Jul-92,21.74
Aug-92,21.29
Sep-92,21.92
Oct-92,21.71
Nov-92,20.36
Dec-92,19.41
Jan-93,19.07
Feb-93,20.08
Mar-93,20.35
Apr-93,20.33
May-93,19.98
Jun-93,19.13
Jul-93,17.9
Aug-93,18.01
Sep-93,17.52
Oct-93,18.17
Nov-93,16.74
Dec-93,14.53
Jan-94,15.02
Feb-94,14.78
Mar-94,14.65
Apr-94,16.33
May-94,17.83
Jun-94,19.07
Jul-94,19.66
Aug-94,18.38
Sep-94,17.47
Oct-94,17.71
Nov-94,18.1
Dec-94,17.16
Jan-95,17.99
Feb-95,18.53
Mar-95,18.55
Apr-95,19.89
May-95,19.74
Jun-95,18.4
Jul-95,17.26
Aug-95,17.81
Sep-95,18.21
Oct-95,17.4
Nov-95,18
Dec-95,19.04
Jan-96,18.7
Feb-96,18.78
Mar-96,21.18
Apr-96,23.3
May-96,21.09
Jun-96,20.43
Jul-96,21.25
Aug-96,21.91
Sep-96,23.93
Oct-96,24.9
Nov-96,23.55
Dec-96,25.12
Jan-97,25.18
Feb-97,22.17
Mar-97,20.97
Apr-97,19.73
May-97,20.87
Jun-97,19.22
Jul-97,19.66
Aug-97,19.95
Sep-97,19.78
Oct-97,21.28
Nov-97,20.22
Dec-97,18.32
Jan-98,16.73
Feb-98,16.08
Mar-98,15.04
Apr-98,15.46
May-98,14.93
Jun-98,13.67
Jul-98,14.09
Aug-98,13.38
Sep-98,14.97
Oct-98,14.42
Nov-98,13.04
Dec-98,11.31
Jan-99,12.49
Feb-99,12.02
Mar-99,14.68
Apr-99,17.3
May-99,17.77
Jun-99,17.92
Jul-99,20.1
Aug-99,21.28
Sep-99,23.79
Oct-99,22.67
Nov-99,24.77
Dec-99,26.09
Jan-00,27.01
Feb-00,29.3
Mar-00,29.89
Apr-00,25.54
May-00,28.81
Jun-00,31.53
Jul-00,29.72
Aug-00,31.14
Sep-00,33.87
Oct-00,32.93
Nov-00,34.26
Dec-00,28.4
Jan-01,29.26
Feb-01,29.64
Mar-01,27.27
Apr-01,27.62
May-01,28.68
Jun-01,27.59
Jul-01,26.47
Aug-01,27.31
Sep-01,25.69
Oct-01,22.21
Nov-01,19.67
Dec-01,19.4
Jan-02,19.73
Feb-02,20.76
Mar-02,24.44
Apr-02,26.26
May-02,26.95
Jun-02,25.55
Jul-02,26.94
Aug-02,28.2
Sep-02,29.67
Oct-02,28.86
Nov-02,26.19
Dec-02,29.39
Jan-03,32.7
Feb-03,35.73
Mar-03,33.16
Apr-03,28.14
May-03,28.07
Jun-03,30.52
Jul-03,30.7
Aug-03,31.6
Sep-03,28.31
Oct-03,30.35
Nov-03,31.06
Dec-03,32.14
Jan-04,34.22
Feb-04,34.5
Mar-04,36.72
Apr-04,36.62
May-04,40.28
Jun-04,38.05
Jul-04,40.81
Aug-04,44.88
Sep-04,45.94
Oct-04,53.09
Nov-04,48.48
Dec-04,43.26
Jan-05,46.85
Feb-05,48.05
Mar-05,54.63
Apr-05,53.22
May-05,49.87
Jun-05,56.42
