Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,042027,2001,02,26.0
IDCJAC0003,042027,2001,03,22.1
IDCJAC0003,042027,2001,04,18.8
IDCJAC0003,042027,2001,05,15.0
IDCJAC0003,042027,2001,06,12.8
IDCJAC0003,042027,2001,07,12.6
IDCJAC0003,042027,2001,08,18.1
IDCJAC0003,042027,2001,09,20.6
IDCJAC0003,042027,2001,10,23.7
IDCJAC0003,042027,2001,11,22.0
IDCJAC0003,042027,2001,12,27.2
IDCJAC0003,042027,2002,01,27.6
IDCJAC0003,042027,2002,02,22.2
IDCJAC0003,042027,2002,03,22.7
IDCJAC0003,042027,2002,04,18.9
IDCJAC0003,042027,2002,05,14.6
IDCJAC0003,042027,2002,06,12.8
IDCJAC0003,042027,2002,07,15.2
IDCJAC0003,042027,2002,08,16.2
IDCJAC0003,042027,2002,09,21.1
IDCJAC0003,042027,2002,10,25.5
IDCJAC0003,042027,2002,11,26.6
IDCJAC0003,042027,2002,12,28.7
IDCJAC0003,042027,2003,01,30.8
IDCJAC0003,042027,2003,02,19.2
IDCJAC0003,042027,2003,03,22.1
IDCJAC0003,042027,2003,04,17.4
IDCJAC0003,042027,2003,05,15.4
IDCJAC0003,042027,2003,06,12.5
IDCJAC0003,042027,2003,07,13.7
IDCJAC0003,042027,2003,08,15.9
IDCJAC0003,042027,2003,09,22.4
IDCJAC0003,042027,2003,10,23.4
IDCJAC0003,042027,2003,11,28.3
IDCJAC0003,042027,2003,12,28.3
IDCJAC0003,042027,2004,01,26.8
IDCJAC0003,042027,2004,02,25.2
IDCJAC0003,042027,2004,03,22.5
IDCJAC0003,042027,2004,04,18.6
IDCJAC0003,042027,2004,05,14.8
IDCJAC0003,042027,2004,06,13.3
IDCJAC0003,042027,2004,07,14.0
IDCJAC0003,042027,2004,08,17.9
IDCJAC0003,042027,2004,09,21.7
IDCJAC0003,042027,2004,10,24.2
IDCJAC0003,042027,2004,11,27.3
IDCJAC0003,042027,2004,12,27.9
IDCJAC0003,042027,2005,01,27.2
IDCJAC0003,042027,2005,02,27.1
IDCJAC0003,042027,2005,03,23.2
IDCJAC0003,042027,2005,04,19.5
IDCJAC0003,042027,2005,05,14.7
IDCJAC0003,042027,2005,06,10.5
IDCJAC0003,042027,2005,07,14.0
IDCJAC0003,042027,2005,08,17.9
IDCJAC0003,042027,2005,09,20.9
IDCJAC0003,042027,2005,10,21.5
IDCJAC0003,042027,2005,11,26.4
IDCJAC0003,042027,2006,01,26.1
IDCJAC0003,042027,2006,02,25.2
IDCJAC0003,042027,2006,03,20.4
IDCJAC0003,042027,2006,04,18.7
IDCJAC0003,042027,2006,05,16.0
IDCJAC0003,042027,2006,06,12.4
IDCJAC0003,042027,2006,07,12.6
IDCJAC0003,042027,2006,08,17.5
IDCJAC0003,042027,2006,09,21.7
IDCJAC0003,042027,2006,10,25.1
IDCJAC0003,042027,2006,11,26.6
IDCJAC0003,042027,2006,12,24.8
IDCJAC0003,042027,2007,01,26.7
IDCJAC0003,042027,2007,02,25.2
IDCJAC0003,042027,2007,03,23.7
IDCJAC0003,042027,2007,04,18.6
IDCJAC0003,042027,2007,05,14.4
IDCJAC0003,042027,2007,06,10.8
IDCJAC0003,042027,2007,07,13.6
