Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,042027,1990,27.9,26.0,19.0,11.9,13.3,11.2,11.5,14.2,20.6,24.5,29.2,28.3,19.8
IDCJAC0003,042027,1991,24.7,27.5,24.4,18.7,14.6,12.0,13.0,16.0,19.4,23.5,26.3,27.8,20.7
IDCJAC0003,042027,1992,29.5,22.2,22.9,16.8,12.2,12.2,13.2,15.7,19.2,24.5,26.0,25.5,20.0
IDCJAC0003,042027,1993,27.7,24.6,23.4,18.8,13.8,12.3,11.7,14.3,17.9,22.7,27.5,27.0,20.1
IDCJAC0003,042027,1994,29.6,20.8,21.4,18.2,15.0,12.2,14.1,18.0,20.5,21.6,26.4,29.1,20.6
IDCJAC0003,042027,1995,24.6,22.1,23.2,18.7,12.6,11.7,13.7,18.0,20.6,23.6,22.0,27.8,19.9
IDCJAC0003,042027,1996,24.5,27.2,23.4,16.8,13.4,10.9,12.1,15.2,21.3,23.0,28.3,27.4,20.3
IDCJAC0003,042027,1997,23.3,24.0,23.0,19.5,12.7,12.6,13.0,17.9,19.7,23.5,24.3,28.1,20.1
IDCJAC0003,042027,1998,25.3,25.1,24.8,15.1,13.3,10.9,10.7,13.9,19.1,22.8,25.9,28.4,19.6
IDCJAC0003,042027,1999,27.0,23.8,21.3,18.0,13.5,12.2,13.1,17.4,21.3,22.7,24.1,24.9,19.9
IDCJAC0003,042027,2000,28.1,25.5,21.0,16.4,13.6,12.3,12.9,16.8,20.9,21.2,21.1,26.3,19.7
IDCJAC0003,042027,2001,28.6,26.0,22.1,18.8,15.0,12.8,12.6,18.1,20.6,23.7,22.0,27.2,20.6
IDCJAC0003,042027,2002,27.6,22.2,22.7,18.9,14.6,12.8,15.2,16.2,21.1,25.5,26.6,28.7,21.0
IDCJAC0003,042027,2003,30.8,19.2,22.1,17.4,15.4,12.5,13.7,15.9,22.4,23.4,28.3,28.3,20.8
IDCJAC0003,042027,2004,26.8,25.2,22.5,18.6,14.8,13.3,14.0,17.9,21.7,24.2,27.3,27.9,21.2
IDCJAC0003,042027,2005,27.2,27.1,23.2,19.5,14.7,10.5,14.0,17.9,20.9,21.5,26.4,null,null
IDCJAC0003,042027,2006,26.1,25.2,20.4,18.7,16.0,12.4,12.6,17.5,21.7,25.1,26.6,24.8,20.6
IDCJAC0003,042027,2007,26.7,25.2,23.7,18.6,14.4,10.8,13.6,15.1,20.8,23.4,21.9,23.1,19.8
IDCJAC0003,042027,2008,22.1,23.3,23.4,18.2,14.6,11.5,12.4,16.2,19.1,24.3,23.1,26.9,19.6
IDCJAC0003,042027,2009,25.4,24.7,22.9,16.2,12.8,11.5,13.1,16.1,19.4,23.5,25.8,23.3,19.6
IDCJAC0003,042027,2010,27.6,21.2,19.7,17.2,12.9,11.8,10.9,15.1,16.6,20.4,21.0,21.7,18.0
IDCJAC0003,042027,2011,27.3,25.5,18.8,17.9,13.4,11.5,12.4,15.1,19.6,22.0,23.2,24.0,19.2
IDCJAC0003,042027,2012,24.1,22.9,21.3,16.7,14.4,11.4,12.5,17.5,20.2,24.1,25.9,28.3,19.9
IDCJAC0003,042027,2013,27.5,24.8,21.3,18.6,13.6,10.5,13.0,17.1,20.7,23.6,24.5,28.9,20.3
IDCJAC0003,042027,2014,28.2,21.7,18.5,16.9,13.8,12.3,13.8,15.3,19.7,24.7,24.6,23.7,19.4
IDCJAC0003,042027,2015,23.5,24.8,21.0,16.6,13.0,12.0,12.4,16.1,20.2,23.0,26.5,26.6,19.6
IDCJAC0003,042027,2016,23.3,25.4,20.5,18.1,13.9,10.3,12.8,15.2,17.4,22.6,25.5,26.7,19.3
IDCJAC0003,042027,2017,27.6,26.0,19.6,17.8,14.0,12.7,13.4,17.0,20.3,20.4,26.7,27.4,20.2
IDCJAC0003,042027,2018,28.0,23.0,20.9,18.3,14.4,12.6,13.6,16.4,20.1,22.3,26.4,28.8,20.4
IDCJAC0003,042027,2019,28.5,25.8,20.0,17.3,13.6,12.4,13.4,16.4,20.8,24.8,27.7,29.3,20.8
IDCJAC0003,042027,2020,26.0,21.5,20.3,16.3,13.8,12.9,13.4,15.8,19.8,22.4,27.6,23.6,19.5
IDCJAC0003,042027,2021,26.0,24.8,19.1,17.5,14.2,11.5,12.7,16.5,19.1,22.3,21.4,27.5,19.4
IDCJAC0003,042027,2022,26.0,21.5,20.9,16.9,16.2,null,null,null,null,null,null,null,null
