date,cattle_exclud_calves_prod,lambs_prod,sheep_prod,pigs_prod,total_beef_prod,veel_prod,bulls_bullocks_steers_slaughterings,calves_slaughterings,cattle_exclu_calves_slaughterings,cows_heifers_slaughterings,lamb_slaughterings,pig_slaughterings,sheep_slaughterings
Mar-2015,234817,46383,18901,33122,336595,3373,420,62,832,411,2040,441,830
Apr-2015,201839,45111,13927,31291,295733,3565,345,71,734,388,1984,409,620
May-2015,228893,42941,11746,32469,319126,3077,390,65,830,440,1912,430,522
Jun-2015,224104,38366,10667,33918,309953,2899,384,60,804,420,1744,436,458
Jul-2015,235020,38362,12284,32913,321677,3099,403,63,842,439,1743,430,512
Aug-2015,202205,40552,15707,30653,292759,3642,362,107,739,376,1878,394,638
Sep-2015,206101,42252,20063,32165,303691,3110,386,89,741,355,1953,420,804
Oct-2015,211038,46596,20217,29371,310184,2962,415,57,751,335,2116,389,796
Nov-2015,204241,43862,22186,28636,300230,1306,392,22,712,320,1977,390,902
Dec-2015,166758,40738,18754,31716,258734,769,334,12,592,258,1850,445,777
Jan-2016,149533,41697,17018,26850,236261,1163,281,15,520,239,1849,363,725
Feb-2016,187583,46839,17859,30872,284641,1489,358,22,649,291,2043,412,768
Mar-2016,190647,45044,16521,32468,286948,2268,353,53,656,303,1992,435,698
Apr-2016,183108,45183,15127,32300,278345,2627,323,60,650,327,1965,422,637
May-2016,204032,45875,12065,34447,298639,2220,348,56,720,372,2013,445,518
Jun-2016,175728,39482,8242,35252,261577,2872,300,53,619,318,1752,456,353
Jul-2016,157321,33118,7235,32961,232474,1839,279,46,548,269,1514,426,302
Aug-2016,179148,38746,14002,34691,269585,2999,327,95,618,291,1796,449,573
Sep-2016,159644,39672,15555,32499,249510,2140,295,73,551,256,1812,426,612
Oct-2016,165800,44084,14513,30366,256239,1476,311,32,570,259,1982,396,555
Nov-2016,196887,50248,17489,31641,297772,1507,388,20,669,281,2222,416,668
Dec-2016,151420,45962,14242,31708,244935,1602,296,16,519,223,2018,434,557
Jan-2017,138624,43244,15796,30609,229219,947,278,11,469,191,1894,402,645
Feb-2017,168142,41812,15925,30225,257298,1193,307,16,569,262,1810,396,655
Mar-2017,187461,43591,15301,36181,284263,1729,344,34,636,292,1900,472,644
Apr-2017,146771,36028,9551,29998,223713,1365,263,30,491,228,1560,387,395
May-2017,201955,47809,13109,38547,303143,1723,375,35,682,308,2042,484,530
Jun-2017,195344,41925,10647,37713,287208,1579,339,32,659,320,1796,472,418
Jul-2017,189064,38375,12250,35454,276524,1380,336,31,633,297,1650,450,481
Aug-2017,200335,44640,17265,36831,301692,2621,369,85,677,308,1972,472,668
Sep-2017,181447,41244,18432,33399,276909,2386,332,73,613,281,1878,431,731
Oct-2017,177413,45697,22144,33249,280061,1557,327,36,593,265,2074,433,857
Nov-2017,192897,47308,21781,33596,297139,1556,358,20,633,274,2144,444,858
Dec-2017,150762,37548,16233,32170,237538,826,277,9,505,228,1711,433,656
Jan-2018,162165,43866,16963,32947,257051,1110,303,12,537,234,1917,437,705
Feb-2018,182189,43414,17115,32417,276188,1053,321,17,609,289,1870,422,731
Mar-2018,186636,46168,16014,35820,286126,1489,319,36,620,301,2000,462,685
Apr-2018,179890,44685,14713,34089,274860,1483,293,41,618,325,1940,429,635
May-2018,219918,55149,17474,40422,334618,1656,355,42,758,403,2393,503,827
Jun-2018,196388,43331,13198,37033,291405,1454,317,32,685,368,1883,463,563
Jul-2018,203474,40342,14211,37893,297562,1642,330,41,712,382,1809,472,627
Aug-2018,212531,33979,25489,37717,312375,2659,354,87,743,389,1590,476,1049
Sep-2018,188232,32417,21154,34489,278699,2407,323,76,660,337,1526,435,883
Oct-2018,196680,45443,25322,35271,304716,2000,342,50,688,347,2086,451,1057
Nov-2018,199487,45776,24434,33468,304502,1336,352,21,687,335,2068,432,985
Dec-2018,161631,36774,19125,32648,251216,1038,267,14,557,290,1644,441,774
Jan-2019,170473,45863,19266,32692,270076,1783,287,19,584,296,2003,429,828
Feb-2019,197640,43758,21616,30822,295503,1667,317,24,692,376,1878,403,931
Mar-2019,206150,46456,19270,34562,308804,2367,308,50,735,427,1975,448,834
Apr-2019,173704,44493,14139,32558,267148,2255,260,56,620,360,1888,420,625
May-2019,219855,51220,15141,38010,326739,2513,328,50,784,456,2164,475,656
Jun-2019,197996,34828,11321,34340,280758,2273,296,45,709,413,1456,433,481
Jul-2019,217211,35098,12663,34722,302238,2543,329,53,771,442,1498,443,530
Aug-2019,208482,35362,17616,33038,297600,3103,330,95,741,411,1505,421,702
Sep-2019,203968,38025,20824,32205,298044,3023,317,81,718,401,1664,419,804
Oct-2019,218145,46113,27445,32860,327279,2717,339,52,768,428,2007,423,1036
Nov-2019,218822,42820,25677,29657,319036,2061,350,25,762,412,1879,393,997
Dec-2019,171517,39110,23157,32270,267596,1542,268,16,599,332,1710,434,921
Jan-2020,188711,43820,22635,31576,288703,1963,304,21,642,339,1847,412,932
Feb-2020,186445,44383,17844,31154,281399,1574,305,22,634,329,1809,402,736
Mar-2020,192183,44660,13962,37411,290281,2064,314,40,659,345,1833,475,572
Apr-2020,180626,38763,10135,33195,264617,1899,285,38,631,345,1583,416,411
May-2020,183105,36075,8161,35647,264540,1553,277,38,643,366,1450,443,326
Jun-2020,176712,37388,7983,38969,262689,1636,272,38,612,340,1487,486,301
