"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Temperature","1958M01","Shannon airport","Degrees C","5.6"
"Mean Temperature","1958M02","Shannon airport","Degrees C","6.4"
"Mean Temperature","1958M03","Shannon airport","Degrees C","5.5"
"Mean Temperature","1958M04","Shannon airport","Degrees C","8.9"
"Mean Temperature","1958M05","Shannon airport","Degrees C","11"
"Mean Temperature","1958M06","Shannon airport","Degrees C","13.6"
"Mean Temperature","1958M07","Shannon airport","Degrees C","15.3"
"Mean Temperature","1958M08","Shannon airport","Degrees C","15.5"
"Mean Temperature","1958M09","Shannon airport","Degrees C","14.8"
"Mean Temperature","1958M10","Shannon airport","Degrees C","11.7"
"Mean Temperature","1958M11","Shannon airport","Degrees C","8.9"
"Mean Temperature","1958M12","Shannon airport","Degrees C","5.5"
"Mean Temperature","1959M01","Shannon airport","Degrees C","3.4"
"Mean Temperature","1959M02","Shannon airport","Degrees C","7"
"Mean Temperature","1959M03","Shannon airport","Degrees C","8.1"
"Mean Temperature","1959M04","Shannon airport","Degrees C","9.4"
"Mean Temperature","1959M05","Shannon airport","Degrees C","12.8"
"Mean Temperature","1959M06","Shannon airport","Degrees C","14.6"
"Mean Temperature","1959M07","Shannon airport","Degrees C","16.2"
"Mean Temperature","1959M08","Shannon airport","Degrees C","16.3"
"Mean Temperature","1959M09","Shannon airport","Degrees C","15.2"
"Mean Temperature","1959M10","Shannon airport","Degrees C","12.8"
"Mean Temperature","1959M11","Shannon airport","Degrees C","7.6"
"Mean Temperature","1959M12","Shannon airport","Degrees C","6.5"
"Mean Temperature","1960M01","Shannon airport","Degrees C","4.7"
"Mean Temperature","1960M02","Shannon airport","Degrees C","4.2"
"Mean Temperature","1960M03","Shannon airport","Degrees C","7.9"
"Mean Temperature","1960M04","Shannon airport","Degrees C","9.5"
"Mean Temperature","1960M05","Shannon airport","Degrees C","12.9"
"Mean Temperature","1960M06","Shannon airport","Degrees C","15.4"
"Mean Temperature","1960M07","Shannon airport","Degrees C","14.8"
"Mean Temperature","1960M08","Shannon airport","Degrees C","15"
"Mean Temperature","1960M09","Shannon airport","Degrees C","13"
"Mean Temperature","1960M10","Shannon airport","Degrees C","10"
"Mean Temperature","1960M11","Shannon airport","Degrees C","7.3"
"Mean Temperature","1960M12","Shannon airport","Degrees C","4.6"
"Mean Temperature","1961M01","Shannon airport","Degrees C","5.1"
"Mean Temperature","1961M02","Shannon airport","Degrees C","8.5"
"Mean Temperature","1961M03","Shannon airport","Degrees C","9.2"
"Mean Temperature","1961M04","Shannon airport","Degrees C","10.2"
"Mean Temperature","1961M05","Shannon airport","Degrees C","11.4"
"Mean Temperature","1961M06","Shannon airport","Degrees C","13.7"
"Mean Temperature","1961M07","Shannon airport","Degrees C","14.5"
"Mean Temperature","1961M08","Shannon airport","Degrees C","14.8"
"Mean Temperature","1961M09","Shannon airport","Degrees C","13.9"
"Mean Temperature","1961M10","Shannon airport","Degrees C","10.4"
"Mean Temperature","1961M11","Shannon airport","Degrees C","6.6"
"Mean Temperature","1961M12","Shannon airport","Degrees C","3.9"
"Mean Temperature","1962M01","Shannon airport","Degrees C","5.4"
"Mean Temperature","1962M02","Shannon airport","Degrees C","6.1"
"Mean Temperature","1962M03","Shannon airport","Degrees C","4.9"
"Mean Temperature","1962M04","Shannon airport","Degrees C","8.6"
"Mean Temperature","1962M05","Shannon airport","Degrees C","10.9"
"Mean Temperature","1962M06","Shannon airport","Degrees C","13"
"Mean Temperature","1962M07","Shannon airport","Degrees C","15"
"Mean Temperature","1962M08","Shannon airport","Degrees C","14.2"
"Mean Temperature","1962M09","Shannon airport","Degrees C","12.5"
"Mean Temperature","1962M10","Shannon airport","Degrees C","10.8"
"Mean Temperature","1962M11","Shannon airport","Degrees C","6.4"
"Mean Temperature","1962M12","Shannon airport","Degrees C","5.6"
"Mean Temperature","1963M01","Shannon airport","Degrees C","-0.3"
"Mean Temperature","1963M02","Shannon airport","Degrees C","2.8"
"Mean Temperature","1963M03","Shannon airport","Degrees C","7.5"
"Mean Temperature","1963M04","Shannon airport","Degrees C","8.5"
"Mean Temperature","1963M05","Shannon airport","Degrees C","10.6"
"Mean Temperature","1963M06","Shannon airport","Degrees C","14.4"
"Mean Temperature","1963M07","Shannon airport","Degrees C","14.8"
"Mean Temperature","1963M08","Shannon airport","Degrees C","14.2"
"Mean Temperature","1963M09","Shannon airport","Degrees C","13.1"
"Mean Temperature","1963M10","Shannon airport","Degrees C","12.1"
"Mean Temperature","1963M11","Shannon airport","Degrees C","7.9"
"Mean Temperature","1963M12","Shannon airport","Degrees C","4.6"
"Mean Temperature","1964M01","Shannon airport","Degrees C","6.2"
"Mean Temperature","1964M02","Shannon airport","Degrees C","6.3"
"Mean Temperature","1964M03","Shannon airport","Degrees C","7.1"
"Mean Temperature","1964M04","Shannon airport","Degrees C","8.8"
"Mean Temperature","1964M05","Shannon airport","Degrees C","12.8"
"Mean Temperature","1964M06","Shannon airport","Degrees C","13.4"
"Mean Temperature","1964M07","Shannon airport","Degrees C","15.3"
"Mean Temperature","1964M08","Shannon airport","Degrees C","15"
"Mean Temperature","1964M09","Shannon airport","Degrees C","14.6"
"Mean Temperature","1964M10","Shannon airport","Degrees C","10.4"
"Mean Temperature","1964M11","Shannon airport","Degrees C","8.6"
"Mean Temperature","1964M12","Shannon airport","Degrees C","5.7"
"Mean Temperature","1965M01","Shannon airport","Degrees C","3.8"
"Mean Temperature","1965M02","Shannon airport","Degrees C","3.9"
"Mean Temperature","1965M03","Shannon airport","Degrees C","7.4"
"Mean Temperature","1965M04","Shannon airport","Degrees C","9"
"Mean Temperature","1965M05","Shannon airport","Degrees C","11.8"
"Mean Temperature","1965M06","Shannon airport","Degrees C","14.1"
"Mean Temperature","1965M07","Shannon airport","Degrees C","14.6"
"Mean Temperature","1965M08","Shannon airport","Degrees C","15"
"Mean Temperature","1965M09","Shannon airport","Degrees C","12.1"
"Mean Temperature","1965M10","Shannon airport","Degrees C","12.1"
"Mean Temperature","1965M11","Shannon airport","Degrees C","5.7"
"Mean Temperature","1965M12","Shannon airport","Degrees C","5.9"
"Mean Temperature","1966M01","Shannon airport","Degrees C","4.9"
"Mean Temperature","1966M02","Shannon airport","Degrees C","7.7"
"Mean Temperature","1966M03","Shannon airport","Degrees C","8.2"
"Mean Temperature","1966M04","Shannon airport","Degrees C","8.7"
"Mean Temperature","1966M05","Shannon airport","Degrees C","11.4"
"Mean Temperature","1966M06","Shannon airport","Degrees C","14.6"
"Mean Temperature","1966M07","Shannon airport","Degrees C","15.1"
"Mean Temperature","1966M08","Shannon airport","Degrees C","15"
"Mean Temperature","1966M09","Shannon airport","Degrees C","14.7"
"Mean Temperature","1966M10","Shannon airport","Degrees C","9.1"
"Mean Temperature","1966M11","Shannon airport","Degrees C","5.5"
"Mean Temperature","1966M12","Shannon airport","Degrees C","7.1"
"Mean Temperature","1967M01","Shannon airport","Degrees C","5.6"
"Mean Temperature","1967M02","Shannon airport","Degrees C","6.1"
"Mean Temperature","1967M03","Shannon airport","Degrees C","7.2"
"Mean Temperature","1967M04","Shannon airport","Degrees C","9.1"
"Mean Temperature","1967M05","Shannon airport","Degrees C","9.9"
"Mean Temperature","1967M06","Shannon airport","Degrees C","14.2"
"Mean Temperature","1967M07","Shannon airport","Degrees C","15.8"
"Mean Temperature","1967M08","Shannon airport","Degrees C","14.9"
"Mean Temperature","1967M09","Shannon airport","Degrees C","13.7"
"Mean Temperature","1967M10","Shannon airport","Degrees C","10.4"
"Mean Temperature","1967M11","Shannon airport","Degrees C","6.5"
"Mean Temperature","1967M12","Shannon airport","Degrees C","6.5"
"Mean Temperature","1968M01","Shannon airport","Degrees C","6.5"
"Mean Temperature","1968M02","Shannon airport","Degrees C","2.9"
"Mean Temperature","1968M03","Shannon airport","Degrees C","7"
"Mean Temperature","1968M04","Shannon airport","Degrees C","8.5"
"Mean Temperature","1968M05","Shannon airport","Degrees C","10.1"
