iter	Passed	Remaining
415	3183	4469
416	3189	4458
417	3196	4450
418	3202	4440
419	3210	4433
420	3216	4423
421	3223	4415
422	3230	4406
423	3236	4396
424	3244	4389
425	3250	4380
426	3258	4372
427	3264	4363
428	3271	4354
429	3278	4346
430	3285	4337
431	3293	4329
432	3299	4320
433	3307	4312
434	3313	4303
435	3331	4308
436	3338	4300
437	3344	4291
438	3351	4282
439	3358	4274
440	3365	4265
441	3372	4257
442	3379	4248
443	3386	4240
444	3392	4231
445	3398	4221
446	3405	4213
447	3412	4204
448	3420	4197
449	3426	4188
450	3433	4180
451	3441	4172
452	3452	4168
453	3460	4161
454	3468	4154
455	3476	4147
456	3485	4141
457	3492	4132
458	3500	4125
459	3507	4118
460	3516	4111
461	3522	4102
462	3530	4095
463	3537	4086
464	3545	4079
465	3553	4072
466	3561	4064
467	3569	4057
468	3575	4048
469	3583	4041
470	3590	4032
471	3598	4024
472	3605	4016
473	3612	4009
474	3619	4000
475	3626	3992
476	3633	3983
477	3654	3990
478	3662	3983
479	3670	3975
480	3676	3967
481	3683	3958
482	3690	3949
483	3696	3940
484	3703	3932
485	3710	3924
486	3717	3916
487	3724	3907
488	3731	3899
489	3737	3889
490	3744	3882
491	3753	3875
492	3760	3866
493	3767	3858
494	3774	3850
495	3780	3841
496	3787	3832
497	3793	3823
498	3799	3814
499	3806	3806
500	3813	3798
501	3820	3790
502	3827	3782
503	3833	3772
504	3840	3764
505	3847	3756
506	3854	3748
507	3861	3739
508	3868	3731
509	3875	3723
510	3885	3718
511	3891	3709
512	3898	3701
513	3905	3692
514	3912	3684
515	3919	3676
516	3926	3668
517	3933	3660
518	3939	3651
519	3946	3642
520	3953	3634
521	3959	3625
522	3966	3617
523	3972	3608
524	3979	3600
525	3985	3591
526	3992	3583
527	3998	3574
528	4005	3566
529	4011	3557
530	4017	3548
531	4024	3540
532	4032	3533
533	4038	3524
534	4045	3516
535	4053	3508
536	4063	3503
537	4072	3497
538	4079	3489
539	4085	3480
540	4092	3472
541	4098	3463
542	4105	3454
543	4112	3447
544	4119	3438
545	4126	3430
546	4133	3422
547	4139	3414
548	4146	3406
549	4152	3397
550	4160	3389
551	4166	3381
552	4173	3373
553	4181	3366
554	4187	3357
555	4195	3350
556	4202	3342
557	4209	3334
558	4215	3325
559	4222	3318
560	4229	3309
561	4235	3300
562	4243	3293
563	4250	3285
564	4257	3277
565	4264	3269
566	4271	3262
567	4278	3254
568	4286	3247
569	4293	3239
570	4299	3230
571	4309	3224
572	4323	3221
573	4330	3213
574	4338	3207
575	4345	3198
576	4353	3191
577	4361	3184
578	4372	3179
579	4379	3171
580	4389	3165
581	4396	3157
582	4406	3151
583	4420	3149
584	4433	3145
585	4444	3140
586	4453	3133
587	4466	3129
588	4472	3121
589	4481	3114
590	4490	3107
591	4500	3101
592	4507	3093
593	4515	3086
594	4547	3095
595	4556	3088
596	4571	3085
597	4582	3080
598	4590	3072
599	4598	3065
600	4605	3057
601	4613	3049
602	4619	3041
603	4626	3033
604	4632	3024
605	4638	3015
606	4647	3008
607	4653	3000
608	4661	2993
609	4668	2984
610	4675	2976
611	4682	2968
612	4689	2960
613	4697	2952
614	4704	2944
615	4712	2937
616	4719	2929
617	4727	2922
618	4733	2913
619	4741	2905
620	4747	2897
621	4754	2889
622	4761	2881
623	4768	2873
624	4775	2865
625	4782	2857
626	4791	2850
627	4798	2842
628	4807	2835
629	4813	2827
630	4836	2828
631	4849	2823
632	4862	2818
633	4869	2811
634	4876	2802
635	4882	2794
636	4889	2786
637	4896	2778
638	4903	2770
639	4910	2762
640	4917	2754
641	4924	2746
642	4931	2738
643	4938	2730
644	4945	2721
645	4951	2713
646	4959	2705
647	4966	2697
648	4973	2689
649	4979	2681
650	4986	2673
651	4992	2664
652	4999	2656
653	5007	2649
654	5014	2641
655	5021	2633
656	5027	2624
657	5035	2617
658	5042	2609
659	5050	2602
660	5057	2593
661	5066	2586
662	5073	2578
663	5081	2571
664	5088	2563
665	5096	2556
666	5103	2547
667	5111	2540
668	5117	2532
669	5124	2523
670	5132	2516
671	5139	2508
672	5147	2501
673	5153	2492
674	5161	2485
675	5167	2476
676	5174	2469
677	5181	2460
678	5188	2452
679	5198	2446
680	5204	2438
681	5212	2430
682	5218	2421
683	5225	2414
684	5232	2406
685	5239	2398
686	5246	2390
687	5252	2382
688	5260	2374
689	5266	2366
690	5272	2357
691	5279	2349
692	5285	2341
693	5292	2333
694	5299	2325
695	5306	2317
696	5313	2309
697	5321	2302
698	5327	2294
699	5334	2286
700	5340	2277
701	5346	2269
702	5353	2261
703	5359	2253
704	5366	2245
705	5374	2237
706	5380	2229
707	5387	2222
708	5394	2214
709	5403	2206
710	5409	2198
711	5417	2191
712	5425	2183
713	5431	2175
714	5439	2168
715	5446	2160
716	5453	2152
717	5460	2144
718	5469	2137
719	5475	2129
720	5483	2121
721	5489	2113
722	5498	2106
723	5506	2099
724	5514	2091
725	5522	2084
726	5530	2076
727	5537	2068
728	5543	2060
729	5550	2053
730	5557	2045
731	5565	2037
732	5572	2029
733	5579	2021
734	5585	2013
735	5593	2006
736	5601	1998
737	5607	1990
738	5616	1983
739	5623	1975
740	5630	1967
741	5636	1959
742	5645	1952
743	5652	1944
744	5660	1937
745	5667	1929
746	5675	1922
747	5682	1914
748	5690	1907
749	5697	1899
750	5704	1891
751	5712	1883
752	5719	1875
753	5726	1868
754	5732	1860
755	5739	1852
756	5746	1844
757	5752	1836
758	5759	1828
759	5767	1821
760	5774	1813
761	5781	1805
762	5788	1797
763	5794	1790
764	5801	1782
765	5808	1774
766	5815	1766
767	5823	1759
768	5830	1751
769	5837	1743
770	5844	1735
771	5851	1728
772	5857	1720
773	5865	1712
774	5871	1704
775	5878	1696
776	5885	1689
777	5892	1681
778	5898	1673
779	5905	1665
780	5911	1657
781	5918	1649
782	5924	1641
783	5931	1634
784	5938	1626
785	5944	1618
786	5952	1610
787	5957	1602
788	5964	1595
789	5971	1587
790	5977	1579
791	5984	1571
792	5990	1563
793	5997	1556
794	6003	1548
795	6010	1540
796	6017	1532
797	6023	1524
798	6031	1517
799	6037	1509
800	6043	1501
801	6051	1493
802	6057	1486
803	6064	1478
804	6071	1470
805	6077	1462
806	6084	1455
807	6091	1447
808	6097	1439
809	6104	1431
810	6111	1424
811	6118	1416
812	6126	1409
813	6133	1401
814	6139	1393
815	6146	1386
816	6153	1378
817	6160	1370
818	6167	1362
819	6174	1355
820	6181	1347
821	6188	1340
822	6195	1332
823	6202	1324
824	6209	1317
825	6216	1309
826	6223	1301
827	6230	1294
828	6237	1286
829	6244	1278
830	6250	1271
831	6257	1263
832	6263	1255
833	6270	1248
834	6277	1240
835	6284	1232
836	6291	1225
837	6297	1217
838	6304	1209
839	6310	1202
840	6318	1194
841	6324	1186
842	6330	1179
843	6337	1171
844	6344	1163
845	6351	1156
846	6359	1148
847	6366	1141
848	6373	1133
849	6379	1125
850	6387	1118
851	6394	1110
852	6401	1103
853	6408	1095
854	6415	1088
855	6421	1080
