iter	RMSE
266	2.448335088
267	2.443588801
268	2.43892194
269	2.432568881
270	2.419304221
271	2.409386415
272	2.398894354
273	2.390549352
274	2.375475587
275	2.371536017
276	2.359411365
277	2.345889355
278	2.338029545
279	2.330354019
280	2.317776207
281	2.31291114
282	2.302894306
283	2.293131223
284	2.282947358
285	2.280342997
286	2.267310936
287	2.263256366
288	2.250055075
289	2.246700114
290	2.23951798
291	2.230003614
292	2.226183016
293	2.223682113
294	2.212536043
295	2.209049183
296	2.197524351
297	2.193150326
298	2.186433429
299	2.1744825
300	2.165117868
301	2.158123804
302	2.153820194
303	2.150091671
304	2.146607723
305	2.141050738
306	2.127005117
307	2.118252445
308	2.110325559
309	2.103302328
310	2.099864946
311	2.087802899
312	2.079582445
313	2.076687134
314	2.066749586
315	2.063499773
316	2.057495399
317	2.048540475
318	2.042883452
319	2.031065037
320	2.019630069
321	2.012701974
322	2.004783295
323	1.998708835
324	1.990165667
325	1.981919461
326	1.974141756
327	1.963129649
328	1.954612732
329	1.949012532
330	1.945207613
331	1.941577285
332	1.936249592
333	1.924439237
334	1.917122865
335	1.905471306
336	1.897602959
337	1.887211064
338	1.880342849
339	1.870688801
340	1.868145583
341	1.862935774
342	1.857927841
343	1.849489863
344	1.840153175
345	1.835099823
346	1.83044262
347	1.828019797
348	1.819805825
349	1.814962786
350	1.804266725
351	1.794312864
352	1.785537991
353	1.773967676
354	1.765442459
355	1.76225527
356	1.756158621
357	1.754284805
358	1.743981784
359	1.739907047
360	1.737399695
361	1.727196275
362	1.719220262
363	1.713935736
364	1.706604035
365	1.69741905
366	1.687154241
367	1.680688698
368	1.677119852
369	1.672454461
370	1.667340524
371	1.665133731
372	1.659069197
373	1.65317335
374	1.651627047
375	1.643246424
376	1.636276164
377	1.630119324
378	1.627931179
379	1.619581489
380	1.615981556
381	1.609230512
382	1.607653803
383	1.59855401
384	1.596621038
385	1.591574381
386	1.587327016
387	1.579454765
388	1.570314081
389	1.569007844
390	1.56366347
391	1.556944459
392	1.551069025
393	1.542845434
394	1.535377087
395	1.533903344
396	1.525994339
397	1.519905091
398	1.512125646
399	1.504359165
400	1.50283597
401	1.501439545
402	1.497686571
403	1.495638672
404	1.491871665
405	1.486197546
406	1.48245349
407	1.478132939
408	1.474011683
409	1.468383455
410	1.464849564
411	1.45971234
412	1.457113221
413	1.452084065
414	1.446344107
415	1.442798688
416	1.43816703
417	1.431428345
418	1.42705257
419	1.42548674
420	1.4238217
421	1.416864857
422	1.41003082
423	1.403301305
424	1.397191157
425	1.392152919
426	1.387429692
427	1.379410625
428	1.373924286
429	1.369963896
430	1.367560887
431	1.362779638
432	1.359673051
433	1.35743409
434	1.356335285
435	1.355024695
436	1.353918079
437	1.350979736
438	1.343719536
439	1.338560163
440	1.336632869
441	1.333520498
442	1.332380668
443	1.329449935
444	1.323716715
445	1.316778508
446	1.315675477
447	1.310593989
448	1.303826668
449	1.298471625
450	1.292532645
451	1.288403049
452	1.28651857
453	1.279979107
454	1.273474834
455	1.26819224
456	1.264727531
457	1.2608035
458	1.255655713
459	1.252106584
460	1.247797705
461	1.242157137
462	1.235592946
463	1.228893346
464	1.227908772
465	1.22695641
466	1.221668401
467	1.217080441
468	1.212391886
469	1.211373718
470	1.20930145
471	1.204104458
472	1.199169928
473	1.196165967
474	1.194519473
475	1.191486103
476	1.190492864
477	1.189624474
478	1.188624805
479	1.183745012
480	1.182228196
481	1.177002622
482	1.171878892
483	1.169980602
484	1.164571206
485	1.163557952
486	1.162044943
487	1.155149444
488	1.153220001
489	1.14609224
490	1.143934603
491	1.140714631
492	1.137794212
493	1.136158341
494	1.133319853
495	1.132453772
496	1.13165811
497	1.131070122
498	1.130292142
499	1.127199641
500	1.126505631
501	1.125470123
502	1.120060209
503	1.115160392
504	1.111324404
505	1.108021022
506	1.107288135
507	1.103583982
508	1.097862577
509	1.094744882
510	1.091468907
511	1.086770846
512	1.08328409
513	1.082658953
514	1.080673411
515	1.077748073
516	1.07381575
517	1.070896147
518	1.066199011
519	1.063897445
520	1.059580153
521	1.059078539
522	1.058305634
523	1.053545244
524	1.048948701
525	1.044479946
526	1.042145065
527	1.041209383
528	1.037521025
529	1.0366613
530	1.031704222
531	1.028244742
532	1.024234039
533	1.023310291
534	1.020083412
535	1.019532004
536	1.018974029
537	1.015421508
538	1.012342191
539	1.007781254
540	1.00555102
541	1.000347044
542	0.9964869875
543	0.9956209858
544	0.9919355547
545	0.9882236159
546	0.9855244117
547	0.9798948231
548	0.9750947227
549	0.9719574282
550	0.9700480662
551	0.9676988164
552	0.9668182879
553	0.9653027066
554	0.9642433971
555	0.9610397805
556	0.9600793752
557	0.9572108345
558	0.9558300773
559	0.9549467825
560	0.9498413684
561	0.9491886107
562	0.9450799256
563	0.9414738344
564	0.9385529602
565	0.9339270203
566	0.9304891634
567	0.9256375436
568	0.9221976559
569	0.9192153084
570	0.9156559349
571	0.9131776537
572	0.9097075442
573	0.905330027
574	0.903635322
575	0.9031225707
576	0.8995225966
577	0.8982305214
578	0.8977324444
579	0.8955468386
580	0.8948057712
581	0.8906578424
582	0.8867123194
583	0.8836118844
584	0.8803703949
585	0.8765857834
586	0.872447389
587	0.8690323715
588	0.8668740045
589	0.8632125322
590	0.8603493351
591	0.8595227136
592	0.8564174399
593	0.8548744718
594	0.8534879255
595	0.8503772085
596	0.8480223531
597	0.847463342
598	0.8457026202
599	0.8431194844
600	0.8410916558
601	0.8386254385
602	0.8373561334
603	0.8353076194
604	0.8333293195
605	0.8325364379
606	0.82878526
607	0.8245148495
608	0.8214333042
609	0.8204776984
610	0.8193676403
611	0.8190327119
612	0.8170408147
613	0.8141956152
614	0.8107209179
615	0.8100229655
616	0.8071533231
617	0.8035395899
618	0.8028046602
619	0.8014508263
620	0.800741054
621	0.7979720075
622	0.7952774344
623	0.7929839925
624	0.7899285801
625	0.7886809974
626	0.7859564309
627	0.7847003036
628	0.7820891935
629	0.7790239768
630	0.7770027931
631	0.7763990618
632	0.7732652003
633	0.7716794421
634	0.7710277793
635	0.7678369971
636	0.7669080419
637	0.762784132
638	0.7597702572
639	0.7591214669
640	0.7569146663
641	0.7551909937
642	0.7522883836
643	0.7501583128
644	0.7464693056
645	0.7459714216
646	0.7429879652
647	0.7393874152
648	0.7385411109
649	0.7381544984
650	0.7362329827
651	0.7358340091
652	0.7340867744
653	0.7330532739
654	0.7325070926
655	0.7314143039
656	0.7283106867
657	0.725566811
658	0.722871759
659	0.7196349913
660	0.718573341
661	0.7172787892
662	0.7147777225
663	0.7123550177
664	0.7112311541
665	0.7098258058
666	0.7075434995
667	0.7049768521
668	0.7038394168
669	0.7011606713
670	0.7006954733
671	0.7001631629
672	0.6981111836
673	0.6945032275
674	0.6939247497
675	0.6933498865
676	0.6903958365
677	0.6895200245
678	0.6888074497
679	0.686738417
680	0.6836214082
681	0.6817653401
682	0.6813521457
683	0.6786966653
684	0.6765476531
685	0.673515046
686	0.6722326133
687	0.6715290009
688	0.6697283505
689	0.6681430205
690	0.6675253252
691	0.6670565632
692	0.6640735263
693	0.6607906871
694	0.657947329
695	0.6574024911
696	0.6548409519
697	0.6543028772
698	0.6528919868
699	0.6520179022
700	0.6507772241
701	0.6487464195
702	0.6481767522
703	0.6469200248
704	0.6442721454
705	0.6412620681
706	0.6380853685
707	0.6365579406
708	0.6358498608
709	0.6330214774
710	0.6323818395
711	0.6318314865
712	0.6304278824
713	0.6299491679
714	0.6280400093
715	0.625932933
716	0.6234876014
717	0.620866051
718	0.6181982747
719	0.6153459955
720	0.6136980264
721	0.6109252342
722	0.609232843
723	0.608763282
724	0.6065348662
725	0.6040872652
726	0.6020681564
727	0.5998373613
728	0.5979815155
729	0.5976114056
730	0.5962341263
731	0.5949664257
732	0.5934799632
733	0.591889586
734	0.5903055704
735	0.5895902836
736	0.5892821043
737	0.5876317553
738	0.5871118126
739	0.5865018013
740	0.5861350292
741	0.5842419995
742	0.5817555099
743	0.5806778172
744	0.5790112932
745	0.5769864916
746	0.576280635
747	0.574015678
748	0.57136264
749	0.5691141392
750	0.5686993419
751	0.5674982864
752	0.5652575604
753	0.5648623356
754	0.5644818552
755	0.5623270942
756	0.5599357627
757	0.5575100365
758	0.5554851515
759	0.5549337393
760	0.5534539258
761	0.5531465954
762	0.550516232
763	0.5501294421
764	0.5483991336
765	0.5477574921
766	0.547160802
767	0.546625862
768	0.5463293662
769	0.5452791711
770	0.5449102525
771	0.5436653882
772	0.5431813205
773	0.5405688355
774	0.539860155
775	0.5394511852
776	0.5367175974
777	0.5344356224
778	0.532144663
779	0.5293210611
780	0.5287733041
781	0.5283387077
782	0.5269791976
783	0.5258935397
784	0.525580488
785	0.523748578
786	0.5218335605
787	0.5212563395
788	0.5187822643
789	0.5166929848
790	0.5146824003
791	0.5144923822
792	0.5140905866
793	0.5126994809
794	0.5110991179
795	0.5106184457
796	0.5080183487
797	0.5077323739
798	0.5071744007
799	0.5048005885
800	0.5029991616
801	0.5021710721
802	0.5016656286
803	0.4998594315
804	0.4987793982
805	0.4982187913
806	0.496445744
807	0.4952874528
808	0.4933562811
809	0.492316104
810	0.4908996979
811	0.4905474053
812	0.4895461061
813	0.4874572536
814	0.4871948249
815	0.4856048846
816	0.483318356
817	0.4824978873
818	0.4809424646
819	0.4793701722
820	0.4791707028
821	0.4772582408
822	0.4754935965
823	0.4752423539
824	0.4748535058
825	0.4736203134
826	0.4728950243
827	0.4725555626
828	0.4723454029
829	0.4712056619
830	0.4686174476
831	0.4671429524
832	0.465111369
833	0.4649179628
834	0.4627052103
835	0.4617687868
836	0.460141983
837	0.4584408652
838	0.4570270777
839	0.4563741443
840	0.4554725202
841	0.4535107533
842	0.4532163097
843	0.4530338088
844	0.452594705
845	0.4513652515
846	0.4500661621
847	0.449534958
848	0.4484855859
849	0.4470815772
850	0.4455216001
851	0.4439823621
852	0.4426050314
853	0.4410250976
854	0.4391481827
855	0.437892537
856	0.4363832244
857	0.4359260482
858	0.4357531965
859	0.4353728528
860	0.4351748297
861	0.4338425152
862	0.4336511958
863	0.433256063
864	0.4328893148
865	0.4327421439
866	0.4306984966
867	0.4288184484
868	0.4271392378
869	0.426954717
870	0.4261754537
871	0.4243908161
872	0.4235730985
873	0.4226192745
874	0.4224544329
875	0.4217581598
876	0.4200477861
877	0.4179956392
878	0.416778928
879	0.4153464817
880	0.4148592825
881	0.4139631708
882	0.4124752691
883	0.4107154928
884	0.4099570995
885	0.4095694255
886	0.4092790862
887	0.4075042202
888	0.4065399271
889	0.4057039845
890	0.4036785465
891	0.4035051286
892	0.4015331425
893	0.3997133563
894	0.3993081596
895	0.3980776777
896	0.3961583933
897	0.3954965515
898	0.393850499
899	0.3923310099
900	0.391613
901	0.3894635611
902	0.3884022249
903	0.3882508855
904	0.3866420752
905	0.3859305927
906	0.3856321314
907	0.3840285407
908	0.3834697926
909	0.3820800198
910	0.381568274
911	0.3812918524
912	0.3811592535
913	0.3801978928
914	0.3784639183
915	0.3780051211
916	0.3776601444
917	0.3774555334
918	0.3764867973
919	0.3761969143
920	0.3748456401
921	0.3736933722
922	0.3730729629
923	0.3725940387
924	0.3724526756
925	0.3710677707
926	0.3709184351
927	0.3696049185
928	0.3690836615
929	0.3686058364
930	0.3673971336
931	0.3662157964
932	0.3657057341
933	0.3650490284
934	0.3644047348
935	0.3642168534
936	0.3641096611
937	0.3622408472
938	0.3617606683
939	0.3613077369
940	0.3599061611
941	0.3581367276
942	0.3580001999
943	0.3562226721
944	0.3547863125
945	0.3529566824
946	0.3524954661
947	0.3517584639
948	0.351481187
949	0.3512710943
950	0.3500099981
951	0.3496541753
952	0.3492360674
953	0.3474257624
954	0.3469889785
955	0.3466325878
956	0.3458540465
957	0.3445930589
958	0.3444679115
959	0.3435625336
960	0.3422117141
961	0.3420877192
962	0.340459373
963	0.3391539614
964	0.337991956
965	0.3367584459
966	0.3359199042
967	0.3350356759
968	0.3338089266
969	0.3336880451
970	0.3323574091
971	0.3321757602
972	0.3305122168
973	0.3303951308
974	0.3290199
975	0.3282668163
976	0.3271905977
977	0.3270607049
978	0.3259784948
979	0.3253515538
980	0.3252268026
981	0.3243733417
982	0.3242477285
983	0.3241351473
984	0.3232718453
985	0.3225488019
986	0.3219237538
987	0.3212515108
988	0.3205293122
989	0.3194417248
990	0.3185404084
991	0.3179241192
992	0.317193313
993	0.3170265532
994	0.3158781518
995	0.3151818835
996	0.3148585131
997	0.3144608762
998	0.3142075982
999	0.3132822511
